time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/n_updates,train/loss,train/clip_range,train/clip_fraction,train/learning_rate,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/approx_kl,eval/mean_reward,eval/mean_ep_length
21,193,1,4096,,,,,,,,,,,,
53,153,2,8192,10,-0.006398513913154602,0.2,0.081201171875,0.0003,-1.1532194666564464,0.15913927529472857,-0.008993753519462189,-0.07130217552185059,0.01132271,,
,,,10000,20,-0.06628472357988358,0.2,0.1764892578125,0.0003,-1.1426229909062386,0.06360703075770288,-0.021137055293365847,0.4023277163505554,0.011384081,-145.7767328438163,400.0
180,67,3,12288,,,,,,,,,,,,
211,77,4,16384,30,-0.06279514729976654,0.2,0.1037841796875,0.0003,-1.0928789041936398,0.04718824317678809,-0.011898912097967696,0.6056236624717712,0.010559073,,
,,,20000,40,-0.05761919915676117,0.2,0.1263916015625,0.0003,-1.0855007745325564,0.04198113343445584,-0.01197855618520407,0.8141412138938904,0.009510126,-140.7805511200428,400.0
324,63,5,20480,,,,,,,,,,,,
354,69,6,24576,50,-0.05399596318602562,0.2,0.1163330078125,0.0003,-1.0626047849655151,0.0312471552984789,-0.01126859632859123,0.8919314742088318,0.009256037,,
384,74,7,28672,60,-0.06550507247447968,0.2,0.1486328125,0.0003,-1.0616023115813733,0.026000775414286182,-0.015051794328610413,0.9331324100494385,0.012696695,,
,,,30000,70,-0.06333436071872711,0.2,0.148974609375,0.0003,-1.0197584506124258,0.019416324875783174,-0.016132090167957358,0.9617795944213867,0.01022194,-126.94218743681908,389.3
495,66,8,32768,,,,,,,,,,,,
