rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,train/value_loss,train/learning_rate,train/loss,train/entropy_loss,train/n_updates,train/approx_kl,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/clip_fraction,eval/mean_ep_length,eval/mean_reward
-45.27272715384615,990,153.80769230769232,4096,4,1,,,,,,,,,,,,
-43.755059924528304,878,152.39622641509433,8192,9,2,67.34527869224549,0.0003,35.49618148803711,-1.0743531376123427,10,0.008417321,-0.0016353130340576172,0.2,-0.009731105093669612,0.0630859375,,
,,,10000,,,101.407270860672,0.0003,44.34305953979492,-1.0614775985479354,20,0.007997859,0.08455044031143188,0.2,-0.010887236940470757,0.0917724609375,114.04,-17.941092876195906
-33.13119825,608,138.45454545454547,12288,20,3,,,,,,,,,,,,
-19.57699994,643,120.81,16384,25,4,144.4279845237732,0.0003,62.377254486083984,-1.0122888281941413,30,0.008485885,0.08888959884643555,0.2,-0.010453625177615323,0.075537109375,,
,,,20000,,,160.83751220703124,0.0003,100.20903778076172,-0.9671679779887199,40,0.0074739805,0.07928770780563354,0.2,-0.00924735297303414,0.0764404296875,94.48,-0.3794562411308289
-4.67981816,589,102.24,20480,34,5,,,,,,,,,,,,
4.05245457,615,89.63,24576,39,6,157.35344896316528,0.0003,79.28900909423828,-0.9565343424677849,50,0.0061635645,0.06748569011688232,0.2,-0.007625922124134377,0.048193359375,,
7.275090940000002,631,83.57,28672,45,7,170.2141960144043,0.0003,85.9655532836914,-0.9229176644235849,60,0.0068711983,0.056729674339294434,0.2,-0.004477989949737094,0.025390625,,
,,,30000,,,164.9750283241272,0.0003,72.10195922851562,-0.8890279721468687,70,0.005911989,0.12857794761657715,0.2,-0.005488965264521539,0.0549560546875,78.4,11.880725753307342
7.563727299999999,593,83.54,32768,55,8,,,,,,,,,,,,
3.2655454799999997,605,84.85,36864,60,9,175.2633292198181,0.0003,83.9300537109375,-0.9036834809929133,80,0.008537712,0.13868433237075806,0.2,-0.010673491364286747,0.0877685546875,,
,,,40000,,,157.6411664009094,0.0003,67.28558349609375,-0.8324995774775743,90,0.0056672604,0.1329236626625061,0.2,-0.004274403952877037,0.0317626953125,75.78,10.725089446306228
0.28790913000000073,582,87.16,40960,70,10,,,,,,,,,,,,
9.62645457,591,79.9,45056,76,11,184.09576997756957,0.0003,77.95487976074219,-0.884759110212326,100,0.002947356,0.18907088041305542,0.2,-0.0021910778363235296,0.02060546875,,
14.584272750000002,602,74.36,49152,81,12,172.55246496200562,0.0003,80.84635162353516,-0.8870139360427857,110,0.0054188487,0.17134332656860352,0.2,-0.004221239470643923,0.0329833984375,,
,,,50000,,,177.03883848190307,0.0003,77.5914077758789,-0.8845309995114803,120,0.0061918953,0.16745132207870483,0.2,-0.005012374713260215,0.0463623046875,74.46,13.029634898900985
13.56000003,585,73.46,53248,90,13,,,,,,,,,,,,
15.085000030000002,596,71.61,57344,96,14,154.0578709602356,0.0003,68.03248596191406,-0.8651797268539667,130,0.0058281454,0.25015711784362793,0.2,-0.006700491650553886,0.0444580078125,,
,,,60000,,,158.86926860809325,0.0003,86.9827880859375,-0.8670867785811425,140,0.005296951,0.2149999737739563,0.2,-0.004536691888642963,0.0355224609375,75.28,12.116725790500642
16.86909094,589,69.59,61440,104,15,,,,,,,,,,,,
14.591545479999997,600,71.71,65536,109,16,136.24358568191528,0.0003,61.98366928100586,-0.8526051469147206,150,0.0044965316,0.27150195837020874,0.2,-0.0035861924799974075,0.0197509765625,,
14.55163638,611,69.14,69632,113,17,151.79473333358766,0.0003,65.79374694824219,-0.8288835924118757,160,0.0054559223,0.24987173080444336,0.2,-0.006380111088219564,0.0561767578125,,
,,,70000,,,153.305664396286,0.0003,73.38004302978516,-0.7640702065080405,170,0.004465631,0.05840146541595459,0.2,-0.003671682368440088,0.02529296875,74.68,12.926725797653198
17.125818200000005,603,66.53,73728,122,18,,,,,,,,,,,,
12.181545480000002,610,71.03,77824,127,19,124.9944342136383,0.0003,62.66161346435547,-0.8436646934598684,180,0.0057577128,0.22994357347488403,0.2,-0.004878186248242855,0.0531005859375,,
,,,80000,,,129.82142486572266,0.0003,63.996341705322266,-0.7773866806179285,190,0.005814203,0.245830237865448,0.2,-0.002415439649485052,0.028857421875,62.88,18.101089519262313
11.780090929999998,606,71.64,81920,135,20,,,,,,,,,,,,
14.779454549999999,615,68.32,86016,139,21,135.44880537986757,0.0003,64.42343139648438,-0.8307750873267651,200,0.006319806,0.34003037214279175,0.2,-0.0032806751827592962,0.0340087890625,,
,,,90000,,,133.764466047287,0.0003,65.28862762451172,-0.7419855482876301,210,0.0042799152,0.2315557599067688,0.2,-0.004267081327270716,0.0389404296875,61.14,23.86490776181221
15.131818200000003,611,70.26,90112,147,22,,,,,,,,,,,,
15.696000029999999,618,69.34,94208,152,23,117.22081232070923,0.0003,50.64567565917969,-0.8149750337004662,220,0.0041382643,0.27561479806900024,0.2,-0.002807755142566748,0.0207275390625,,
8.43245458,625,74.95,98304,157,24,120.90579380989075,0.0003,53.905120849609375,-0.7883263036608696,230,0.00390338,0.24368643760681152,0.2,-0.0022421994450269266,0.019140625,,
,,,100000,,,110.11425547599792,0.0003,65.20864868164062,-0.748334463685751,240,0.0062258607,0.3473076820373535,0.2,-0.005669799989846069,0.0567626953125,70.7,11.553453158140183
8.841636390000001,614,75.24,102400,166,25,,,,,,,,,,,,
19.147818199999996,617,62.59,106496,172,26,148.8789765357971,0.0003,61.2733039855957,-0.7825374435633421,250,0.0040675076,0.38107383251190186,0.2,-0.0019478055561194195,0.02998046875,,
,,,110000,,,162.0018280506134,0.0003,79.75149536132812,-0.7213392686098814,260,0.0033636922,0.15747296810150146,0.2,-0.0023140079516451805,0.0224853515625,81.56,0.6654529786109924
26.04227274,606,57.1,110592,182,27,,,,,,,,,,,,
20.542545479999994,609,63.69,114688,188,28,125.4422086238861,0.0003,55.161563873291016,-0.7760607533156871,270,0.002925179,0.36556071043014526,0.2,-0.0033802167177782393,0.0304443359375,,
12.90590914,611,70.4,118784,194,29,138.19578714370726,0.0003,60.04730224609375,-0.772907231003046,280,0.0033673705,0.43158143758773804,0.2,-0.0017074605581001378,0.011376953125,,
,,,120000,,,125.55381665229797,0.0003,58.326595306396484,-0.6869084123522043,290,0.0058585745,0.39184701442718506,0.2,-0.005836634602746926,0.059326171875,70.5,14.297634946107864
22.20318183,603,61.67,122880,203,30,,,,,,,,,,,,
26.812363639999994,606,57.36,126976,209,31,128.66177411079406,0.0003,61.23104476928711,-0.7556473307311535,300,0.0046407646,0.3052547574043274,0.2,-0.0035228606408054474,0.027734375,,
,,,130000,,,106.679740858078,0.0003,47.7569465637207,-0.7165093641728163,310,0.005298524,0.12550991773605347,0.2,-0.005863408400909975,0.05673828125,67.28,16.641089525222778
18.91018184,600,65.98,131072,218,32,,,,,,,,,,,,
14.67290912,604,70.14,135168,223,33,93.85598945617676,0.0003,47.48975372314453,-0.7947307135909796,320,0.00475702,0.3220061659812927,0.2,-0.003299017269455362,0.0564697265625,,
20.482727290000003,607,64.51,139264,229,34,108.19175434112549,0.0003,48.13945007324219,-0.7863222319632769,330,0.0036793274,0.33938515186309814,0.2,-0.00228582819836447,0.040771484375,,
,,,140000,,,119.21417517662049,0.0003,55.70135498046875,-0.7711770176887512,340,0.003359659,0.33652377128601074,0.2,-0.0037676351988920943,0.0341064453125,55.36,27.092726019620894
22.3158182,604,62.21,143360,237,35,,,,,,,,,,,,
25.588909099999995,608,58.76,147456,242,36,124.94725151062012,0.0003,58.379642486572266,-0.7525561578571797,350,0.0042174,0.3546990156173706,0.2,-0.00332638393920206,0.0309814453125,,
,,,150000,,,111.83182101249695,0.0003,52.108299255371094,-0.7549867454916239,360,0.0046879044,0.21504628658294678,0.2,-0.004786635706113884,0.05,66.7,16.052180459499358
21.5159091,604,60.34,151552,250,37,,,,,,,,,,,,
