time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_fraction,train/loss,train/n_updates,train/entropy_loss,train/approx_kl,train/learning_rate,train/clip_range,train/value_loss,train/policy_gradient_loss,train/explained_variance,eval/mean_reward,eval/mean_ep_length
812,1,5,4096,150.4814814814815,-43.94208744444444,,,,,,,,,,,,
743,2,11,8192,151.0943396226415,-45.10771860377357,0.058154296875,30.226974487304688,10,-1.082236759364605,0.008610325,0.0003,0.2,67.20072467327118,-0.009121363835583906,-0.0017230510711669922,,
,,,10000,,,0.0613037109375,50.496681213378906,20,-1.063821030035615,0.007521816,0.0003,0.2,86.37051193714142,-0.007781751634320244,0.07180702686309814,-22.189638361930847,123.18
538,3,22,12288,133.72527472527472,-30.283916010989014,,,,,,,,,,,,
583,4,28,16384,117.12,-16.96427269,0.067626953125,65.42833709716797,30,-1.0057504948228597,0.008157097,0.0003,0.2,144.5574840068817,-0.009639383367903065,0.025300025939941406,,
,,,20000,,,0.0138671875,65.69197082519531,40,-0.9810925506055355,0.005061236,0.0003,0.2,158.09740967750548,-0.004910206302884035,0.09320068359375,-9.868001806735993,105.28
533,5,38,20480,106.36,-8.830818140000002,,,,,,,,,,,,
565,6,43,24576,91.19,2.61909095,0.054150390625,70.13248443603516,50,-0.9647174496203661,0.0052132467,0.0003,0.2,159.2183572769165,-0.006458807042508852,0.06724882125854492,,
589,7,48,28672,81.03,11.18327275,0.02158203125,77.742919921875,60,-0.9555739600211381,0.0050069275,0.0003,0.2,182.0709942817688,-0.005303205648669973,0.08804988861083984,,
,,,30000,,,0.056689453125,85.20098876953125,70,-0.9415130455046892,0.0074052047,0.0003,0.2,164.24782032966613,-0.008090954464569223,0.05526536703109741,5.743634769916534,85.28
567,8,57,32768,77.73,13.503272749999999,,,,,,,,,,,,
586,9,62,36864,81.39,7.054727300000001,0.0182861328125,73.91654968261719,80,-0.8969222977757454,0.004953824,0.0003,0.2,146.76454286575319,-0.0044021042660460806,0.08695942163467407,,
,,,40000,,,0.0366455078125,66.09780883789062,90,-0.8468832183629275,0.0059449393,0.0003,0.2,140.5359682559967,-0.0036508440745819824,0.09903264045715332,24.16690774202347,62.8
578,10,70,40960,76.34,13.765272750000003,,,,,,,,,,,,
593,11,75,45056,70.77,18.12436365,0.06513671875,63.69353485107422,100,-0.8849414147436618,0.0061340495,0.0003,0.2,139.9734416484833,-0.007045529756578617,0.16452902555465698,,
607,12,80,49152,66.72,19.5947273,0.0620361328125,47.6712532043457,110,-0.8579241592437029,0.0054227347,0.0003,0.2,107.72301406860352,-0.006843093338829931,0.09763604402542114,,
,,,50000,,,0.0402587890625,51.00653839111328,120,-0.8185460951179266,0.0056499843,0.0003,0.2,107.39499053955078,-0.003966050567396451,0.13879507780075073,13.907453112602234,72.38
592,13,89,53248,65.54,19.750636399999998,,,,,,,,,,,,
602,14,95,57344,63.06,21.83963639,0.03095703125,49.90441131591797,130,-0.8293865863233805,0.0044925865,0.0003,0.2,107.78385014533997,-0.0036492139246547596,0.28048503398895264,,
,,,60000,,,0.032958984375,53.525325775146484,140,-0.7928947828710079,0.003946051,0.0003,0.2,121.92611956596375,-0.0050526180872111585,0.33196258544921875,27.543816915750504,56.5
596,15,103,61440,58.06,25.464272749999996,,,,,,,,,,,,
605,16,108,65536,56.93,24.718909100000005,0.0337158203125,55.9167366027832,150,-0.7709993369877338,0.004075398,0.0003,0.2,117.98538284301758,-0.0033136466256109996,0.3059957027435303,,
614,17,113,69632,58.99,23.51936364,0.03662109375,48.30127716064453,160,-0.722690412029624,0.003952126,0.0003,0.2,116.25433001518249,-0.003404003396281041,-0.007367730140686035,,
,,,70000,,,0.0502197265625,43.80714797973633,170,-0.7564861282706261,0.005244915,0.0003,0.2,80.42024590969086,-0.004011396825080738,0.2652764916419983,23.203453259468077,59.36
608,18,121,73728,60.27,22.160363640000003,,,,,,,,,,,,
615,19,126,77824,61.53,19.898000009999997,0.0317626953125,42.47237777709961,180,-0.7062693294137716,0.004245168,0.0003,0.2,92.5646897315979,-0.0033911241989699192,0.20889395475387573,,
,,,80000,,,0.03330078125,39.95854568481445,190,-0.6921237345784903,0.0046228156,0.0003,0.2,90.13017365932464,-0.0012759472156176344,0.4838360548019409,20.036725916862487,64.68
608,20,134,81920,57.45,24.987909109999997,,,,,,,,,,,,
