time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/explained_variance,train/loss,train/clip_range,train/n_updates,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
4096,243,16,1,,,,,,,,,,,,
8192,187,43,2,-0.14472675323486328,0.07087302953004837,0.2,10,0.010389887,0.22449590670876204,-0.009967222495470196,0.0966064453125,0.0003,-1.0861244075000287,,
10000,,,,-0.05174124240875244,0.010067932307720184,0.2,20,0.011085073,0.15603667865507304,-0.013197743270575301,0.1208251953125,0.0003,-1.0482444226741792,-35.042911270856855,139.66
12288,127,96,3,,,,,,,,,,,,
16384,133,122,4,0.13569039106369019,0.04580369591712952,0.2,30,0.011884579,0.2655254578217864,-0.016412816397496498,0.1496337890625,0.0003,-1.0213253960013389,,
20000,,,,0.12427181005477905,0.08740608394145966,0.2,40,0.011289407,0.33964308286085726,-0.014491075374826324,0.1356201171875,0.0003,-1.00388543009758,8.02472563624382,87.52
20480,123,165,5,,,,,,,,,,,,
24576,128,191,6,0.07367664575576782,0.07857566326856613,0.2,50,0.011312929,0.3209146506153047,-0.011024750393698924,0.11806640625,0.0003,-0.987126388028264,,
28672,131,218,7,0.08073538541793823,0.09443115442991257,0.2,60,0.011544244,0.3326878032647073,-0.012854982895078138,0.1375244140625,0.0003,-0.9501365102827549,,
30000,,,,0.15236884355545044,0.03871520608663559,0.2,70,0.00932011,0.28765549017116426,-0.013009557250188663,0.1218017578125,0.0003,-0.9159261215478182,22.521998586654664,67.56
32768,127,256,8,,,,,,,,,,,,
36864,130,282,9,0.0763387680053711,0.03994365781545639,0.2,80,0.012359558,0.27803840646520256,-0.016539654409280048,0.1530517578125,0.0003,-0.8687558956444263,,
40000,,,,0.020823001861572266,0.028778444975614548,0.2,90,0.01239641,0.21100365351885558,-0.016133673873264344,0.1626708984375,0.0003,-0.8699249446392059,28.07999869585037,58.4
40960,128,319,10,,,,,,,,,,,,
45056,130,345,11,0.08361250162124634,0.026576444506645203,0.2,100,0.012625451,0.18890917506068944,-0.013612942635518266,0.14140625,0.0003,-0.8435078803449869,,
49152,132,372,12,0.1531848907470703,0.0038587376475334167,0.2,110,0.019926935,0.14672489161603153,-0.013254737546958495,0.16259765625,0.0003,-0.8409065857529641,,
