time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/n_updates,train/explained_variance,train/loss,train/clip_range,train/learning_rate,train/approx_kl
19,4096,1,211,,,,,,,,,,
50,8192,2,162,0.076123046875,-1.0499475169926882,-0.008795645830105059,0.37552400957793,10,-0.05734074115753174,0.06924925744533539,0.2,0.0003,0.009536821
80,12288,3,152,0.1178466796875,-1.0454872474074364,-0.01383600177214248,0.24065435510128735,20,0.016211509704589844,0.06943350285291672,0.2,0.0003,0.011035619
15,16384,1,261,0.157373046875,-1.0040902718901634,-0.017782086713123136,0.2818582204170525,30,0.12813067436218262,0.05424016714096069,0.2,0.0003,0.012546733
42,20480,2,192,0.154296875,-0.9897206205874681,-0.01795177492313087,0.32828736025840044,40,0.0953872799873352,0.07586251199245453,0.2,0.0003,0.010364266
69,24576,3,176,0.144189453125,-0.9677919637411833,-0.015922983347263654,0.30835207300260664,50,-0.023014545440673828,0.07278924435377121,0.2,0.0003,0.010733811
16,28672,1,241,0.1552490234375,-0.9115419242531061,-0.016923388378927484,0.27510694712400435,60,0.007570087909698486,0.08099143952131271,0.2,0.0003,0.013397045
49,32768,2,164,0.171240234375,-0.9038713198155165,-0.017089637878234497,0.25494183087721467,70,-0.06508517265319824,0.029286585748195648,0.2,0.0003,0.012391591
76,36864,3,160,0.1689697265625,-0.8645289644598961,-0.019372091873083263,0.19134500063955784,80,0.015993952751159668,0.02004869282245636,0.2,0.0003,0.012246303
15,40960,1,263,0.1619140625,-0.8616786442697049,-0.01629926007881295,0.17865484720095992,90,0.028779208660125732,0.0015554726123809814,0.2,0.0003,0.012818597
42,45056,2,194,0.1552978515625,-0.8299354337155819,-0.01655624213453848,0.14593473630957304,100,0.08089613914489746,-0.017074450850486755,0.2,0.0003,0.011847099
69,49152,3,178,0.1606201171875,-0.8147159580141305,-0.02053319232945796,0.1641212702728808,110,0.07622605562210083,0.006671130657196045,0.2,0.0003,0.012486836
15,53248,1,266,0.164990234375,-0.7809287060052157,-0.01888631354959216,0.15035188193432986,120,0.08757764101028442,-0.005437545478343964,0.2,0.0003,0.012693841
41,57344,2,196,0.1615966796875,-0.7912604942917824,-0.016781825700309127,0.12779683927074076,130,0.34950369596481323,0.0019528307020664215,0.2,0.0003,0.015048953
68,61440,3,179,0.1587158203125,-0.751946447044611,-0.015466102541540749,0.09377025638241321,140,0.10058659315109253,-0.0053408704698085785,0.2,0.0003,0.0145999845
15,65536,1,267,0.166064453125,-0.7569272115826606,-0.019815173772803972,0.11321252365596593,150,0.2184867262840271,-0.02444469928741455,0.2,0.0003,0.014594315
41,69632,2,195,0.166748046875,-0.7391504492610693,-0.012719378314795905,0.11493496699258685,160,0.24897456169128418,-0.008527394384145737,0.2,0.0003,0.015284902
68,73728,3,179,0.170361328125,-0.7387655045837164,-0.015574263557209634,0.11352427871897816,170,0.14836663007736206,-0.01003044843673706,0.2,0.0003,0.014314074
15,77824,1,266,0.16298828125,-0.7084422241896391,-0.020372635949752294,0.10858553661964834,180,0.35423511266708374,-0.0155918188393116,0.2,0.0003,0.015254295
41,81920,2,196,0.1667236328125,-0.7254211641848087,-0.016265406730235556,0.13358128326945007,190,0.40100711584091187,0.003617793321609497,0.2,0.0003,0.015256872
68,86016,3,180,0.15673828125,-0.7128290347754955,-0.012273917364655062,0.12407034584321082,200,0.4538697600364685,0.0013858228921890259,0.2,0.0003,0.012405714
