time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/clip_fraction,train/approx_kl,train/value_loss,train/explained_variance,train/entropy_loss,train/learning_rate,train/clip_range,train/loss,train/policy_gradient_loss,train/n_updates
3,5120,1,1334,,,,,,,,,,
9,10240,2,1112,0.0566015625,0.009077882,0.7790903627872467,-0.001113295555114746,-1.0711401414871216,0.0003,0.2,0.3575502038002014,-0.007194959460757672,10
2,15360,1,1906,0.10138671875,0.009930681,0.24657084301114082,-0.32127845287323,-1.04217322319746,0.0003,0.2,0.02068999409675598,-0.010264020897448062,20
7,20480,2,1330,0.17603515625,0.011649337,0.2816770327091217,0.06344461441040039,-0.9980452424287796,0.0003,0.2,0.0472472608089447,-0.017819510991685092,30
3,25600,1,1604,0.1503515625,0.01200699,0.29618812441825865,0.023254990577697754,-0.9918163108825684,0.0003,0.2,0.10051527619361877,-0.011128131821751595,40
7,30720,2,1291,0.11119140625,0.008248799,0.3799062682688236,0.07675009965896606,-0.9219212281703949,0.0003,0.2,0.0961199402809143,-0.011594708929769694,50
2,35840,1,1867,0.16349609375,0.011203269,0.3391826191544533,0.15932220220565796,-0.8920926412940026,0.0003,0.2,0.09934405982494354,-0.014746771892532706,60
7,40960,2,1340,0.16970703125,0.011879618,0.32402456760406495,0.15865349769592285,-0.8680656281113625,0.0003,0.2,0.07797384262084961,-0.018786011280026285,70
2,46080,1,1724,0.15302734375,0.012614968,0.2999086682498455,0.12545055150985718,-0.8666870194673538,0.0003,0.2,0.06341278553009033,-0.0176122557441704,80
9,51200,2,1110,0.1641015625,0.011466554,0.22775659948587418,0.09675514698028564,-0.8604947799444198,0.0003,0.2,0.05047886073589325,-0.01621533903526142,90
2,56320,1,1715,0.1735546875,0.011678683,0.2160456070303917,0.11236035823822021,-0.8340545278787613,0.0003,0.2,0.0323844738304615,-0.0152824648283422,100
8,61440,2,1208,0.16337890625,0.012419007,0.19886538915336133,0.13210463523864746,-0.8145261043310166,0.0003,0.2,0.023894671350717545,-0.017524939228314905,110
3,66560,1,1442,0.16017578125,0.012726931,0.16416587747633457,0.21261930465698242,-0.7891760414838791,0.0003,0.2,0.006621580570936203,-0.014354344336315989,120
9,71680,2,1132,0.1512109375,0.012648059,0.19328684248030187,0.2119464874267578,-0.7745450720191002,0.0003,0.2,0.023245569318532944,-0.01496171937789768,130
3,76800,1,1662,0.1503125,0.013476862,0.17411660879850388,0.3550238609313965,-0.7361061599850655,0.0003,0.2,0.027610231190919876,-0.013864444030914455,140
7,81920,2,1281,0.1645703125,0.013049712,0.1639040008559823,0.148889422416687,-0.7102741307020187,0.0003,0.2,0.02116948366165161,-0.014363139984197915,150
2,87040,1,1947,0.15498046875,0.016089361,0.16539708998054267,0.2769320011138916,-0.7330800056457519,0.0003,0.2,0.007165774703025818,-0.012209918480366469,160
7,92160,2,1392,0.180625,0.019197205,0.16374420937150716,0.22160053253173828,-0.727160966694355,0.0003,0.2,0.00398138165473938,-0.018338841462973505,170
2,97280,1,1918,0.18310546875,0.017937139,0.16488666020333767,0.31852591037750244,-0.7222476470470428,0.0003,0.2,0.011504992842674255,-0.018593240086920558,180
8,102400,2,1267,0.1825390625,0.016381126,0.15697628498077393,0.2720170021057129,-0.7188201010227203,0.0003,0.2,0.012275736778974533,-0.016463572373613716,190
