time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/clip_range,train/loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/explained_variance,train/value_loss,train/approx_kl
5120,1768,2,1,,,,,,,,,,
10240,1402,7,2,0.2,0.2400175929069519,10,-1.061388755440712,-0.008363268047105521,0.0003,0.08283203125,-0.030838966369628906,0.7087373656034469,0.011770395
15360,1351,11,3,0.2,0.05885292589664459,20,-1.0419819125533103,-0.010848074657842518,0.0003,0.10146484375,-0.17844343185424805,0.24697107560932635,0.008814711
20480,1335,15,4,0.2,0.04422682523727417,30,-1.0023998838663102,-0.015556962126865984,0.0003,0.1598046875,0.09946846961975098,0.29221454575657846,0.009818684
25600,1307,19,5,0.2,0.12544725835323334,40,-0.9885011905431748,-0.010832755647134035,0.0003,0.11044921875,0.07273870706558228,0.4004034565389156,0.009562502
30720,1270,24,6,0.2,0.09755104780197144,50,-0.9533172532916069,-0.016172458524815737,0.0003,0.15869140625,0.11809200048446655,0.3673179476708174,0.012519705
35840,1253,28,7,0.2,0.10983319580554962,60,-0.9317169252038002,-0.016069090000819415,0.0003,0.14546875,0.039361655712127686,0.37914777159690854,0.011714197
40960,1244,32,8,0.2,0.09000619500875473,70,-0.9077881908416748,-0.013263096811715513,0.0003,0.16388671875,0.1290683150291443,0.31858291283249857,0.011701452
46080,1234,37,9,0.2,0.05730719119310379,80,-0.8887757062911987,-0.014073804067447782,0.0003,0.17162109375,0.12716352939605713,0.28416531436145304,0.011548439
51200,1230,41,10,0.2,0.016046233475208282,90,-0.8657984778285026,-0.013109826638828963,0.0003,0.16185546875,-0.002797722816467285,0.20953870937228203,0.014099941
56320,2255,2,1,0.2,0.019999384880065918,100,-0.8243028411269188,-0.016508021824993193,0.0003,0.16859375,0.0930410623550415,0.12656923823058605,0.014699605
61440,1519,6,2,0.2,-0.023686494678258896,110,-0.8249017700552941,-0.015171632319688797,0.0003,0.157109375,0.2356022596359253,0.09060732938349247,0.011993815
66560,1368,11,3,0.2,-0.019366800785064697,120,-0.805102083683014,-0.013241059081628918,0.0003,0.15826171875,0.03285866975784302,0.1087210913002491,0.01033366
71680,1326,15,4,0.2,-0.0009679347276687622,130,-0.766963341832161,-0.013266822034493088,0.0003,0.1633984375,0.1904315948486328,0.1132523524388671,0.014538743
76800,1295,19,5,0.2,-0.015565849840641022,140,-0.7740704807639122,-0.012742742772679776,0.0003,0.1522265625,0.26451438665390015,0.10734849631786346,0.013552901
81920,1263,24,6,0.2,-0.0283549502491951,150,-0.7316061812639236,-0.013848280576057732,0.0003,0.17041015625,0.27809321880340576,0.08927036173641682,0.013480102
87040,1248,28,7,0.2,-0.006555434316396713,160,-0.742573909163475,-0.013433434711769223,0.0003,0.1428515625,0.31260204315185547,0.10970510188490153,0.011039777
92160,1239,33,8,0.2,-0.0025123581290245056,170,-0.7468831366300583,-0.012900541303679347,0.0003,0.15619140625,0.34198635816574097,0.12933935582637787,0.012541021
97280,1220,37,9,0.2,-0.01174616813659668,180,-0.7387598168849945,-0.013871000530198217,0.0003,0.153125,0.33100074529647827,0.11650187261402607,0.01216909
102400,1208,42,10,0.2,-0.007562331855297089,190,-0.7288268607854843,-0.0149143416271545,0.0003,0.144453125,0.3332972526550293,0.12091168493032456,0.013031036
107520,1946,2,1,0.2,0.004443220794200897,200,-0.7212077814340592,-0.01429835741641,0.0003,0.1648046875,0.3680911064147949,0.130316164791584,0.0139538795
112640,1440,7,2,0.2,-0.0270988792181015,210,-0.8216442561149597,-0.019719198164530098,0.0003,0.18888671875,0.5105035305023193,0.1403179533034563,0.017728817
117760,1331,11,3,0.2,-0.01635904610157013,220,-0.8502940407395363,-0.015409368961118162,0.0003,0.20419921875,0.7021640539169312,0.1484880078211427,0.018877843
122880,1290,15,4,0.2,0.014502294361591339,230,-0.8690318989753724,-0.014109081802889705,0.0003,0.1930859375,0.7234687209129333,0.19085521582514048,0.016266037
128000,1258,20,5,0.2,-0.024790063500404358,240,-0.8551376536488533,-0.01495899972273037,0.0003,0.1896484375,0.6804736256599426,0.20337054543197156,0.013949804
133120,1195,25,6,0.2,0.02582278847694397,250,-0.8621986237168312,-0.014784982870332896,0.0003,0.19822265625,0.649814248085022,0.23293169982731343,0.016256541
138240,1135,31,7,0.2,-0.013596393167972565,260,-0.8805325132608414,-0.01389489989494905,0.0003,0.2077734375,0.630110502243042,0.21416115559637547,0.018307738
