time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/learning_rate,train/entropy_loss,train/clip_fraction,train/value_loss,train/explained_variance,train/clip_range,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/loss
2,1,5120,1862,,,,,,,,,,
7,2,10240,1303,0.0003,-1.0733136361837388,0.0690625,0.9109153331816197,-0.03310441970825195,0.2,10,-0.007805999026168138,0.010709311,0.23497754335403442
12,3,15360,1255,0.0003,-1.0419136494398118,0.10275390625,0.37711982138454914,-0.10479867458343506,0.2,20,-0.010941296482924372,0.009244914,0.09460414201021194
16,4,20480,1243,0.0003,-1.0174367088079452,0.1494921875,0.34888510331511496,0.031362295150756836,0.2,30,-0.013686103026848286,0.010061659,0.0985569953918457
20,5,25600,1240,0.0003,-0.9986560672521592,0.14462890625,0.44782665744423866,0.1394922137260437,0.2,40,-0.014213066033553332,0.010808453,0.1371164619922638
24,6,30720,1229,0.0003,-0.9433582234382629,0.12259765625,0.5342682944238186,0.08950567245483398,0.2,50,-0.01313650930300355,0.0107052345,0.14122727513313293
29,7,35840,1219,0.0003,-0.9273609760403633,0.14044921875,0.426940601170063,0.1173546314239502,0.2,60,-0.013643285743892192,0.011254249,0.11228162795305252
33,8,40960,1208,0.0003,-0.8889995005726814,0.1595703125,0.35956936091184616,0.11992067098617554,0.2,70,-0.01730016347952187,0.011735311,0.09288859367370605
38,9,46080,1201,0.0003,-0.8481871330738068,0.16478515625,0.33743430599570273,0.12421000003814697,0.2,80,-0.014089393024332821,0.012217574,0.08806411176919937
42,10,51200,1198,0.0003,-0.8497005105018616,0.14427734375,0.27007654413580895,0.12236016988754272,0.2,90,-0.01198437280021608,0.010104575,0.06108446419239044
2,1,56320,2030,0.0003,-0.8206916129589081,0.13994140625,0.2326412108540535,0.11037153005599976,0.2,100,-0.014387537648435682,0.011383829,0.017986595630645752
7,2,61440,1406,0.0003,-0.7662368074059487,0.1523828125,0.16892570797353984,0.087985098361969,0.2,110,-0.014931851788423956,0.0121755265,0.005998529493808746
13,3,66560,1159,0.0003,-0.7858196586370468,0.1637890625,0.1414091417938471,0.07761877775192261,0.2,120,-0.015910762469284235,0.014052471,-0.008863434195518494
20,4,71680,1022,0.0003,-0.7567043825984001,0.14896484375,0.15923303041607142,0.17631250619888306,0.2,130,-0.016418993943370878,0.011957255,0.008961662650108337
25,5,76800,996,0.0003,-0.7537494623661041,0.15826171875,0.1596178699284792,0.07388901710510254,0.2,140,-0.012922129733487964,0.0144422855,0.034507863223552704
30,6,81920,1003,0.0003,-0.7166705763339997,0.14275390625,0.15053598113358022,0.34176379442214966,0.2,150,-0.014150697479490191,0.011039766,-0.008242495357990265
35,7,87040,1008,0.0003,-0.6819472867250442,0.142109375,0.14909867856651546,0.2772483229637146,0.2,160,-0.013653933966998011,0.012645033,0.022122472524642944
40,8,92160,1014,0.0003,-0.6838343176245689,0.14537109375,0.099008878916502,0.26283639669418335,0.2,170,-0.01230911141494289,0.012487497,0.008497703820466995
45,9,97280,1011,0.0003,-0.6703611424565316,0.15375,0.12387795329093933,0.2566251754760742,0.2,180,-0.016462432814296334,0.015590861,-0.0031055696308612823
50,10,102400,1016,0.0003,-0.6769035193324089,0.14193359375,0.15222406174987554,0.3011992573738098,0.2,190,-0.013017172978725284,0.011854491,-0.009686164557933807
3,1,107520,1509,0.0003,-0.6658093711733818,0.15126953125,0.11125971376895905,-0.016375184059143066,0.2,200,-0.015649458300322293,0.013919229,-0.0024912357330322266
8,2,112640,1229,0.0003,-0.7528361827135086,0.2094140625,0.038723694505169985,-0.24395430088043213,0.2,210,-0.014017241939436645,0.018147938,-0.046845026314258575
13,3,117760,1163,0.0003,-0.7882919746637345,0.2219921875,0.056040838826447725,0.2775695323944092,0.2,220,-0.013961723109241575,0.020885702,-0.0502498485147953
18,4,122880,1128,0.0003,-0.7867336457967758,0.19236328125,0.059809998739510775,0.30486249923706055,0.2,230,-0.01656377248931676,0.018287163,-0.028200926259160042
23,5,128000,1097,0.0003,-0.807442138493061,0.20484375,0.07789753792807459,0.19626033306121826,0.2,240,-0.015940922307781876,0.021612456,-0.043913304805755615
28,6,133120,1077,0.0003,-0.8342550498247147,0.224296875,0.07246103132143616,0.16597074270248413,0.2,250,-0.013772669051541016,0.025643414,-0.025856954976916313
33,7,138240,1074,0.0003,-0.8644967225193977,0.20904296875,0.07992168370634317,0.04069554805755615,0.2,260,-0.0199177237553522,0.019308412,-0.050941359251737595
38,8,143360,1064,0.0003,-0.8597881311178207,0.1971484375,0.06925667183473706,-0.030452370643615723,0.2,270,-0.018188389670103788,0.018189525,-0.047483835369348526
43,9,148480,1063,0.0003,-0.8663843813538551,0.20681640625,0.07480078227818013,0.17091554403305054,0.2,280,-0.01987101651960984,0.01942371,-0.04176356643438339
47,10,153600,1068,0.0003,-0.8665370905399322,0.21423828125,0.08414400361478329,0.15030252933502197,0.2,290,-0.019854619519319387,0.021029517,-0.039152588695287704
2,1,158720,1733,0.0003,-0.8504022789001465,0.19248046875,0.0871354654431343,0.22062236070632935,0.2,300,-0.018684390811249615,0.017245904,-0.04364907741546631
