time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/approx_kl,train/clip_fraction,train/explained_variance,train/loss,train/value_loss,train/n_updates,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/entropy_loss
3,5120,1515,1,,,,,,,,,,
8,10240,1225,2,0.009916737,0.0923046875,-0.01030874252319336,0.3217043876647949,0.8663317143917084,10,0.0003,0.2,-0.009120164634659887,-1.072827684879303
13,15360,1176,3,0.009976592,0.1245703125,-0.17088985443115234,0.037152573466300964,0.2656128828972578,20,0.0003,0.2,-0.012964267591014505,-1.045591853260994
17,20480,1154,4,0.01039326,0.1225390625,0.019675850868225098,0.06170250475406647,0.3567482729256153,30,0.0003,0.2,-0.014699533889070153,-1.0070415371656418
23,25600,1081,5,0.010983737,0.14314453125,0.1257941722869873,0.14349015057086945,0.4282758490741253,40,0.0003,0.2,-0.01549431286053732,-0.9799708738923073
28,30720,1075,6,0.01038094,0.13724609375,0.09197753667831421,0.13828568160533905,0.4739258688688278,50,0.0003,0.2,-0.01682177444919944,-0.9607241925597191
33,35840,1057,7,0.011890702,0.16919921875,0.1062922477722168,0.13421934843063354,0.39522801026701926,60,0.0003,0.2,-0.016104973941110073,-0.930768936574459
39,40960,1048,8,0.010837221,0.14048828125,0.13013803958892822,0.06797809898853302,0.32307704985141755,70,0.0003,0.2,-0.015185080009978265,-0.903684828877449
43,46080,1058,9,0.014980843,0.15771484375,0.18450415134429932,0.06729403883218765,0.29663431711494925,80,0.0003,0.2,-0.013799207403790205,-0.8564780986309052
48,51200,1063,10,0.013829107,0.16587890625,0.20980674028396606,0.045231692492961884,0.21668146796524523,90,0.0003,0.2,-0.014489066153764725,-0.8638291591405869
2,56320,2073,1,0.014729279,0.175390625,0.05070388317108154,0.0631629228591919,0.22705034606158733,100,0.0003,0.2,-0.01558012244058773,-0.8288920047879219
7,61440,1303,2,0.01076723,0.15140625,0.15245437622070312,0.00755561888217926,0.17789303600788117,110,0.0003,0.2,-0.014011398267466574,-0.8170129117369652
13,66560,1175,3,0.013925304,0.14794921875,0.1092563271522522,0.0036493390798568726,0.17180006451904772,120,0.0003,0.2,-0.016731755146756767,-0.7875138708949089
18,71680,1133,4,0.01579021,0.163125,0.16548579931259155,0.010125130414962769,0.17355556551367043,130,0.0003,0.2,-0.016799291025381535,-0.7759735834598541
22,76800,1117,5,0.015331963,0.1541015625,0.18015694618225098,-0.010941635817289352,0.14117989793419838,140,0.0003,0.2,-0.013979972938541323,-0.7778893557190895
28,81920,1088,6,0.012279198,0.14068359375,0.20778071880340576,-0.004017386585474014,0.12092404142022133,150,0.0003,0.2,-0.012612152842339129,-0.7624973902106285
33,87040,1057,7,0.015568303,0.151875,0.11378729343414307,-0.016086407005786896,0.12565958481281997,160,0.0003,0.2,-0.014235644438304006,-0.7468506321310997
39,92160,1039,8,0.015882764,0.1533984375,0.22255361080169678,0.010973285883665085,0.12918297357857228,170,0.0003,0.2,-0.016743755722418426,-0.7459404766559601
44,97280,1043,9,0.016711242,0.15232421875,0.28542560338974,0.022667720913887024,0.1473294260725379,180,0.0003,0.2,-0.014956555711105466,-0.7317437800765038
49,102400,1035,10,0.014001293,0.14501953125,0.20025962591171265,-0.016276299953460693,0.13922088276594877,190,0.0003,0.2,-0.017996879040729254,-0.7043188655376434
2,107520,2057,1,0.0155629665,0.15525390625,0.17020976543426514,-0.00954367220401764,0.1297578664124012,200,0.0003,0.2,-0.014843592341057955,-0.7156506019830704
7,112640,1431,2,0.016253429,0.14751953125,0.2998015284538269,-0.004401907324790955,0.13148599941283465,210,0.0003,0.2,-0.018642443451099097,-0.722738251388073
11,117760,1309,3,0.017661767,0.153203125,0.13955247402191162,-0.02255190536379814,0.11446956254541873,220,0.0003,0.2,-0.01711957165505737,-0.6973449313640594
16,122880,1238,4,0.013098521,0.13234375,0.2263864278793335,-0.02342294156551361,0.10123086545616389,230,0.0003,0.2,-0.015016246428713203,-0.683789589703083
21,128000,1209,5,0.017099276,0.1542578125,0.16923236846923828,-0.016311410814523697,0.0974513590335846,240,0.0003,0.2,-0.01739891216158867,-0.6705876162648201
