time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/policy_gradient_loss,train/clip_fraction,train/entropy_loss,train/approx_kl,train/learning_rate,train/explained_variance,train/clip_range,train/n_updates,train/value_loss,train/loss
1995,5120,2,1,,,,,,,,,,
1351,10240,7,2,-0.007661050917813554,0.092890625,-1.0722566652297973,0.008600239,0.0003,-0.025054097175598145,0.2,10,1.1511673203110695,0.43826401233673096
1226,15360,12,3,-0.013990895822644234,0.16041015625,-1.03760335534811,0.012896143,0.0003,-0.07957327365875244,0.2,20,0.46779988244175913,0.22689399123191833
1227,20480,16,4,-0.012571546717081218,0.14361328125,-1.0120658197999,0.009627173,0.0003,-0.06334006786346436,0.2,30,0.40267741933465007,0.13832563161849976
1212,25600,21,5,-0.008811861441936344,0.0883984375,-1.0038254556059838,0.0084212115,0.0003,0.08708614110946655,0.2,40,0.5863587841391563,0.19637547433376312
1196,30720,25,6,-0.014539134319638833,0.1278515625,-0.988875402212143,0.010181164,0.0003,0.038834989070892334,0.2,50,0.5971953941881657,0.2654711902141571
1195,35840,29,7,-0.013102664719335735,0.138125,-0.9521868884563446,0.010749085,0.0003,0.128822922706604,0.2,60,0.5690946158766746,0.2709338665008545
1188,40960,34,8,-0.013129563659895212,0.1648828125,-0.9158779829740524,0.013123227,0.0003,0.09129655361175537,0.2,70,0.5972644232213498,0.21123120188713074
1184,46080,38,9,-0.014028184164781124,0.16068359375,-0.8862894338369369,0.01151005,0.0003,0.10746538639068604,0.2,80,0.595302325040102,0.2666696310043335
1185,51200,43,10,-0.012052952987141907,0.14951171875,-0.856015767455101,0.012977062,0.0003,0.20409685373306274,0.2,90,0.582971491664648,0.21631571650505066
2093,56320,2,1,-0.011278199644293637,0.15056640625,-0.8151407581567764,0.0119795855,0.0003,0.07203829288482666,0.2,100,0.4266310340166092,0.1623053252696991
1415,61440,7,2,-0.013005224119406194,0.19650390625,-0.7958253780007363,0.016040148,0.0003,0.15784388780593872,0.2,110,0.3120576247572899,0.10586635768413544
1331,66560,11,3,-0.012636264334432781,0.150703125,-0.7509171137213707,0.013454703,0.0003,0.12952595949172974,0.2,120,0.23943314768373966,0.0902559831738472
1306,71680,15,4,-0.01368221596814692,0.16126953125,-0.76664881169796,0.012770896,0.0003,0.1661815643310547,0.2,130,0.21629254788160324,0.056538015604019165
1257,76800,20,5,-0.012830634459387511,0.17548828125,-0.7308476421236992,0.014319083,0.0003,0.18771588802337646,0.2,140,0.14493285864591599,0.04677565395832062
1232,81920,24,6,-0.014536066059954465,0.1706640625,-0.6819473373889923,0.016645636,0.0003,0.03464466333389282,0.2,150,0.14024377267807722,0.0125957652926445
1221,87040,29,7,-0.015692020682618022,0.166328125,-0.6543087148666382,0.014667297,0.0003,0.16489523649215698,0.2,160,0.14094173993915318,0.02713688090443611
1210,92160,33,8,-0.009904581885784865,0.161015625,-0.6476181101799011,0.016054055,0.0003,0.18954229354858398,0.2,170,0.15593618892133235,0.047422558069229126
1204,97280,38,9,-0.013697340246289968,0.17279296875,-0.6136830109357834,0.014699454,0.0003,0.2015199065208435,0.2,180,0.11485971707850695,0.01055929809808731
1202,102400,42,10,-0.011715247507672756,0.157734375,-0.6111400645971298,0.015645768,0.0003,0.2791721820831299,0.2,190,0.13665773220360278,0.0557129830121994
2051,107520,2,1,-0.011584860027069226,0.16146484375,-0.6040874826908111,0.016337445,0.0003,0.1666049361228943,0.2,200,0.11711667884141207,0.021763503551483154
1515,112640,6,2,-0.014679650149773807,0.16953125,-0.5991944977641106,0.019177366,0.0003,0.21179169416427612,0.2,210,0.12288979094475508,0.04262591525912285
1399,117760,10,3,-0.01461280689574778,0.16419921875,-0.5524798940122128,0.017328646,0.0003,0.29206496477127075,0.2,220,0.13949602905660868,0.015596725046634674
1343,122880,15,4,-0.008963792831636966,0.16236328125,-0.5531966315209865,0.014904613,0.0003,0.2215924859046936,0.2,230,0.12849807452410458,0.051334843039512634
1308,128000,19,5,-0.012246216374915093,0.16958984375,-0.5266602219641209,0.014577145,0.0003,0.3383418321609497,0.2,240,0.11069538485258817,0.003146328032016754
1282,133120,23,6,-0.010560527259949595,0.16400390625,-0.5122209747135639,0.019519564,0.0003,0.3039882183074951,0.2,250,0.1395413178950548,0.040921784937381744
1270,138240,28,7,-0.010459423987194896,0.15857421875,-0.5112979434430599,0.014735962,0.0003,0.2940330505371094,0.2,260,0.13733495403081178,0.03909569978713989
1256,143360,32,8,-0.01492953090230003,0.1706640625,-0.5017620733380318,0.022088427,0.0003,0.3715862035751343,0.2,270,0.11756286691874265,0.020966947078704834
1246,148480,36,9,-0.012581925791455433,0.15048828125,-0.4850052860379219,0.01861893,0.0003,0.31642794609069824,0.2,280,0.09640391103923321,0.012988705188035965
1242,153600,41,10,-0.011157854814082385,0.15478515625,-0.5047433938086033,0.015854824,0.0003,0.38703644275665283,0.2,290,0.11019168626517058,0.02284817025065422
2120,158720,2,1,-0.012308628684841096,0.16052734375,-0.5073366494476795,0.026321927,0.0003,0.4587712287902832,0.2,300,0.11442867144942284,0.023389916867017746
1500,163840,6,2,-0.01590091586112976,0.17578125,-0.4826036450266838,0.018837154,0.0003,0.4953763484954834,0.2,310,0.08878578001633286,0.0010278895497322083
1383,168960,11,3,-0.015187632006127388,0.14244140625,-0.4812714883685112,0.018253941,0.0003,0.40019476413726807,0.2,320,0.09488208651542664,0.026135103777050972
1324,174080,15,4,-0.01329584541497752,0.160546875,-0.46469563141465187,0.023257526,0.0003,0.4616081118583679,0.2,330,0.11005691064521671,0.006228119134902954
1291,179200,19,5,-0.013290756687056274,0.15251953125,-0.46141607835888865,0.017294582,0.0003,0.3139379024505615,0.2,340,0.08360017215833068,0.006361093372106552
1272,184320,24,6,-0.020532117586117237,0.16474609375,-0.43412788420915605,0.026202772,0.0003,0.6132245063781738,0.2,350,0.08077014353126287,-0.028647346422076225
1258,189440,28,7,-0.015769069287925958,0.149140625,-0.42914642274379733,0.016228424,0.0003,0.4841952919960022,0.2,360,0.06517909556627273,-0.010059099644422531
1250,194560,32,8,-0.01336494748480618,0.1368359375,-0.40182081088423727,0.018139008,0.0003,0.6543293595314026,0.2,370,0.06038644433952868,-0.006086485460400581
1243,199680,37,9,-0.013530459315516054,0.12181640625,-0.38219268575310705,0.01602529,0.0003,0.6040946245193481,0.2,380,0.06956507037393748,0.008305737748742104
1238,204800,41,10,-0.013267667030449957,0.1310546875,-0.4250772359967232,0.01737276,0.0003,0.6501725912094116,0.2,390,0.1324735502153635,0.05256465822458267
2111,209920,2,1,-0.012896745027974247,0.1373828125,-0.3855367970466614,0.019342598,0.0003,0.3305497169494629,0.2,400,0.07685154553502799,0.0048295967280864716
1459,215040,7,2,-0.013142467550933361,0.13990234375,-0.42406690672039987,0.016199868,0.0003,0.39911407232284546,0.2,410,0.10924149697646499,0.004048462957143784
1349,220160,11,3,-0.014227356570772827,0.133046875,-0.4166568785905838,0.016917076,0.0003,0.5491488575935364,0.2,420,0.11302973067387939,0.022238347679376602
1295,225280,15,4,-0.01132042753044516,0.1343359375,-0.4086818766593933,0.01603487,0.0003,0.310541570186615,0.2,430,0.09799892995506525,-0.0008085798472166061
1273,230400,20,5,-0.013200862207449973,0.16138671875,-0.4046432410180569,0.02207041,0.0003,0.40571606159210205,0.2,440,0.06868146682158112,0.007380925118923187
1252,235520,24,6,-0.008493447203654796,0.15337890625,-0.4074490281939507,0.017952433,0.0003,0.33379489183425903,0.2,450,0.0814782153069973,-0.0036069341003894806
1241,240640,28,7,-0.01482493321876973,0.1463671875,-0.3906065137684345,0.02190133,0.0003,0.34149205684661865,0.2,460,0.0646795892715454,-0.0005592778325080872
1234,245760,33,8,-0.01552290346706286,0.13720703125,-0.3821472603082657,0.016281556,0.0003,0.3873128294944763,0.2,470,0.07481994282454252,-0.014591004699468613
1229,250880,37,9,-0.007328446621540934,0.121484375,-0.3348511955142021,0.017196687,0.0003,0.3725627064704895,0.2,480,0.06603356843814254,0.00105217844247818
1222,256000,41,10,-0.010287769199348986,0.127109375,-0.35382377594709397,0.017157858,0.0003,0.43327397108078003,0.2,490,0.07216077717021108,0.013014286756515503
2081,261120,2,1,-0.011157214322593064,0.12041015625,-0.35021106600761415,0.023292795,0.0003,0.41161608695983887,0.2,500,0.0948525602184236,0.021960895508527756
1461,266240,7,2,-0.0142129344958812,0.13142578125,-0.35137717306613925,0.019082038,0.0003,0.5606263875961304,0.2,510,0.05772080683149397,-0.016556650400161743
1357,271360,11,3,-0.01309651096817106,0.132734375,-0.3638979923725128,0.020296007,0.0003,0.565735936164856,0.2,520,0.0947290095128119,0.020337076857686043
1304,276480,15,4,-0.01280561178107746,0.1291015625,-0.37651036858558656,0.01688482,0.0003,0.5039950609207153,0.2,530,0.09776539359241725,0.016980081796646118
1285,281600,19,5,-0.017770579371135683,0.1496875,-0.3769178955256939,0.020442985,0.0003,0.4491368532180786,0.2,540,0.07818851413205266,-0.0020956285297870636
1270,286720,24,6,-0.012138956894632428,0.1308984375,-0.36435871303081513,0.02153537,0.0003,0.3842921257019043,0.2,550,0.08110119313001633,0.0011324267834424973
1264,291840,28,7,-0.013251255101058632,0.14021484375,-0.380818207859993,0.026764015,0.0003,0.055854082107543945,0.2,560,0.06031118689104915,-0.012585395947098732
1255,296960,32,8,-0.014929730121511966,0.15423828125,-0.3923048436641693,0.02417963,0.0003,0.18588823080062866,0.2,570,0.052785715851932764,-0.02205616794526577
1247,302080,36,9,-0.012995995514793322,0.14615234375,-0.4053021204471588,0.02790754,0.0003,0.27560555934906006,0.2,580,0.039836987070739266,-0.014192163944244385
1240,307200,41,10,-0.01579701125388965,0.15111328125,-0.38646857187151906,0.025149688,0.0003,0.39820927381515503,0.2,590,0.06101701753214002,-0.007933704182505608
2183,312320,2,1,-0.013864177707582713,0.1384765625,-0.379075311422348,0.025784582,0.0003,0.33913636207580566,0.2,600,0.0510890051163733,0.004422878846526146
1532,317440,6,2,-0.01653633755631745,0.12953125,-0.3841473688185215,0.018460708,0.0003,0.39267468452453613,0.2,610,0.06916001291945577,0.0018667541444301605
1372,322560,11,3,-0.01561259978916496,0.14333984375,-0.3720494881272316,0.025080714,0.0003,0.46115773916244507,0.2,620,0.07285372395068407,0.006090991199016571
1317,327680,15,4,-0.014666305377613754,0.14810546875,-0.3849981302022934,0.030628193,0.0003,0.29343509674072266,0.2,630,0.0648559413664043,-0.002432342618703842
1291,332800,19,5,-0.01273994917050004,0.143828125,-0.4332188810408115,0.021066077,0.0003,0.2929360866546631,0.2,640,0.0994983645156026,-0.0017208419740200043
1272,337920,24,6,-0.015723690539598465,0.14921875,-0.38771172508597374,0.027884867,0.0003,0.27428025007247925,0.2,650,0.05031140733510256,0.0024899207055568695
1261,343040,28,7,-0.01449926028959453,0.13849609375,-0.37397483572363854,0.023959236,0.0003,0.4444425702095032,0.2,660,0.03981524636503309,-0.026590142399072647
1254,348160,32,8,-0.016932590757496657,0.134375,-0.3763378500938416,0.018941605,0.0003,0.6543928384780884,0.2,670,0.05956469587981701,-0.022671982645988464
1248,353280,36,9,-0.015544585827738046,0.139921875,-0.39129349291324617,0.01823854,0.0003,0.7393038272857666,0.2,680,0.12269340958446265,0.031229965388774872
1229,358400,41,10,-0.01130497427424416,0.12591796875,-0.333975533246994,0.022601528,0.0003,0.23240041732788086,0.2,690,0.07398556454107165,0.00840078666806221
2038,363520,2,1,-0.009460996517445893,0.13185546875,-0.3598547105491161,0.023007374,0.0003,0.20319324731826782,0.2,700,0.0634366094879806,0.014373904094099998
1483,368640,6,2,-0.011917151869274676,0.12716796875,-0.3382605993747711,0.022750136,0.0003,0.21741878986358643,0.2,710,0.030166046391241253,-0.01562768593430519
1370,373760,11,3,-0.0165992373181507,0.1418359375,-0.3986403475701809,0.019536318,0.0003,0.4616215229034424,0.2,720,0.05963489742949605,-0.015529565513134003
1317,378880,15,4,-0.013980957460589707,0.128984375,-0.3475744922459125,0.02929709,0.0003,0.48825305700302124,0.2,730,0.04263577482663095,0.006877567619085312
1294,384000,19,5,-0.018095326484180985,0.13568359375,-0.3612942934036255,0.02005564,0.0003,0.5969433784484863,0.2,740,0.06565419152379036,-0.005467560142278671
1269,389120,24,6,-0.017577036274597047,0.13802734375,-0.3739815604686737,0.026876548,0.0003,0.49463850259780884,0.2,750,0.07980898480862379,-0.008118011057376862
1254,394240,28,7,-0.011943914107978343,0.125390625,-0.36069246083498,0.021672515,0.0003,0.4522365927696228,0.2,760,0.05363154573366046,-0.011562692001461983
1239,399360,33,8,-0.0175224681571126,0.13990234375,-0.3850459298491478,0.02316394,0.0003,0.4746564030647278,0.2,770,0.08224198614247143,-0.016117118299007416
1233,404480,37,9,-0.017164484993554652,0.1426171875,-0.37666613548994066,0.029384568,0.0003,0.429750919342041,0.2,780,0.09449655510485172,0.01915665902197361
1227,409600,41,10,-0.013886212452780456,0.15783203125,-0.4082814453542232,0.026669225,0.0003,0.20977568626403809,0.2,790,0.06490402333438397,-0.012061532586812973
