time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/clip_range,train/loss,train/approx_kl,train/explained_variance,train/learning_rate,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/clip_fraction
4,1254,5120,1,,,,,,,,,,
9,1074,10240,2,0.2,0.6952524781227112,0.007451985,0.015546739101409912,0.0003,10,-1.067617380619049,-0.004819660045905038,1.251603483557701,0.05078125
13,1104,15360,3,0.2,0.2616649568080902,0.011152094,-0.032952070236206055,0.0003,20,-1.0467850297689438,-0.011874070884659886,0.6275642868876458,0.10640625
18,1112,20480,4,0.2,0.2665001451969147,0.010037599,0.17542308568954468,0.0003,30,-0.9936446133255958,-0.01271163957659155,0.6634074857831002,0.12720703125
22,1117,25600,5,0.2,0.2519826889038086,0.010358733,0.2001212239265442,0.0003,40,-0.9959653162956238,-0.013267098716460169,0.566699435710907,0.15140625
27,1100,30720,6,0.2,0.27493783831596375,0.013215561,0.1542852520942688,0.0003,50,-0.938355405330658,-0.01317597071873024,0.6940352971851825,0.16392578125
32,1097,35840,7,0.2,0.1993577778339386,0.013550217,0.22210168838500977,0.0003,60,-0.9144801160693169,-0.012923591046128422,0.6064786483347416,0.178359375
37,1099,40960,8,0.2,0.2065499722957611,0.0142502785,0.10052955150604248,0.0003,70,-0.8688934755325317,-0.01563465749612078,0.5333616605401039,0.17603515625
41,1106,46080,9,0.2,0.1564723253250122,0.010916437,0.25914466381073,0.0003,80,-0.8517532226443291,-0.012460126907099038,0.41792134672403336,0.14630859375
45,1113,51200,10,0.2,0.12237951159477234,0.012014161,0.1553904414176941,0.0003,90,-0.8063558956980705,-0.011503618301358074,0.345357286632061,0.1490234375
2,2105,56320,1,0.2,0.06001520901918411,0.017286148,0.09394723176956177,0.0003,100,-0.74192059725523,-0.015351769253611565,0.2408733769506216,0.1898828125
6,1468,61440,2,0.2,0.07691670954227448,0.014033029,0.13218820095062256,0.0003,110,-0.7367269110679626,-0.014896622069645673,0.2342467100173235,0.16345703125
11,1345,66560,3,0.2,0.06418631225824356,0.013209927,0.20856261253356934,0.0003,120,-0.7110547548532486,-0.01290821046801284,0.23090327747166156,0.169375
15,1286,71680,4,0.2,0.03799114003777504,0.01608805,0.19095337390899658,0.0003,130,-0.6991695088148117,-0.015217721330700443,0.20971713781356813,0.18068359375
20,1257,76800,5,0.2,0.031990665942430496,0.013097383,0.04078221321105957,0.0003,140,-0.6551432710886002,-0.014171313473489135,0.15407439704984427,0.15265625
24,1238,81920,6,0.2,0.035121362656354904,0.0149357375,0.04651343822479248,0.0003,150,-0.6598031151294709,-0.014564560081344097,0.12488456089049578,0.177109375
29,1223,87040,7,0.2,0.02839561551809311,0.014024101,0.1749531626701355,0.0003,160,-0.6238462772965431,-0.012542183613404631,0.12808613065630198,0.15421875
33,1216,92160,8,0.2,0.019402749836444855,0.015097462,0.3232336640357971,0.0003,170,-0.611287125647068,-0.011649947704281658,0.1495992089062929,0.17673828125
