time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/n_updates,train/approx_kl,train/clip_fraction,train/clip_range,train/learning_rate,train/loss,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/value_loss
1,5120,2,1709,,,,,,,,,,
2,10240,8,1183,10,0.006998857,0.0333203125,0.2,0.0003,1.5440086126327515,-0.0097503662109375,-1.057853661775589,-0.004230492354836315,3.3577829384803772
3,15360,13,1105,20,0.009540205,0.096875,0.2,0.0003,1.1040705442428589,0.030424654483795166,-1.0538291478157042,-0.010598056691233069,2.6538808238506317
4,20480,18,1088,30,0.011036819,0.12056640625,0.2,0.0003,1.3275245428085327,0.07662451267242432,-1.0383514711260795,-0.012786843101494014,2.245271064043045
5,25600,24,1063,40,0.0086176675,0.10865234375,0.2,0.0003,0.8635445833206177,0.035875558853149414,-1.0206120428442955,-0.009897742099128663,2.03698666870594
6,30720,29,1044,50,0.01037422,0.1241015625,0.2,0.0003,0.883797824382782,0.13979333639144897,-0.9812317216396331,-0.010888047304470093,1.8843249535560609
7,35840,34,1034,60,0.0095516145,0.12603515625,0.2,0.0003,0.7532665133476257,0.1946430802345276,-0.9397530019283294,-0.00934266712050885,1.569510428905487
8,40960,39,1024,70,0.010591222,0.14791015625,0.2,0.0003,0.39507609605789185,0.37061482667922974,-0.9560659551620483,-0.00989838942186907,1.2019971081614493
9,46080,44,1026,80,0.011099341,0.1532421875,0.2,0.0003,0.4048057496547699,0.3400949239730835,-0.8731843248009682,-0.00645648822421208,0.9819355061650277
10,51200,50,1023,90,0.0108736735,0.14791015625,0.2,0.0003,0.34049180150032043,0.4635559320449829,-0.8340509551763534,-0.00722431592643261,0.8990639817714691
1,56320,2,2216,100,0.010111881,0.15947265625,0.2,0.0003,0.3600578010082245,0.47777533531188965,-0.782560806274414,-0.009294965723529457,0.7334048461914062
2,61440,7,1317,110,0.011845121,0.153515625,0.2,0.0003,0.16761283576488495,0.3819301724433899,-0.7949941620230675,-0.007308120883535594,0.45002114757895467
3,66560,13,1139,120,0.012474496,0.13921875,0.2,0.0003,0.13272199034690857,0.5051702857017517,-0.7827905023097992,-0.005517646519001574,0.3513246655464172
4,71680,19,1061,130,0.01076824,0.14357421875,0.2,0.0003,0.14494800567626953,0.596775233745575,-0.7829110383987427,-0.006359080234542489,0.3413889667391777
5,76800,25,1020,140,0.009896012,0.1521484375,0.2,0.0003,0.1641303300857544,0.569764256477356,-0.7646862554550171,-0.007562880266923457,0.3473656918108463
6,81920,31,986,150,0.010113318,0.1389453125,0.2,0.0003,0.14871440827846527,0.6318999528884888,-0.75879049628973,-0.006398232594365254,0.3984375940263271
7,87040,37,966,160,0.00970372,0.1357421875,0.2,0.0003,0.14540791511535645,0.6596030592918396,-0.7499125683307648,-0.008036691793240607,0.3605347464978695
8,92160,42,957,170,0.013919505,0.1401953125,0.2,0.0003,0.16261598467826843,0.6359493732452393,-0.7013736042380333,-0.0050201856647618115,0.3487191367149353
