time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/learning_rate,train/loss,train/explained_variance,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/n_updates,train/entropy_loss,train/approx_kl
1,2,5120,2024,,,,,,,,,,
2,8,10240,1273,0.0001,1.0205758810043335,0.002261817455291748,2.8332537627220153,0.03591796875,-0.0049202752532437445,0.2,10,-1.0636539107561112,0.008564017
3,12,15360,1204,0.0001,0.38894417881965637,0.01669001579284668,1.4768488997220992,0.06796875,-0.007284135662484914,0.2,20,-1.0531822448968888,0.0097025735
4,17,20480,1155,0.0001,1.0668535232543945,0.056283533573150635,2.2931451070308686,0.08552734375,-0.01005200416315347,0.2,30,-1.0587484979629516,0.009522398
5,22,25600,1131,0.0001,0.5821521282196045,-0.0057277679443359375,1.501210539340973,0.09376953125,-0.012577910900581628,0.2,40,-1.025657694041729,0.010758173
6,27,30720,1114,0.0001,1.0394141674041748,0.06659024953842163,2.506577297449112,0.06904296875,-0.009714061717968434,0.2,50,-1.0293624803423882,0.009028626
7,32,35840,1101,0.0001,0.7289513349533081,0.08747535943984985,1.950942820906639,0.07517578125,-0.009631889259908348,0.2,60,-1.018741435110569,0.009157922
8,37,40960,1094,0.0001,0.5783882737159729,0.07635688781738281,1.4619917279481889,0.088984375,-0.010145241094287485,0.2,70,-0.972510626912117,0.0087238485
9,42,46080,1091,0.0001,0.6015146970748901,0.11328834295272827,1.3575375336408615,0.08107421875,-0.008477263681124897,0.2,80,-0.9445456755161286,0.008469266
10,47,51200,1082,0.0001,0.4716430604457855,0.12421882152557373,1.1046582195162773,0.08123046875,-0.008125027935020625,0.2,90,-0.8542436897754669,0.00887054
1,2,56320,2050,0.0001,0.395323783159256,0.13586699962615967,0.7916375330090523,0.07509765625,-0.008378576268441976,0.2,100,-0.8366937166452408,0.008056317
2,8,61440,1276,0.0001,0.288734495639801,0.3342830538749695,0.6715372630953789,0.08037109375,-0.008463913279119878,0.2,110,-0.7926130867004395,0.007307672
3,13,66560,1160,0.0001,0.28802499175071716,0.4682788848876953,0.6160246723890305,0.06576171875,-0.00520564028993249,0.2,120,-0.755996769964695,0.006535574
4,18,71680,1098,0.0001,0.1902548372745514,0.48214370012283325,0.39171308487653733,0.0791796875,-0.007159891051705927,0.2,130,-0.7293139290809632,0.006886187
5,23,76800,1076,0.0001,0.14155098795890808,0.5980802774429321,0.37951970487833026,0.05865234375,-0.005188052668236196,0.2,140,-0.7197166603803634,0.0062070647
6,28,81920,1068,0.0001,0.15141770243644714,0.6122326850891113,0.3321208821237087,0.0799609375,-0.00712117004673928,0.2,150,-0.6706436368823051,0.006892076
7,34,87040,1048,0.0001,0.128368079662323,0.6610742807388306,0.3365804997086525,0.115859375,-0.007724340849090367,0.2,160,-0.6688104805350303,0.0084216185
8,39,92160,1031,0.0001,0.14664071798324585,0.6774001121520996,0.3602851605415344,0.08287109375,-0.0065632628346793355,0.2,170,-0.6309724497795105,0.0067629395
9,45,97280,1018,0.0001,0.16353851556777954,0.6540652513504028,0.38849757686257363,0.08099609375,-0.007812617267481982,0.2,180,-0.6382680895924568,0.008126756
10,50,102400,1005,0.0001,0.1378728598356247,0.6510881185531616,0.32583628691732885,0.083984375,-0.007541249489877373,0.2,190,-0.582384565770626,0.008104397
1,2,107520,2311,0.0001,0.07943268120288849,0.6955839395523071,0.29937421806156633,0.09375,-0.008503797424491494,0.2,200,-0.5495689886808396,0.008732447
2,7,112640,1394,0.0001,0.12578144669532776,0.6810895204544067,0.31893877804279325,0.0872265625,-0.006641618919093162,0.2,210,-0.5219598948955536,0.0071075484
3,12,117760,1252,0.0001,0.1260317862033844,0.6964048147201538,0.3080244479328394,0.07908203125,-0.006159092644229531,0.2,220,-0.507697349190712,0.0058358125
4,17,122880,1184,0.0001,0.13998639583587646,0.6463291049003601,0.29412514202296736,0.0783984375,-0.0047702302550897005,0.2,230,-0.4598341609537602,0.008213938
5,22,128000,1159,0.0001,0.052441634237766266,0.7252274751663208,0.17265680342912673,0.07484375,-0.004617707307916135,0.2,240,-0.4400166527926922,0.0063536214
6,26,133120,1143,0.0001,0.13880082964897156,0.7487196326255798,0.27915953055024145,0.07583984375,-0.0037463537277653814,0.2,250,-0.47556879729032514,0.004287771
7,31,138240,1132,0.0001,0.11572299152612686,0.7561277747154236,0.23075036995112896,0.07265625,-0.00528603537240997,0.2,260,-0.417789968252182,0.0049669174
8,36,143360,1125,0.0001,0.04542836546897888,0.7668384909629822,0.15803983625024556,0.0692578125,-0.004635987104848027,0.2,270,-0.38252318039536476,0.005997531
9,41,148480,1122,0.0001,0.1245305985212326,0.7833976745605469,0.242781852632761,0.06353515625,-0.0046790998033247886,0.2,280,-0.3649570979177952,0.0050397366
10,45,153600,1118,0.0001,0.10923337936401367,0.6871964335441589,0.31477892078459263,0.069921875,-0.003715202130842954,0.2,290,-0.4169988362491131,0.00657385
1,2,158720,2446,0.0001,0.09703963994979858,0.7003785371780396,0.2373336974531412,0.06748046875,-0.003878213290590793,0.2,300,-0.3535903060436249,0.0056727915
2,6,163840,1474,0.0001,0.08072087168693542,0.7027122974395752,0.20638018161058425,0.063671875,-0.0050870681344531475,0.2,310,-0.353965225815773,0.0052151484
3,11,168960,1305,0.0001,0.08815522491931915,0.6891088485717773,0.19217516735196113,0.06314453125,-0.004025659228209406,0.2,320,-0.3442549620568752,0.0055731433
4,16,174080,1231,0.0001,0.050376616418361664,0.7562594413757324,0.17026631332933903,0.0658984375,-0.0029187551280483604,0.2,330,-0.3227079938352108,0.007925505
5,21,179200,1181,0.0001,0.08095833659172058,0.7590721249580383,0.2156607948243618,0.0775390625,-0.004231044568587095,0.2,340,-0.3384891889989376,0.0060885744
6,26,184320,1151,0.0001,0.05249635875225067,0.776044487953186,0.1330027797818184,0.060234375,-0.0036529638478532433,0.2,350,-0.30145696878433226,0.006422335
7,33,189440,1082,0.0001,0.045206986367702484,0.7622928619384766,0.10439278695732356,0.06337890625,-0.0042518570087850096,0.2,360,-0.2831652241200209,0.0088521745
8,40,194560,1011,0.0001,0.04058050364255905,0.8068638443946838,0.14490789771080018,0.08259765625,-0.004162237315904349,0.2,370,-0.32207665756344794,0.010683454
9,46,199680,998,0.0001,0.062016237527132034,0.7199323177337646,0.18214577592909337,0.06859375,-0.005674420045688748,0.2,380,-0.295345474332571,0.0064360662
10,51,204800,992,0.0001,0.09167475998401642,0.7838515043258667,0.18901493087410925,0.07318359375,-0.0036696398141793907,0.2,390,-0.31185820922255514,0.006527866
1,2,209920,1729,0.0001,0.05064786225557327,0.7363426089286804,0.17669616296887397,0.06537109375,-0.002939322979655117,0.2,400,-0.306383793130517,0.0055240043
2,8,215040,1272,0.0001,0.06550584733486176,0.7762203216552734,0.13626723919063807,0.06103515625,-0.0044759279815480115,0.2,410,-0.25939875468611717,0.0059812767
3,13,220160,1162,0.0001,0.06497546285390854,0.7959434986114502,0.11667422421276569,0.06779296875,-0.005163767748745158,0.2,420,-0.23635854288935662,0.009297927
4,18,225280,1115,0.0001,0.04552006348967552,0.7002426385879517,0.16980985432863235,0.08736328125,-0.003152013553772122,0.2,430,-0.30031431064009667,0.009496261
5,23,230400,1100,0.0001,0.049323298037052155,0.6289119720458984,0.1107777138799429,0.0594921875,-0.0042972946190275255,0.2,440,-0.23717985473573208,0.0074034655
6,28,235520,1087,0.0001,0.02475699782371521,0.6908935308456421,0.08841767776757478,0.05611328125,-0.0039295820682309565,0.2,450,-0.23036198265850544,0.005801645
7,33,240640,1076,0.0001,0.021803323179483414,0.7542742490768433,0.0960193687863648,0.07033203125,-0.005803418627474457,0.2,460,-0.25130985416471957,0.006105327
8,38,245760,1070,0.0001,0.020385093986988068,0.7146102786064148,0.06633889403194189,0.05142578125,-0.003954053735360503,0.2,470,-0.18554613925516605,0.0063234763
