time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/explained_variance,train/clip_fraction,train/entropy_loss,train/clip_range,train/approx_kl,train/n_updates,train/value_loss,train/policy_gradient_loss,train/loss,train/learning_rate
5120,2,1914,1,,,,,,,,,,
10240,7,1280,2,-0.0038028955459594727,0.00609375,-1.0561022585630417,0.2,0.0049683484,10,3.09413392663002,-0.0031666037160903216,1.9445804357528687,0.0001
15360,12,1183,3,0.05301600694656372,0.0349609375,-1.0708994168043136,0.2,0.007678367,20,1.7234173303842544,-0.006566222130786627,0.6538878679275513,0.0001
20480,18,1129,4,0.08431029319763184,0.0746875,-1.0318338400125504,0.2,0.0090993205,30,1.8129501444101335,-0.009258265479002149,1.0335946083068848,0.0001
25600,23,1086,5,0.14588665962219238,0.08078125,-0.9859059810638428,0.2,0.008147217,40,2.125520102381706,-0.011619370172265917,1.0370980501174927,0.0001
30720,28,1072,6,0.14466625452041626,0.0705859375,-0.9587074008584022,0.2,0.008893673,50,1.5987926018238068,-0.009211326534859836,0.6761990189552307,0.0001
35840,33,1061,7,0.09030771255493164,0.08916015625,-0.8859288510680199,0.2,0.008676987,60,1.1865813702344894,-0.009582550846971571,0.4716774821281433,0.0001
40960,38,1052,8,0.07819300889968872,0.0958984375,-0.8638080167770386,0.2,0.009554174,70,0.816859034895897,-0.01110499051399529,0.34296858310699463,0.0001
46080,43,1056,9,0.2532060742378235,0.07607421875,-0.818161153793335,0.2,0.0077909157,80,0.7730962294340133,-0.007315756466705352,0.34841305017471313,0.0001
51200,48,1059,10,0.21973806619644165,0.0440234375,-0.8186479303240776,0.2,0.0055026757,90,0.5715565432608127,-0.00404997532023117,0.18726982176303864,0.0001
56320,2,2529,1,0.39700496196746826,0.10947265625,-0.8091060346364976,0.2,0.008056555,100,0.48451644033193586,-0.011395438802428543,0.2293456792831421,0.0001
61440,6,1480,2,0.516492486000061,0.07494140625,-0.7526409500837326,0.2,0.0065910122,110,0.4115775389969349,-0.007339308497030288,0.15156763792037964,0.0001
66560,11,1311,3,0.47458702325820923,0.0501953125,-0.7262479749321937,0.2,0.0064979,120,0.46838257759809493,-0.004699423287529498,0.19483619928359985,0.0001
71680,16,1226,4,0.4698876142501831,0.10126953125,-0.7246181046962739,0.2,0.006619533,130,0.4675219483673573,-0.009248259535524994,0.1867588758468628,0.0001
