time/iterations,time/total_timesteps,time/fps,time/time_elapsed,train/learning_rate,train/approx_kl,train/n_updates,train/value_loss,train/loss,train/entropy_loss,train/clip_fraction,train/clip_range,train/explained_variance,train/policy_gradient_loss
1,5120,1924,2,,,,,,,,,,
2,10240,1289,7,0.0001,0.008924035,10,3.2238937497138975,2.0087950229644775,-1.0788248252868653,0.0436328125,0.2,-0.019906282424926758,-0.00625685703358613
3,15360,1190,12,0.0001,0.0086615,20,1.7997134873270988,0.8351367712020874,-1.0473307490348815,0.0602734375,0.2,0.028059065341949463,-0.007347345531452447
4,20480,1128,18,0.0001,0.008600308,30,2.5650172889232636,1.0649200677871704,-1.0218412259221077,0.0666796875,0.2,0.05817270278930664,-0.008714971279259772
5,25600,1102,23,0.0001,0.0075966828,40,2.2527773499488832,1.319382905960083,-0.991704019010067,0.06765625,0.2,0.060152292251586914,-0.008608655235730112
6,30720,1089,28,0.0001,0.007041797,50,2.1772809928655623,0.8891854286193848,-0.967575010061264,0.061171875,0.2,0.13459789752960205,-0.008919656395446509
7,35840,1077,33,0.0001,0.009811195,60,1.6452277952432632,0.7740952372550964,-0.9620318436622619,0.10830078125,0.2,0.0775642991065979,-0.012207768664229662
8,40960,1068,38,0.0001,0.008354528,70,1.5421605825424194,0.7255668640136719,-0.9111926829814911,0.0716015625,0.2,0.10083335638046265,-0.007992299711331726
9,46080,1058,43,0.0001,0.009242569,80,1.254383283853531,0.59918612241745,-0.8897967174649238,0.10103515625,0.2,0.13039684295654297,-0.008757495423778891
10,51200,1051,48,0.0001,0.008054417,90,0.972178538441658,0.378586083650589,-0.8826556822657585,0.08576171875,0.2,0.1332797408103943,-0.006955633480101824
1,56320,2145,2,0.0001,0.008008806,100,0.853891575038433,0.37616756558418274,-0.8317931187152863,0.07798828125,0.2,0.19412285089492798,-0.008204416364897042
2,61440,1404,7,0.0001,0.009289216,110,0.6454999536275864,0.28107380867004395,-0.8289134222269058,0.12142578125,0.2,0.20804953575134277,-0.011401706436881796
3,66560,1242,12,0.0001,0.0086692255,120,0.548805586695671,0.22418662905693054,-0.7908434894680977,0.1023046875,0.2,0.28907060623168945,-0.007817151581402868
4,71680,1177,17,0.0001,0.009098511,130,0.458554879873991,0.16416986286640167,-0.7885820600390434,0.08916015625,0.2,0.3567533493041992,-0.009787252426613123
5,76800,1146,22,0.0001,0.007858785,140,0.45826535135507585,0.18766570091247559,-0.7778609755635262,0.10615234375,0.2,0.45917177200317383,-0.008451457575429231
6,81920,1118,27,0.0001,0.008763443,150,0.4244968897104263,0.1683516949415207,-0.7470611622929573,0.09673828125,0.2,0.4523308277130127,-0.007601340797264129
7,87040,1095,32,0.0001,0.0078524705,160,0.3460951773822308,0.1408027708530426,-0.7319449108839035,0.10546875,0.2,0.5141487121582031,-0.008800823437049986
8,92160,1085,37,0.0001,0.0066884146,170,0.2916990898549557,0.11904813349246979,-0.7233347621560097,0.09884765625,0.2,0.5249784588813782,-0.0042380050336942076
9,97280,1070,43,0.0001,0.0070986934,180,0.3010791374742985,0.13460731506347656,-0.7201619270443916,0.0754296875,0.2,0.5429811477661133,-0.005883204459678382
10,102400,1059,48,0.0001,0.00981232,190,0.27534072771668433,0.10665637254714966,-0.6723354163765908,0.12427734375,0.2,0.4943394064903259,-0.0099840978696011
1,107520,1827,2,0.0001,0.00826702,200,0.23763721987605094,0.10197783261537552,-0.6173982179164886,0.09841796875,0.2,0.49378085136413574,-0.009037482084240765
2,112640,1248,8,0.0001,0.0063663996,210,0.21496134355664254,0.07503846287727356,-0.7288857445120811,0.075234375,0.2,0.5700787305831909,-0.006176893282681704
3,117760,1149,13,0.0001,0.00759573,220,0.2514302846044302,0.08904659003019333,-0.7268835127353668,0.10806640625,0.2,0.5394506454467773,-0.00498905561864376
4,122880,1111,18,0.0001,0.007278732,230,0.2919966891407967,0.15535199642181396,-0.7096168601512909,0.09537109375,0.2,0.5180176496505737,-0.005940329059958458
5,128000,1076,23,0.0001,0.007078039,240,0.2725274259597063,0.11591936647891998,-0.6273030602931976,0.09041015625,0.2,0.2854127287864685,-0.006840667631477118
6,133120,1064,28,0.0001,0.009403797,250,0.27109549686312673,0.12202960252761841,-0.5868053498864174,0.0913671875,0.2,0.31804364919662476,-0.007072184670250863
7,138240,1061,33,0.0001,0.007458996,260,0.2582204902917147,0.11930481344461441,-0.5693282961845398,0.08205078125,0.2,0.3679395318031311,-0.006151050154585391
8,143360,1053,38,0.0001,0.007946983,270,0.25820140711963174,0.10233885049819946,-0.5632090163230896,0.07591796875,0.2,0.44535499811172485,-0.006001520566642284
9,148480,1048,43,0.0001,0.00858042,280,0.26102422587573526,0.0952162891626358,-0.5430431869626046,0.082265625,0.2,0.4065040349960327,-0.006794381289510056
10,153600,1047,48,0.0001,0.009460232,290,0.23233171842992306,0.09932899475097656,-0.5310124491155147,0.07859375,0.2,0.5695419311523438,-0.0035721952049061656
1,158720,2082,2,0.0001,0.0077938265,300,0.22183258034288883,0.09012360870838165,-0.49694695949554446,0.0876953125,0.2,0.6783561706542969,-0.00826316298218444
2,163840,1296,7,0.0001,0.007458695,310,0.18924610048532486,0.06454841047525406,-0.4515959793329239,0.084921875,0.2,0.7699986696243286,-0.007057822935748846
3,168960,1175,13,0.0001,0.0057955068,320,0.1751957381516695,0.08265730738639832,-0.4401423029601574,0.0723046875,0.2,0.636267900466919,-0.006662574189249426
4,174080,1120,18,0.0001,0.008221836,330,0.24379933789372443,0.11818024516105652,-0.4521883589029312,0.076015625,0.2,0.6738203763961792,-0.007585402219556272
5,179200,1080,23,0.0001,0.00879119,340,0.23194624461233615,0.08248934894800186,-0.4316613394021988,0.0737109375,0.2,0.6875203251838684,-0.005155215801205486
6,184320,1062,28,0.0001,0.0066745505,350,0.2933763598650694,0.11994527280330658,-0.4352616226673126,0.0657421875,0.2,0.6993144750595093,-0.0016784941731020808
7,189440,1054,33,0.0001,0.0056735044,360,0.20840568616986274,0.08647038042545319,-0.40424404993653296,0.09056640625,0.2,0.7195534706115723,-0.005776041543576867
8,194560,1039,39,0.0001,0.009631949,370,0.1973978239297867,0.0875648483633995,-0.395459915548563,0.08095703125,0.2,0.8044079542160034,-0.006605136611033231
9,199680,1028,44,0.0001,0.0065053105,380,0.16230665870010852,0.03663800656795502,-0.33679726511240005,0.076953125,0.2,0.7815499305725098,-0.005193859455175698
10,204800,1025,49,0.0001,0.009489764,390,0.25884269692003725,0.09727168828248978,-0.37557236284017564,0.08587890625,0.2,0.8340176343917847,-0.003815522047225386
1,209920,2341,2,0.0001,0.0062240586,400,0.1759314861521125,0.07544814050197601,-0.30408925920724866,0.06771484375,0.2,0.7165185213088989,-0.005987051611300558
2,215040,1404,7,0.0001,0.0077211657,410,0.17510222420096397,0.08589628338813782,-0.35944985419511793,0.08689453125,0.2,0.8182787895202637,-0.00483548948308453
3,220160,1261,12,0.0001,0.0072452324,420,0.15995560314506294,0.06404481828212738,-0.3152293001115322,0.08056640625,0.2,0.7589912414550781,-0.002809431622736156
4,225280,1136,18,0.0001,0.0073866756,430,0.1780710518732667,0.09551879018545151,-0.31847986340522766,0.07076171875,0.2,0.7832037210464478,-0.0028813121863640843
5,230400,1035,24,0.0001,0.006158636,440,0.13557496678084135,0.07682735472917557,-0.280474491044879,0.06037109375,0.2,0.772364616394043,-0.0019047896284610033
6,235520,992,30,0.0001,0.00756644,450,0.1093141309171915,0.03762119263410568,-0.26223928935825824,0.0644140625,0.2,0.5492857694625854,-0.002951969706919044
7,240640,962,37,0.0001,0.00896701,460,0.10730819746851922,0.057143475860357285,-0.25417631171643734,0.06958984375,0.2,0.6944535970687866,-0.004106607274152339
8,245760,940,43,0.0001,0.011511551,470,0.15810595650225878,0.06383343040943146,-0.32278049990534785,0.08044921875,0.2,0.8252139091491699,-0.005456350729800761
9,250880,927,49,0.0001,0.010285619,480,0.1474065126478672,0.05121605098247528,-0.2604143064469099,0.065703125,0.2,0.7208449840545654,-0.005206197121879086
10,256000,916,55,0.0001,0.005883106,490,0.13078751284629106,0.05633650720119476,-0.2368854133784771,0.0570703125,0.2,0.6976957321166992,-0.00289449343807064
1,261120,1562,3,0.0001,0.00973766,500,0.17733593124896288,0.07730083912611008,-0.2982539762556553,0.07244140625,0.2,0.7369422912597656,-0.002762110831681639
2,266240,1074,9,0.0001,0.006354168,510,0.13017663661390544,0.05477795749902725,-0.2776481828838587,0.07767578125,0.2,0.8009049892425537,-0.007641291988547892
3,271360,953,16,0.0001,0.013110839,520,0.14214145574718715,0.04385729506611824,-0.2837096916139126,0.0798828125,0.2,0.7895525097846985,-0.004490929129533469
4,276480,924,22,0.0001,0.007868872,530,0.1492491005733609,0.07576459646224976,-0.2842646046727896,0.07533203125,0.2,0.8313028216362,-0.005973280945327133
5,281600,936,27,0.0001,0.0061021256,540,0.11992414318025112,0.04202324151992798,-0.3201604188978672,0.07337890625,0.2,0.875177800655365,-0.0027494178153574466
6,286720,927,33,0.0001,0.0065985075,550,0.19239360816776752,0.0936560183763504,-0.26331753090023996,0.065703125,0.2,0.7898740172386169,-0.005222666644258424
7,291840,920,38,0.0001,0.0068814,560,0.24128828831017018,0.09339821338653564,-0.27078367792069913,0.06423828125,0.2,0.8036795854568481,-0.005326261522714049
8,296960,929,44,0.0001,0.008339733,570,0.1755728980153799,0.07705994695425034,-0.2544897834211588,0.075703125,0.2,0.7258241772651672,-0.005991122368723154
9,302080,932,49,0.0001,0.00665446,580,0.15328424751758576,0.061812516301870346,-0.2531390393525362,0.07482421875,0.2,0.751615583896637,-0.003911208496429026
10,307200,936,54,0.0001,0.0070688007,590,0.2247247052192688,0.09653022885322571,-0.2941309391707182,0.08068359375,0.2,0.8087580800056458,-0.0035293963574804365
1,312320,2018,2,0.0001,0.0070703765,600,0.2078324007987976,0.0695720762014389,-0.2737540619075298,0.0733984375,0.2,0.8042672872543335,-0.004082641627173871
2,317440,1315,7,0.0001,0.0053790174,610,0.1933450474590063,0.06512157618999481,-0.2522015529870987,0.0629296875,0.2,0.7942385077476501,-0.005298557471251115
