time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/loss,train/explained_variance,train/n_updates,train/approx_kl,train/value_loss,train/clip_fraction,train/entropy_loss
1623,1,5120,3,,,,,,,,,,
1204,2,10240,8,0.2,0.0001,-0.0038555251283105465,1.850184440612793,0.007521390914916992,10,0.006426174,3.5600699830055236,0.01822265625,-1.0671448332071305
1119,3,15360,13,0.2,0.0001,-0.008421851550228893,0.8094245195388794,0.016749322414398193,20,0.0087227,1.7335071527957917,0.06341796875,-1.028395893573761
1086,4,20480,18,0.2,0.0001,-0.007797141429036856,1.4305946826934814,0.09511882066726685,30,0.006844688,2.942661971449852,0.0378125,-1.041116544008255
1057,5,25600,24,0.2,0.0001,-0.009962733550928533,1.0329569578170776,0.15955811738967896,40,0.0084068775,2.538709951043129,0.07224609375,-1.0202763333916665
1047,6,30720,29,0.2,0.0001,-0.008195319066289812,0.8638541102409363,0.10872375965118408,50,0.008008967,1.8930601125955582,0.06916015625,-0.9820189854502678
1039,7,35840,34,0.2,0.0001,-0.009816142790950834,0.8428117036819458,0.16132551431655884,60,0.00928084,1.842892306447029,0.0787890625,-0.9634112924337387
1038,8,40960,39,0.2,0.0001,-0.008182361631188542,0.8162643313407898,0.4023187756538391,70,0.008501734,1.2762686705589295,0.08412109375,-0.9325632902979851
1039,9,46080,44,0.2,0.0001,-0.007685595040675253,0.5411890745162964,0.2569197416305542,80,0.009512909,1.168720299899578,0.0896484375,-0.8848091372847557
1035,10,51200,49,0.2,0.0001,-0.007168411430902779,0.3619893789291382,0.4585307240486145,90,0.007068799,0.8019806212186813,0.076640625,-0.8751495182514191
2400,1,56320,2,0.2,0.0001,-0.007012084922753275,0.292110800743103,0.5448876619338989,100,0.0050212434,0.6154544688761234,0.07576171875,-0.8367431977391243
1398,2,61440,7,0.2,0.0001,-0.0061378463637083765,0.27842646837234497,0.5644422769546509,110,0.006495365,0.5967321871221065,0.06779296875,-0.8243477448821068
1223,3,66560,12,0.2,0.0001,-0.00884007389191538,0.20337510108947754,0.6463468074798584,120,0.00945553,0.5300025603175164,0.10494140625,-0.8152519977092743
1163,4,71680,17,0.2,0.0001,-0.0073634961526840926,0.17196157574653625,0.6896240711212158,130,0.006346581,0.4471454928815365,0.083046875,-0.7597089582681655
1120,5,76800,22,0.2,0.0001,-0.0071610273607075215,0.1943790465593338,0.5985238552093506,140,0.009293793,0.42112083777785303,0.10224609375,-0.7635846304893493
1094,6,81920,28,0.2,0.0001,-0.006027858797460794,0.19656141102313995,0.6941018104553223,150,0.006189433,0.47014588490128517,0.06708984375,-0.7259868592023849
1076,7,87040,33,0.2,0.0001,-0.004531632920261473,0.19599875807762146,0.5023390054702759,160,0.008545188,0.47909747838974,0.0783203125,-0.7171682727336883
1062,8,92160,38,0.2,0.0001,-0.00786288031609729,0.1738424301147461,0.7269738912582397,170,0.00815585,0.4677115842700005,0.09744140625,-0.6951508992910385
1056,9,97280,43,0.2,0.0001,-0.005879748992156237,0.1738254427909851,0.7742982506752014,180,0.0061775586,0.4091908524930477,0.07646484375,-0.6521312364935875
1052,10,102400,48,0.2,0.0001,-0.004285926010925323,0.24047046899795532,0.8145848512649536,190,0.007861599,0.47438984245061877,0.08298828125,-0.6710921397805214
2038,1,107520,2,0.2,0.0001,-0.004112081181956455,0.24372461438179016,0.7291407585144043,200,0.00738307,0.5721840065717697,0.0710546875,-0.6755805054306984
