time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/entropy_loss,train/value_loss,train/clip_range,train/approx_kl,train/loss,train/n_updates,train/explained_variance,train/learning_rate,train/clip_fraction,train/policy_gradient_loss
2,5120,1,1832,,,,,,,,,,
8,10240,2,1260,-1.0751341599225999,2.9541983342170717,0.2,0.0074419067,1.5206800699234009,10,-0.005906343460083008,0.0001,0.0330859375,-0.004027646253816784
13,15360,3,1166,-1.0685622310638427,2.484651403427124,0.2,0.005042377,1.402809739112854,20,0.021254658699035645,0.0001,0.03068359375,-0.006262623716611415
18,20480,4,1115,-1.0637048077583313,1.9810098016262054,0.2,0.008076447,0.8829969763755798,30,0.06388086080551147,0.0001,0.0575390625,-0.008276298409327865
23,25600,5,1094,-1.039001150429249,1.721812170147896,0.2,0.0072602555,0.6841168403625488,40,0.05448007583618164,0.0001,0.0436328125,-0.0070970943383872505
28,30720,6,1081,-1.0009776955842973,2.312756967544556,0.2,0.010525732,1.0971269607543945,50,0.09059184789657593,0.0001,0.08365234375,-0.010359393525868654
33,35840,7,1071,-0.9601583322882652,1.697321202158928,0.2,0.009487651,0.8306515216827393,60,0.08701294660568237,0.0001,0.07626953125,-0.009218096130061894
38,40960,8,1066,-0.9435135835409164,1.2460130390524864,0.2,0.008755284,0.5674448013305664,70,0.12135827541351318,0.0001,0.065703125,-0.008839660419616847
43,46080,9,1067,-0.8705382752418518,0.9624916970729828,0.2,0.010390566,0.3902703523635864,80,0.1198415756225586,0.0001,0.11224609375,-0.012052625188371167
47,51200,10,1069,-0.8514624863862992,0.7825923818349838,0.2,0.007094772,0.2668444812297821,90,0.18674951791763306,0.0001,0.0890234375,-0.008399607471656054
2,56320,1,2153,-0.8002741649746895,0.5971147365868091,0.2,0.0094420975,0.24316243827342987,100,0.30483365058898926,0.0001,0.07708984375,-0.008098187649156898
7,61440,2,1390,-0.7586177411675453,0.5899011206626892,0.2,0.00656001,0.2396676242351532,110,0.5314308404922485,0.0001,0.070078125,-0.004553542891517282
12,66560,3,1211,-0.7472444579005242,0.5192699372768402,0.2,0.0064711114,0.21303068101406097,120,0.5786048769950867,0.0001,0.0803515625,-0.006675351487938314
17,71680,4,1148,-0.7114389809966087,0.5801415598392486,0.2,0.007197638,0.28626999258995056,130,0.4570821523666382,0.0001,0.081171875,-0.007283853353001178
22,76800,5,1116,-0.67685541421175,0.39317302957177164,0.2,0.0077654533,0.15482479333877563,140,0.5533320307731628,0.0001,0.09048828125,-0.007302855181042105
28,81920,6,1078,-0.6341356113553047,0.4719220076501369,0.2,0.009068338,0.2202223390340805,150,0.5656302571296692,0.0001,0.103515625,-0.006964677467476576
33,87040,7,1069,-0.6486499810218811,0.43800530582666397,0.2,0.0075813024,0.1998063176870346,160,0.5441232323646545,0.0001,0.09673828125,-0.007325567598454655
38,92160,8,1062,-0.6206188994646072,0.29588801667094233,0.2,0.0070201596,0.09940381348133087,170,0.5631101131439209,0.0001,0.10015625,-0.008301009531132877
43,97280,9,1053,-0.5787725019454956,0.2629520996659994,0.2,0.00814787,0.11052408814430237,180,0.4647955894470215,0.0001,0.10533203125,-0.005060247873188928
48,102400,10,1051,-0.5337774601578712,0.29432376742362976,0.2,0.006199169,0.11601860821247101,190,0.5959749817848206,0.0001,0.09453125,-0.004000697927549482
2,107520,1,1982,-0.5399214060604572,0.23573186986148356,0.2,0.008031549,0.09092167019844055,200,0.6328951120376587,0.0001,0.09681640625,-0.005118363704532385
7,112640,2,1292,-0.5003465503454209,0.20788499064743518,0.2,0.007974608,0.08811290562152863,210,0.6694806218147278,0.0001,0.0980078125,-0.004872173287440091
13,117760,3,1178,-0.4400943353772163,0.21467179484665394,0.2,0.012906921,0.08835402131080627,220,0.7212365865707397,0.0001,0.0946875,-0.008965560647193343
18,122880,4,1127,-0.4380340738594532,0.19105526238679885,0.2,0.008144197,0.08430109173059464,230,0.7735363245010376,0.0001,0.0915234375,-0.005422052575740963
24,128000,5,1046,-0.39870877996087073,0.15327142264693974,0.2,0.004648967,0.05941552668809891,240,0.7767409086227417,0.0001,0.0706640625,-0.002555213887244463
31,133120,6,973,-0.4020723406970501,0.21639896899461747,0.2,0.013086414,0.10772744566202164,250,0.7283109426498413,0.0001,0.07814453125,-0.00276515114819631
38,138240,7,941,-0.37914621889591216,0.1701174583658576,0.2,0.0058928514,0.06818052381277084,260,0.8333419561386108,0.0001,0.080703125,-0.0027371283760294317
44,143360,8,911,-0.3648230369389057,0.15950776662677527,0.2,0.009054346,0.0538298636674881,270,0.6440374851226807,0.0001,0.0860546875,-0.004584545521065592
50,148480,9,917,-0.3560916283726692,0.16684808455407618,0.2,0.0075157657,0.0645676776766777,280,0.6605657339096069,0.0001,0.07337890625,-0.005475785443559289
55,153600,10,920,-0.32352117642760275,0.11598193634301424,0.2,0.008172598,0.05609060078859329,290,0.6792405247688293,0.0001,0.07681640625,-0.0029173856251873075
2,158720,1,1822,-0.30488157480955125,0.09494475258514284,0.2,0.01201772,0.05827927589416504,300,0.7265962362289429,0.0001,0.0991015625,-0.0012154924194328488
8,163840,2,1259,-0.31259477585554124,0.11220011420547962,0.2,0.012254313,0.03887670114636421,310,0.5123873949050903,0.0001,0.0945703125,-0.006396408856380731
13,168960,3,1133,-0.2999268808960915,0.10573869016021491,0.2,0.008333614,0.052276402711868286,320,0.5935283303260803,0.0001,0.08365234375,-0.003398185551632196
19,174080,4,1072,-0.29711668357253074,0.11012948535382748,0.2,0.008533489,0.0449795126914978,330,0.5978317260742188,0.0001,0.07212890625,-0.004035754611250013
24,179200,5,1052,-0.31131804004311564,0.08551392525434494,0.2,0.011270803,0.0281391441822052,340,0.6882202625274658,0.0001,0.08888671875,-0.005297716176137328
29,184320,6,1037,-0.3043742047250271,0.11788838371634483,0.2,0.010414174,0.04957258328795433,350,0.7189255952835083,0.0001,0.07287109375,-0.002557867878349498
34,189440,7,1029,-0.30927895501255986,0.12567269273102283,0.2,0.012229075,0.05355983227491379,360,0.7618944048881531,0.0001,0.07802734375,-0.005991392680443824
39,194560,8,1024,-0.2601528251171112,0.1458452771604061,0.2,0.006060005,0.062458645552396774,370,0.5148376226425171,0.0001,0.06197265625,-0.003633117331191897
44,199680,9,1026,-0.2431163941323757,0.08850082129240036,0.2,0.0070138276,0.023545019328594208,380,0.5336068868637085,0.0001,0.0664453125,-0.004184224433265627
49,204800,10,1025,-0.238572319149971,0.0676642887108028,0.2,0.0048299716,0.026185259222984314,390,0.6483623385429382,0.0001,0.05408203125,-0.003316037864424288
3,209920,1,1444,-0.2588998108357191,0.09556213162839412,0.2,0.007808043,0.035918399691581726,400,0.746156632900238,0.0001,0.0705078125,-0.005686194867594168
8,215040,2,1175,-0.30205265134572984,0.1601180123910308,0.2,0.007412692,0.07494690269231796,410,0.7466453909873962,0.0001,0.07197265625,-0.0028304078546352684
13,220160,3,1141,-0.3102541907131672,0.16546472392976283,0.2,0.005481235,0.06359520554542542,420,0.7714134454727173,0.0001,0.061484375,-0.0031222696462646126
18,225280,4,1121,-0.2686861767619848,0.1367950164526701,0.2,0.005766972,0.06880685687065125,430,0.47412747144699097,0.0001,0.064375,-0.003827187798451632
23,230400,5,1110,-0.2602381277084351,0.14596455968916416,0.2,0.006341084,0.05914582312107086,440,0.5350478887557983,0.0001,0.0615234375,-0.004549749882426113
27,235520,6,1097,-0.25948686167597773,0.15009520664811135,0.2,0.005086201,0.058920226991176605,450,0.5963588953018188,0.0001,0.0580859375,-0.0040874473098665475
33,240640,7,1083,-0.30122859925031664,0.13817738719284534,0.2,0.012752434,0.05882607027888298,460,0.6664515733718872,0.0001,0.08634765625,-0.004841499987524003
38,245760,8,1062,-0.29473150327801706,0.16522282741963865,0.2,0.00894727,0.06417667865753174,470,0.7325742244720459,0.0001,0.07130859375,-0.0061599677009508014
43,250880,9,1052,-0.3235790377855301,0.14298294845968484,0.2,0.0081099365,0.056074172258377075,480,0.8057375550270081,0.0001,0.07638671875,-0.004260344108333811
49,256000,10,1041,-0.3339118552207947,0.20228640601038933,0.2,0.006779031,0.0717334896326065,490,0.8074989318847656,0.0001,0.0737890625,-0.00416619538795203
3,261120,1,1628,-0.35408621072769164,0.21051277332007884,0.2,0.0068990565,0.09625077247619629,500,0.8358474373817444,0.0001,0.0752734375,-0.0038152928766794505
8,266240,2,1221,-0.3534690620005131,0.3199645559489727,0.2,0.0072013168,0.1309635490179062,510,0.7460917234420776,0.0001,0.06828125,-0.002899748405907303
13,271360,3,1114,-0.3421794608235359,0.3049437838792801,0.2,0.008719691,0.12591518461704254,520,0.7236710786819458,0.0001,0.08658203125,-0.004220218481495976
19,276480,4,1072,-0.3221343843638897,0.27494682915508745,0.2,0.006736456,0.12597863376140594,530,0.6701576709747314,0.0001,0.07267578125,-0.004422969005536288
24,281600,5,1065,-0.32743231624364855,0.3027709997445345,0.2,0.008162865,0.106097012758255,540,0.6811311841011047,0.0001,0.088671875,-0.004242230236995965
