time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/clip_range,train/entropy_loss,train/explained_variance,train/loss,train/value_loss,train/clip_fraction
4,5120,1272,1,,,,,,,,,,
10,10240,968,2,10,-0.003520760424435139,0.007988024,0.0001,0.2,-1.056712898015976,-0.00849306583404541,1.7884716987609863,3.468551837205887,0.02248046875
16,15360,956,3,20,-0.005602522005792707,0.0061997976,0.0001,0.2,-1.057923856973648,0.059165775775909424,0.7873060703277588,1.5082054081559182,0.02634765625
21,20480,948,4,30,-0.010481561595806852,0.008647546,0.0001,0.2,-1.0603474903106689,0.0787246823310852,0.7350656986236572,1.8017951351404191,0.06708984375
26,25600,961,5,40,-0.009663047243375331,0.0077957,0.0001,0.2,-1.0178079721331597,0.07785111665725708,1.0564296245574951,1.746857789158821,0.06638671875
31,30720,969,6,50,-0.013817433044314384,0.009661184,0.0001,0.2,-1.001925708949566,0.13118577003479004,0.9286412596702576,1.9070052683353425,0.1083203125
36,35840,972,7,60,-0.00933489141287282,0.01011558,0.0001,0.2,-0.9488608509302139,0.05765730142593384,0.7423903346061707,1.6423575156927108,0.08234375
41,40960,979,8,70,-0.009251390686258673,0.0084708,0.0001,0.2,-0.9441983702778817,0.13396519422531128,0.7525678277015686,1.7331616806983947,0.07984375
46,46080,982,9,80,-0.01400685532251373,0.009768215,0.0001,0.2,-0.8731410896778107,0.07369202375411987,0.576285183429718,1.2599433881044388,0.1146875
52,51200,983,10,90,-0.009391275842208415,0.008892896,0.0001,0.2,-0.8198225536942482,0.13002896308898926,0.4178621172904968,0.889269994199276,0.096640625
2,56320,2168,1,100,-0.009580639984924345,0.008882019,0.0001,0.2,-0.8120173352956772,0.1594136357307434,0.2879561185836792,0.7113884261250496,0.08986328125
7,61440,1338,2,110,-0.005677029103972018,0.0068242117,0.0001,0.2,-0.792712008357048,0.20872735977172852,0.26987144351005554,0.5679943405091763,0.07396484375
12,66560,1207,3,120,-0.007576567998621613,0.006661518,0.0001,0.2,-0.7906162443757058,0.2726042866706848,0.21460311114788055,0.4566270810365677,0.084609375
17,71680,1146,4,130,-0.005316051573026925,0.006309087,0.0001,0.2,-0.7517238232493401,0.2854159474372864,0.22050517797470093,0.4523674550652504,0.0786328125
23,76800,1109,5,140,-0.010059385444037616,0.008124796,0.0001,0.2,-0.7103981232643127,0.3401879668235779,0.14356033504009247,0.3925395667552948,0.087890625
28,81920,1092,6,150,-0.008146759727969766,0.007610106,0.0001,0.2,-0.6850150537490844,0.3849254846572876,0.12866492569446564,0.3465381796658039,0.084296875
33,87040,1077,7,160,-0.010838438948849217,0.008387105,0.0001,0.2,-0.6327524816989899,0.4117845296859741,0.11885517835617065,0.29763067327439785,0.0999609375
38,92160,1067,8,170,-0.007964666537009179,0.0072590015,0.0001,0.2,-0.616229205429554,0.5107981562614441,0.10644657909870148,0.2680673619359732,0.0914453125
43,97280,1060,9,180,-0.00711279216920957,0.007965292,0.0001,0.2,-0.5547711890935898,0.5278165936470032,0.059672124683856964,0.2116476496309042,0.07880859375
48,102400,1053,10,190,-0.009393467053305357,0.009375989,0.0001,0.2,-0.5290398636460304,0.5503103733062744,0.04624984785914421,0.14673197746276856,0.09138671875
3,107520,1520,1,200,-0.0083752371231094,0.00910529,0.0001,0.2,-0.4811530175805092,0.6663304567337036,0.05494711548089981,0.1590606039389968,0.1030078125
8,112640,1149,2,210,-0.004701802688650787,0.0068836636,0.0001,0.2,-0.6588108336925507,0.8052083849906921,0.029184361919760704,0.11306966498494148,0.097890625
14,117760,1083,3,220,-0.004746633060276509,0.0067953514,0.0001,0.2,-0.6915479946136475,0.7049453258514404,0.0766165629029274,0.16950649183243513,0.09890625
19,122880,1041,4,230,-0.007694295165129006,0.00849607,0.0001,0.2,-0.6185351741313935,0.47465115785598755,0.08325064927339554,0.19463728968054056,0.096953125
25,128000,1021,5,240,-0.005518366191536188,0.008357993,0.0001,0.2,-0.6027741426229477,0.43241751194000244,0.10540829598903656,0.2542465893179178,0.09953125
30,133120,1009,6,250,-0.005854662313358858,0.0070820325,0.0001,0.2,-0.5913449636101723,0.35921961069107056,0.10679636895656586,0.25210584118962287,0.09076171875
35,138240,998,7,260,-0.007461174628697336,0.009146881,0.0001,0.2,-0.5139724576473236,0.23171371221542358,0.08484376966953278,0.3068336945027113,0.10001953125
41,143360,993,8,270,-0.004664493286982179,0.008239199,0.0001,0.2,-0.4930002771317959,0.15141886472702026,0.128803089261055,0.30788254387676717,0.08296875
46,148480,989,9,280,-0.007814575857482851,0.008102415,0.0001,0.2,-0.5056724345684052,0.35170596837997437,0.09593042731285095,0.2662156581878662,0.09861328125
51,153600,987,10,290,-0.0058472622861154375,0.008140085,0.0001,0.2,-0.46468955591320993,0.42981022596359253,0.11868096888065338,0.27964395746588705,0.08884765625
2,158720,2031,1,300,-0.005068571944721043,0.008086292,0.0001,0.2,-0.4471115283668041,0.45506787300109863,0.12421472370624542,0.2888886622339487,0.08068359375
7,163840,1312,2,310,-0.005430601523257792,0.0068049044,0.0001,0.2,-0.4183569160103798,0.35395586490631104,0.12723024189472198,0.27814940363168716,0.08072265625
13,168960,1179,3,320,-0.007134431265294552,0.012003839,0.0001,0.2,-0.4192750735580921,0.38681209087371826,0.11648690700531006,0.2968500042706728,0.1003515625
18,174080,1123,4,330,-0.005875538582913577,0.008019228,0.0001,0.2,-0.3892215947806835,0.35722553730010986,0.12102990597486496,0.27935839973390103,0.08275390625
23,179200,1094,5,340,-0.004562599209602922,0.007831925,0.0001,0.2,-0.39413858234882354,0.5389536619186401,0.14066331088542938,0.2817783957719803,0.072734375
28,184320,1080,6,350,-0.007702248329296708,0.00806657,0.0001,0.2,-0.39105438724160196,0.6070616245269775,0.11702781170606613,0.25356518268585204,0.08412109375
33,189440,1070,7,360,-0.004490500951651484,0.0065860464,0.0001,0.2,-0.36405317306518553,0.506676197052002,0.09978592395782471,0.22007861062884332,0.0757421875
38,194560,1063,8,370,-0.007670610905624926,0.008006157,0.0001,0.2,-0.38007775515317915,0.7025607824325562,0.09630511701107025,0.2605488625913858,0.08498046875
43,199680,1058,9,380,-0.004478126838803291,0.0066439435,0.0001,0.2,-0.35765731245279314,0.6528525948524475,0.11627103388309479,0.29724860094487665,0.06373046875
48,204800,1051,10,390,-0.0045869658491574225,0.007864076,0.0001,0.2,-0.3493449728190899,0.7458144426345825,0.08669273555278778,0.27081748947501183,0.0667578125
2,209920,1853,1,400,-0.0068655705987475816,0.0057215444,0.0001,0.2,-0.32163323447108266,0.6516025066375732,0.1781603991985321,0.37950584694743156,0.0576953125
8,215040,1238,2,410,-0.005594493829412386,0.006183508,0.0001,0.2,-0.30366084799170495,0.5858208537101746,0.13530489802360535,0.3269697466492653,0.058671875
13,220160,1138,3,420,-0.0046258485317230225,0.005624781,0.0001,0.2,-0.28368610568344593,0.5638651847839355,0.14269453287124634,0.3055758974701166,0.068359375
18,225280,1097,4,430,-0.0031888323416933415,0.0067307553,0.0001,0.2,-0.26750258132815363,0.5003845691680908,0.09279131144285202,0.24708641827106476,0.05720703125
23,230400,1071,5,440,-0.0032063563354313373,0.009612597,0.0001,0.2,-0.26902249999344346,0.5633184313774109,0.10170259326696396,0.2611949668824673,0.0616796875
29,235520,1052,6,450,-0.005038187354803086,0.009085583,0.0001,0.2,-0.24489184573292733,0.5676340460777283,0.12105368822813034,0.2243469811975956,0.07265625
