time/time_elapsed,time/iterations,curriculum/grid_size,curriculum/stage,rollout/ep_rew_mean,time/total_timesteps,curriculum/obs_quantity,curriculum/stage_timesteps,train/ent_coef,rollout/ep_len_mean,time/fps,curriculum/max_steps,train/n_updates,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/loss,train/explained_variance,train/approx_kl,train/clip_range,train/entropy_loss,train/clip_fraction,eval/stage,eval/full_coverage_rate,eval/mean_reward,eval/mean_ep_length,eval/deterministic,eval/std_ep_length,eval/std_reward,eval/stage_timesteps
2,1,5,1,3.677617311477661,5120,3,0,0.02,150.75,1992,200,,,,,,,,,,,,,,,,,,
6,2,,,2.937593936920166,10240,,,,156.03333333333333,1611,,5,0.0001,3.4130465054512023,-0.0031956702470779417,1.2826884984970093,-0.0052204132080078125,0.007454461,0.2,-1.0752988636493683,0.0184375,,,,,,,,
10,3,,,2.9487149715423584,15360,,,,155.91304347826087,1533,,10,0.0001,1.7499719512462617,-0.006426144286524505,0.7100501656532288,0.04202723503112793,0.008117853,0.2,-1.0712083601951599,0.0462890625,,,,,,,,
13,4,,,2.3028061389923096,20480,,,,160.94,1505,,15,0.0001,1.7031653225421906,-0.0017185411974787713,0.8298524022102356,0.060830771923065186,0.008225913,0.2,-1.0591658651828766,0.0095703125,,,,,,,,
17,5,,,2.123243570327759,25600,,,,162.39,1469,,20,0.0001,1.3131175309419632,-0.007764295283704996,0.552480161190033,0.12056457996368408,0.008300455,0.2,-1.044524701833725,0.087109375,,,,,,,,
21,6,,,1.8838061094284058,30720,,,,162.94,1444,,25,0.0001,1.3186576271057129,-0.008231999757699669,0.5460463762283325,0.1252889633178711,0.009694355,0.2,-1.0696768069267273,0.070859375,,,,,,,,
25,7,,,2.986572504043579,35840,,,,148.17,1420,,30,0.0001,1.567918334007263,-0.007834423468448221,0.6298612952232361,0.1240236759185791,0.007641687,0.2,-1.059333370923996,0.0598828125,,,,,,,,
29,8,,,4.3270792961120605,40960,,,,129.26,1381,,35,0.0001,1.9274194312095643,-0.005872687809169292,0.8582290410995483,0.10348391532897949,0.006416994,0.2,-1.0251649153232574,0.0255078125,,,,,,,,
33,9,,,4.437101364135742,46080,,,,122.26,1374,,40,0.0001,1.707475128173828,-0.007029813542030752,0.6816578507423401,0.10577619075775146,0.00802496,0.2,-1.0002176034450532,0.049921875,,,,,,,,
37,10,,,5.139857292175293,51200,,,,107.47,1373,,45,0.0001,1.541117193698883,-0.006533758179284632,0.7561549544334412,0.10382753610610962,0.008250068,0.2,-1.0031706219911576,0.0648828125,,,,,,,,
2,1,5,1,5.946505069732666,56320,3,51200,0.010272,92.85,2231,200,50,0.0001,1.5424002635478973,-0.005092494362033903,0.7494319081306458,0.09946483373641968,0.0064597377,0.2,-0.9825946193933487,0.026484375,,,,,,,,
6,2,,,6.1807098388671875,61440,,,,86.33,1670,,55,0.0001,1.3475476062297822,-0.0066832603700459,0.5961585640907288,0.07864093780517578,0.007995857,0.2,-0.9220087039470672,0.0630859375,,,,,,,,
10,3,,,6.8650054931640625,66560,,,,63.89,1533,,60,0.0001,1.07045836687088,-0.006148870368488133,0.47281402349472046,0.14507955312728882,0.0070189186,0.2,-0.8824378800392151,0.0608984375,,,,,,,,
14,4,,,6.508398056030273,71680,,,,66.14,1454,,65,0.0001,0.8693197190761566,-0.00758993549272418,0.3735383152961731,0.13693088293075562,0.007916489,0.2,-0.8480623865127563,0.0822265625,,,,,,,,
17,5,,,6.615522384643555,76800,,,,63.88,1427,,70,0.0001,0.6860572671890259,-0.0032838105550035833,0.34889668226242065,0.30217230319976807,0.006636916,0.2,-0.829174718260765,0.059453125,,,,,,,,
21,6,,,6.749277114868164,81920,,,,61.65,1411,,75,0.0001,0.6599410790205001,-0.004166033565998078,0.2715309262275696,0.42195796966552734,0.0058189044,0.2,-0.7566921651363373,0.0693359375,,,,,,,,
25,7,,,6.771618843078613,87040,,,,58.81,1407,,80,0.0001,0.6051543593406677,-0.006172704650089145,0.25705859065055847,0.5307935476303101,0.00784363,0.2,-0.7278339678049087,0.0766796875,,,,,,,,
29,8,,,7.182971954345703,92160,,,,50.63,1401,,85,0.0001,0.5971631896495819,-0.0025875855889171363,0.3204623758792877,0.6404240131378174,0.0056571504,0.2,-0.7235457813739776,0.0648046875,,,,,,,,
33,9,,,7.170210361480713,97280,,,,49.85,1394,,90,0.0001,0.4793339642882347,-0.002740866616368294,0.2217482179403305,0.5599996447563171,0.005806129,0.2,-0.6999555438756943,0.0383984375,,,,,,,,
36,10,,,6.956215858459473,102400,,,,55.26,1388,,95,0.0001,0.3365732616186142,-0.0043303591851145025,0.1484944224357605,0.5940412282943726,0.006559639,0.2,-0.6901604664325715,0.0785546875,,,,,,,,
,,,,,,,,,,,,100,0.0001,0.3713150465488434,-0.00243185224942863,0.15165652334690094,0.7081866264343262,0.0051275496,0.2,-0.6774923479557038,0.06171875,1,0.72,4.146829760074615,85.14,1,75.43739391044735,5.187391310090527,102400
2,1,5,1,7.114840507507324,107520,3,102400,0.0010000000000000009,50.52,1908,200,,,,,,,,,,,,,,,,,,
6,2,,,7.083886623382568,112640,,,,50.12,1594,,105,0.0001,0.3507001233100891,-0.003880037327762693,0.1356368511915207,0.6695144176483154,0.004454377,0.2,-0.612801565527916,0.047109375,,,,,,,,
9,3,,,7.255159378051758,117760,,,,47.88,1540,,110,0.0001,0.35671870559453966,-0.003943455209955573,0.16893672943115234,0.7402129173278809,0.005795714,0.2,-0.598183279633522,0.06640625,,,,,,,,
13,4,,,7.093636512756348,122880,,,,50.08,1501,,115,0.0001,0.5113661298155785,-0.004012700291350484,0.2509072721004486,0.6979389786720276,0.00540372,0.2,-0.5840185815095902,0.0598828125,,,,,,,,
17,5,,,7.051703929901123,128000,,,,49.4,1477,,120,0.0001,0.46978615164756776,-0.0029969670344144107,0.2276364415884018,0.6693040132522583,0.00469345,0.2,-0.5692300617694854,0.0530078125,,,,,,,,
21,6,,,7.195914268493652,133120,,,,44.37,1448,,125,0.0001,0.46655224382877347,-0.004208673504181206,0.22846552729606628,0.6109641790390015,0.0062683956,0.2,-0.5470122811198235,0.0561328125,,,,,,,,
25,7,,,7.157125473022461,138240,,,,45.82,1429,,130,0.0001,0.3138071109354496,-0.004023217768408358,0.16250476241111755,0.7094399333000183,0.007156561,0.2,-0.49958533883094786,0.06859375,,,,,,,,
28,8,,,7.453778266906738,143360,,,,39.25,1414,,135,0.0001,0.3004479114711285,-0.0028273288952186705,0.1229827031493187,0.7360336184501648,0.0038088583,0.2,-0.5033717200160026,0.0377734375,,,,,,,,
32,9,,,7.375005722045898,148480,,,,41.01,1407,,140,0.0001,0.2155688361823559,-0.0030862147687003016,0.09949768334627151,0.46901267766952515,0.0055527412,0.2,-0.46582038879394533,0.06578125,,,,,,,,
36,10,,,7.300891876220703,153600,,,,39.93,1405,,145,0.0001,0.2077677471935749,-0.0025861847028136255,0.12523676455020905,0.646639347076416,0.0057141623,0.2,-0.4517751729488373,0.0556640625,,,,,,,,
,,,,,,,,,,,,150,0.0001,0.14564889177680015,-0.0033593825437128544,0.04442596435546875,0.7722182273864746,0.005700109,0.2,-0.45753620117902755,0.04828125,1,0.83,5.6569202876091005,60.42,1,63.688802783534875,4.269949818594266,153600
2,1,5,1,7.437419891357422,158720,3,153600,0.0010000000000000009,39.86,1886,200,,,,,,,,,,,,,,,,,,
6,2,,,7.284158706665039,163840,,,,41.8,1548,,155,0.0001,0.16345317780971527,-0.0014835162367671728,0.08307839184999466,0.6481176614761353,0.009295389,0.2,-0.45127703845500944,0.0715625,,,,,,,,
10,3,,,7.291505813598633,168960,,,,41.73,1491,,160,0.0001,0.2348077216744423,-0.0022816522186622024,0.12310486286878586,0.7432824373245239,0.0060947826,0.2,-0.43965428352355956,0.0882421875,,,,,,,,
13,4,,,7.2424821853637695,174080,,,,39.69,1470,,165,0.0001,0.2814536453783512,-0.003961130226962269,0.132840096950531,0.7223042845726013,0.0057160584,0.2,-0.4465218049287796,0.0775390625,,,,,,,,
17,5,,,7.305295467376709,179200,,,,38.2,1451,,170,0.0001,0.19786222234368325,-0.002478036088868976,0.09016313403844833,0.7862063050270081,0.0076622427,0.2,-0.4183148592710495,0.0695703125,,,,,,,,
21,6,,,7.520238876342773,184320,,,,35.22,1444,,175,0.0001,0.24247895956039428,-0.0034715092414990068,0.1323281079530716,0.8103406429290771,0.0043986654,0.2,-0.41602982878684996,0.0540625,,,,,,,,
25,7,,,7.468222141265869,189440,,,,37.07,1432,,180,0.0001,0.10107446238398551,-0.004716253215447068,0.039883602410554886,0.5407971143722534,0.0070618046,0.2,-0.40680811524391175,0.083359375,,,,,,,,
29,8,,,7.480142116546631,194560,,,,35.25,1406,,185,0.0001,0.11774396516382694,-0.005115675830747932,0.053151700645685196,0.7071821093559265,0.0059146774,0.2,-0.3826132324337959,0.055390625,,,,,,,,
33,9,,,7.202573776245117,199680,,,,38.89,1391,,190,0.0001,0.15326072990894318,-0.0033078153990209105,0.05614645034074783,0.7073256969451904,0.0066670836,0.2,-0.35361227005720136,0.0600390625,,,,,,,,
36,10,,,7.5505452156066895,204800,,,,32.96,1390,,195,0.0001,0.1780865363776684,-0.0018490257253870367,0.0642322227358818,0.764531672000885,0.005405019,0.2,-0.37125980615615845,0.065,,,,,,,,
,,,,,,,,,,,,200,0.0001,0.15083572663366795,-0.0032256142841652034,0.0744774341583252,0.6865777373313904,0.0065020793,0.2,-0.34402788400650025,0.0530859375,1,0.92,6.63646589756012,44.42,1,48.765188403204185,3.1835854872521288,204800
2,1,5,1,7.186192512512207,209920,3,204800,0.0010000000000000009,39.94,1771,200,,,,,,,,,,,,,,,,,,
7,2,,,7.361432075500488,215040,,,,35.48,1460,,205,0.0001,0.15575539000332356,-0.0031963969208300114,0.07008743286132812,0.8056955933570862,0.0047419565,0.2,-0.3403589531779289,0.04875,,,,,,,,
10,3,,,7.481647491455078,220160,,,,32.98,1420,,210,0.0001,0.19596827641129494,-0.0012242323812097311,0.06853081285953522,0.7644470930099487,0.015898693,0.2,-0.31348642259836196,0.0755078125,,,,,,,,
14,4,,,7.394625186920166,225280,,,,36.22,1405,,215,0.0001,0.11731863208115101,0.000285925529897213,0.06073598191142082,0.7192209959030151,0.005591302,0.2,-0.27084349185228346,0.0644921875,,,,,,,,
18,5,,,7.5434370040893555,230400,,,,33.05,1400,,220,0.0001,0.19641273081302643,-0.0028991051949560642,0.09081536531448364,0.7290453910827637,0.004550817,0.2,-0.27956378713250163,0.0559375,,,,,,,,
21,6,,,7.550504684448242,235520,,,,31.89,1405,,225,0.0001,0.13219462193548678,-0.0005687550408765673,0.06121300905942917,0.5154495239257812,0.0062787146,0.2,-0.23025942087173462,0.0509765625,,,,,,,,
25,7,,,7.345034122467041,240640,,,,36.22,1408,,230,0.0001,0.13724470213055612,-0.00265323543921113,0.07763712108135223,0.7031882405281067,0.0056044953,0.2,-0.24495386615395545,0.0543359375,,,,,,,,
29,8,,,7.360307216644287,245760,,,,35.1,1399,,235,0.0001,0.1163346578925848,-0.0009637636621482671,0.06270374357700348,0.7546677589416504,0.006925115,0.2,-0.24069714576005935,0.05921875,,,,,,,,
32,9,,,7.476324558258057,250880,,,,32.61,1396,,240,0.0001,0.14848389394581318,-0.0012457218579947948,0.05598718672990799,0.8015960454940796,0.008718287,0.2,-0.23951088055968284,0.0623046875,,,,,,,,
37,10,,,7.429186820983887,256000,,,,33.41,1372,,245,0.0001,0.10313929043710232,-0.0024041475635021925,0.03588888794183731,0.8277667760848999,0.0061660297,0.2,-0.2217872878909111,0.05640625,,,,,,,,
,,,,,,,,,,,,250,0.0001,0.1284205310791731,-0.0017934917518869042,0.07765261083841324,0.8059579730033875,0.006194216,0.2,-0.2332422013580799,0.0569921875,1,0.97,7.265391836166382,34.33,1,31.492556263345794,1.8893540754207874,256000
2,1,5,1,7.521624565124512,261120,3,256000,0.0010000000000000009,32.46,1853,200,,,,,,,,,,,,,,,,,,
6,2,,,7.567437648773193,266240,,,,30.89,1528,,255,0.0001,0.2032513751089573,0.00041489819064736364,0.11770287156105042,0.7334579825401306,0.0038900077,0.2,-0.23160591810941697,0.04734375,,,,,,,,
10,3,,,7.437608242034912,271360,,,,33.27,1456,,260,0.0001,0.17708418071269988,-0.001699756169691682,0.07147888839244843,0.7158353328704834,0.004570373,0.2,-0.20647144362330436,0.0424609375,,,,,,,,
