time/iterations,rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/loss,train/explained_variance,curriculum/max_steps,train/ent_coef,train/learning_rate,curriculum/stage_timesteps,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/clip_range,curriculum/grid_size,curriculum/obs_quantity,train/n_updates,curriculum/stage,train/clip_fraction,eval/full_coverage_rate,eval/mean_ep_length,eval/stage_timesteps,eval/stage,eval/std_ep_length,eval/deterministic,eval/std_reward,eval/mean_reward
1,3.377056837081909,1280,5120,142.3793103448276,3,,,,,,,,,,,,,,,,,,,,,,,,
1,3.198557138442993,2163,10240,144.35384615384615,2,1.6902494430541992,-0.019611716270446777,200,0.02,0.0001,0,-1.082385505437851,0.0030860244,-0.00230462150182575,3.5495178735256196,0.2,5,3,5,1,0.000234375,,,,,,,,
2,3.399198532104492,1396,15360,144.07,7,1.2364528179168701,0.006284654140472412,,,0.0001,,-1.0576950192451477,0.0056222742,-0.0039172513037919994,2.518994562625885,0.2,,,10,,0.01359375,,,,,,,,
3,3.7395904064178467,1239,20480,139.04,12,0.9763579368591309,0.0513344407081604,,,0.0001,,-1.0578833103179932,0.007616584,-0.006269343202002346,2.3819554197788237,0.2,,,15,,0.0388671875,,,,,,,,
4,4.174499034881592,1171,25600,128.08,17,0.7610973119735718,0.05240309238433838,,,0.0001,,-1.0118863821029662,0.008674778,-0.007724699745886028,1.8181652164459228,0.2,,,20,,0.04671875,,,,,,,,
5,4.754897117614746,1134,30720,114.62,22,0.8943374156951904,0.07438760995864868,,,0.0001,,-1.0007520443201066,0.006770662,-0.005368223958648741,1.813927973508835,0.2,,,25,,0.0412109375,,,,,,,,
6,5.557788848876953,1118,35840,95.75,27,1.014194130897522,0.13754653930664062,,,0.0001,,-0.9770269602537155,0.008307109,-0.008504757899791002,1.742119277715683,0.2,,,30,,0.075,,,,,,,,
7,6.016630172729492,1110,40960,83.63,32,0.7610473036766052,0.07834267616271973,,,0.0001,,-0.9221939194202423,0.007864885,-0.007670315131545067,1.5539628791809081,0.2,,,35,,0.0570703125,,,,,,,,
8,6.288936614990234,1103,46080,76.49,37,0.5387482643127441,0.13291871547698975,,,0.0001,,-0.9070295977592469,0.0076653385,-0.008125279764644801,1.2776711601018906,0.2,,,40,,0.072890625,,,,,,,,
9,6.292818069458008,1097,51200,74.32,42,0.4750397503376007,0.20036828517913818,,,0.0001,,-0.8805036789178848,0.0074370294,-0.006720035164617002,0.9774552154541015,0.2,,,45,,0.1014453125,,,,,,,,
10,6.122931003570557,1095,56320,75.88,46,0.3242427408695221,0.1998504400253296,,,0.0001,,-0.8702839285135269,0.007802576,-0.0064732140535488725,0.7451780027151108,0.2,,,50,,0.0665234375,,,,,,,,
1,6.812738418579102,1598,61440,64.82,3,0.27325186133384705,0.24785637855529785,200,0.010272,0.0001,51200,-0.8592942649126053,0.008071709,-0.007877738364040852,0.6679452061653137,0.2,5,3,55,1,0.102890625,,,,,,,,
2,6.861215114593506,1292,66560,58.62,7,0.2586395740509033,0.2726002335548401,,,0.0001,,-0.8311075377464294,0.007721401,-0.007737707463093102,0.5402330759167672,0.2,,,60,,0.095546875,,,,,,,,
3,6.931265830993652,1195,71680,55.31,12,0.2709153890609741,0.38500696420669556,,,0.0001,,-0.7838869965076447,0.007094561,-0.006135240411385894,0.5097805064916611,0.2,,,65,,0.0807421875,,,,,,,,
4,7.0063300132751465,1167,76800,54.42,17,0.19234022498130798,0.38379526138305664,,,0.0001,,-0.7650046437978745,0.0073571727,-0.00559342123568058,0.4088166329264641,0.2,,,70,,0.077578125,,,,,,,,
5,7.053987979888916,1140,81920,54.62,22,0.13777020573616028,0.45498180389404297,,,0.0001,,-0.7389714246988297,0.0060507837,-0.004011529749259352,0.35214900016784667,0.2,,,75,,0.07453125,,,,,,,,
6,7.044708728790283,1132,87040,51.45,27,0.1485593616962433,0.4788612723350525,,,0.0001,,-0.7382385677099228,0.005537389,-0.003932462390512228,0.3582924589514732,0.2,,,80,,0.07625,,,,,,,,
