time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,train/explained_variance,train/approx_kl,train/policy_gradient_loss,curriculum/grid_size,train/learning_rate,curriculum/max_steps,train/clip_range,curriculum/stage,train/ent_coef,curriculum/obs_quantity,train/value_loss,train/clip_fraction,curriculum/stage_timesteps,train/n_updates,train/loss,train/entropy_loss,eval/std_reward,eval/mean_reward,eval/deterministic,eval/mean_ep_length,eval/stage_timesteps,eval/stage,eval/std_ep_length,eval/full_coverage_rate
1269,3.4743294715881348,4,5120,148.39285714285714,1,,,,,,,,,,,,,,,,,,,,,,,,
1563,3.046924352645874,3,10240,148.93650793650792,1,-0.004361391067504883,0.0066453256,-0.0031481285486370325,5,0.0001,200,0.2,1,0.02,3,3.7565872263908386,0.0096484375,0,5,1.648298740386963,-1.0754840087890625,,,,,,,,
1267,3.0897836685180664,8,15360,145.94,2,0.033510684967041016,0.00723793,-0.0049478265456855295,,0.0001,,0.2,,,,2.3218155527114868,0.0265625,,10,1.3722147941589355,-1.0704116356372833,,,,,,,,
1190,3.391408681869507,12,20480,140.32,3,0.11682170629501343,0.008738757,-0.007375898396130651,,0.0001,,0.2,,,,1.9696777868270874,0.049765625,,15,0.9425686001777649,-1.060532431602478,,,,,,,,
1149,3.8675622940063477,17,25600,131.03,4,0.06132382154464722,0.004636883,-0.004871887122280896,,0.0001,,0.2,,,,2.0332953321933744,0.0134375,,20,1.128187894821167,-1.0527980613708496,,,,,,,,
1130,4.483363151550293,22,30720,121.52,5,0.05247664451599121,0.0068152463,-0.006469626708421856,,0.0001,,0.2,,,,1.9081030666828156,0.03171875,,25,0.8309352993965149,-1.0225738203525543,,,,,,,,
1117,5.415897369384766,27,35840,102.94,6,0.105216383934021,0.0072613144,-0.00828983062878251,,0.0001,,0.2,,,,1.827173011302948,0.06546875,,30,0.8107584118843079,-1.0168033438920974,,,,,,,,
1112,5.912874698638916,32,40960,88.58,7,0.09639275074005127,0.010881269,-0.007033330609556287,,0.0001,,0.2,,,,1.6217992866039277,0.08375,,35,0.818740963935852,-0.9455394089221955,,,,,,,,
1106,5.877099990844727,37,46080,87.62,8,0.12031066417694092,0.008300254,-0.006088019274175167,,0.0001,,0.2,,,,1.2404593515396118,0.083671875,,40,0.5901528596878052,-0.944753242135048,,,,,,,,
1106,6.3286919593811035,41,51200,75.3,9,0.13235241174697876,0.0058994223,-0.0067008701199665665,,0.0001,,0.2,,,,1.019240418076515,0.0668359375,,45,0.42754048109054565,-0.9247259098291397,,,,,,,,
1106,6.851840972900391,46,56320,64.44,10,0.2090078592300415,0.007612463,-0.007920055179856717,,0.0001,,0.2,,,,0.9093380361795426,0.0943359375,,50,0.4168906807899475,-0.9021620398759842,,,,,,,,
1618,6.355686664581299,3,61440,73.25,1,0.13683193922042847,0.008019781,-0.005326163461431861,5,0.0001,200,0.2,1,0.010272,3,0.7082648241519928,0.0868359375,51200,55,0.32270359992980957,-0.8753356236219406,,,,,,,,
1189,6.4503397941589355,8,66560,69.64,2,0.2750113606452942,0.009013171,-0.007217855348717422,,0.0001,,0.2,,,,0.4839825588464737,0.0975390625,,60,0.17466410994529724,-0.9072163116931915,,,,,,,,
1102,6.693084239959717,13,71680,64.75,3,0.28308725357055664,0.0068723643,-0.004383295788429677,,0.0001,,0.2,,,,0.5366582494974136,0.0961328125,,65,0.26886042952537537,-0.866283991932869,,,,,,,,
1091,6.838085174560547,18,76800,61.47,4,0.36272871494293213,0.007135975,-0.0047693249676376585,,0.0001,,0.2,,,,0.4936342218518257,0.083125,,70,0.19255276024341583,-0.8292375916242599,,,,,,,,
1084,6.8048224449157715,23,81920,59.81,5,0.34908461570739746,0.0074148765,-0.0072665102779865265,,0.0001,,0.2,,,,0.4901342514157295,0.0965234375,,75,0.18612776696681976,-0.8083665883541107,,,,,,,,
1078,6.692517280578613,28,87040,60.87,6,0.41428446769714355,0.006984043,-0.007340815071947873,,0.0001,,0.2,,,,0.4359297874569893,0.102109375,,80,0.197720468044281,-0.8033327001333237,,,,,,,,
1070,6.915875434875488,33,92160,58.42,7,0.31957751512527466,0.008412482,-0.003974617356434464,,0.0001,,0.2,,,,0.38788586646318435,0.0777734375,,85,0.16984106600284576,-0.8072686791419983,,,,,,,,
1074,7.02572774887085,38,97280,53.76,8,0.42489081621170044,0.008203703,-0.004962980425916612,,0.0001,,0.2,,,,0.38124606102705,0.08140625,,90,0.15077239274978638,-0.7826533073186874,,,,,,,,
1076,6.960465908050537,42,102400,54.18,9,0.4223574995994568,0.0061778505,-0.004236247125081718,,0.0001,,0.2,,,,0.365075149834156,0.0728125,,95,0.16127678751945496,-0.7566809546947479,,,,,,,,
1075,6.896942615509033,47,107520,55.5,10,0.44347381591796875,0.0067671784,-0.004792545307427645,,0.0001,,0.2,,,,0.3412828239798546,0.0765234375,,100,0.15223947167396545,-0.7507019537687302,,,,,,,,
,,,,,,0.458668053150177,0.00708232,-0.004093479355797172,,0.0001,,0.2,,,,0.3182765316963196,0.0984765625,,105,0.1402646154165268,-0.7516048550605774,1.859377450819022,6.860402934551239,0,55.15,102400,1,37.58626743905279,0.97
1917,7.1058349609375,2,112640,50.55,1,,,,5,,200,,1,0.0010000000000000009,3,,,102400,,,,,,,,,,,
1550,6.92336893081665,6,117760,55.49,2,0.5098041296005249,0.0054008695,-0.002517797560431063,,0.0001,,0.2,,,,0.31625873908400537,0.0869921875,,110,0.13394370675086975,-0.7071003472805023,,,,,,,,
1467,7.094578742980957,10,122880,50.54,3,0.42458200454711914,0.009308098,-0.0031430799188092353,,0.0001,,0.2,,,,0.3123147293925285,0.091875,,115,0.14026515185832977,-0.7062535971403122,,,,,,,,
