time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,curriculum/obs_quantity,train/value_loss,train/clip_fraction,train/ent_coef,curriculum/grid_size,train/approx_kl,train/loss,train/entropy_loss,train/clip_range,curriculum/stage_timesteps,curriculum/max_steps,train/policy_gradient_loss,train/learning_rate,curriculum/stage,train/explained_variance,eval/stage_timesteps,eval/std_ep_length,eval/mean_ep_length,eval/stage,eval/deterministic,eval/std_reward,eval/full_coverage_rate,eval/mean_reward
1,3,5120,1283,3.7918248176574707,138.1290322580645,,,,,,,,,,,,,,,,,,,,,,,,
1,3,10240,1560,3.2561874389648438,144.578125,5,3,3.7135734820365904,0.008828125,0.02,5,0.0067985775,2.1643800735473633,-1.0544268131256103,0.2,0,200,-0.002929594786837697,0.0001,1,-0.044873952865600586,,,,,,,,
2,8,15360,1223,3.3056929111480713,146.3469387755102,10,,1.8824912333488464,0.0371484375,,,0.009294907,0.8904788494110107,-1.046071491241455,0.2,,,-0.005629686643369496,0.0001,,0.006398379802703857,,,,,,,,
3,13,20480,1150,3.6608972549438477,141.18,15,,1.853596853017807,0.02828125,,,0.0074625365,1.0711350440979004,-1.0683026397228241,0.2,,,-0.006453392701223493,0.0001,,0.0990149974822998,,,,,,,,
4,18,25600,1115,4.224573135375977,127.77,20,,2.0862701213359833,0.03328125,,,0.007217529,0.9790264368057251,-1.0211769932508468,0.2,,,-0.006087540742009878,0.0001,,0.08109813928604126,,,,,,,,
5,23,30720,1104,4.864931106567383,111.56,25,,1.5577031564712525,0.088671875,,,0.009253358,0.7478487491607666,-0.9913382625579834,0.2,,,-0.011117166341282427,0.0001,,0.09279930591583252,,,,,,,,
6,28,35840,1093,5.781152725219727,92.23,30,,1.6467645597457885,0.063828125,,,0.007777079,0.8557671904563904,-0.9602669155597687,0.2,,,-0.008614385849796236,0.0001,,0.06043928861618042,,,,,,,,
7,32,40960,1089,5.748811721801758,90.43,35,,1.4010624730587005,0.07234375,,,0.0075386455,0.6005106568336487,-0.9246630799770356,0.2,,,-0.008976534120738506,0.0001,,0.11189812421798706,,,,,,,,
8,37,46080,1080,6.282812595367432,76.03,40,,1.1281290274858475,0.04984375,,,0.00667144,0.5901336073875427,-0.8694469302892684,0.2,,,-0.005514042209833861,0.0001,,0.0693252682685852,,,,,,,,
9,42,51200,1079,6.076846122741699,83.21,45,,0.9466024380922318,0.07765625,,,0.0073053883,0.4604063928127289,-0.8831013113260269,0.2,,,-0.007374811312183737,0.0001,,0.09710389375686646,,,,,,,,
10,47,56320,1075,6.670891761779785,69.05,50,,0.703899188041687,0.1032421875,,,0.007952949,0.3120061457157135,-0.8959072709083558,0.2,,,-0.008474641880020499,0.0001,,0.16959774494171143,,,,,,,,
1,3,61440,1535,6.480220794677734,67.31,55,3,0.7413530588150025,0.095546875,0.010272,5,0.008608123,0.3031359612941742,-0.8547291737794876,0.2,51200,200,-0.008257444282062352,0.0001,1,0.2518969774246216,,,,,,,,
2,8,66560,1244,6.2290167808532715,68.47,60,,0.5968317297101021,0.10515625,,,0.007185217,0.2862882912158966,-0.842376497387886,0.2,,,-0.005840820809826255,0.0001,,0.27152860164642334,,,,,,,,
3,13,71680,1173,6.602891445159912,63.37,65,,0.5702449941635132,0.0891796875,,,0.006135721,0.24464455246925354,-0.833979532122612,0.2,,,-0.007259779567830265,0.0001,,0.41879481077194214,,,,,,,,
4,18,76800,1132,6.784317493438721,59.04,70,,0.4858252316713333,0.0890234375,,,0.0074684275,0.21064990758895874,-0.7800603818893432,0.2,,,-0.008109512645751238,0.0001,,0.396770179271698,,,,,,,,
5,22,81920,1113,7.039818286895752,53.76,75,,0.3629407200217247,0.0749609375,,,0.007273038,0.1815173327922821,-0.7877663964033127,0.2,,,-0.0049713798705488445,0.0001,,0.3496657609939575,,,,,,,,
6,27,87040,1101,6.882994174957275,57.23,80,,0.3277775603532791,0.0940234375,,,0.008337983,0.13956759870052338,-0.739708530306816,0.2,,,-0.003772642356343567,0.0001,,0.43202847242355347,,,,,,,,
7,31,92160,1129,6.8133225440979,58.61,85,,0.3650683152675629,0.096328125,,,0.008646494,0.168812558054924,-0.7560699832439423,0.2,,,-0.004219250846654176,0.0001,,0.510204553604126,,,,,,,,
8,35,97280,1148,7.017272472381592,53.6,90,,0.38122842460870743,0.1054296875,,,0.007235928,0.17402514815330505,-0.7275192415714264,0.2,,,-0.006290128626860678,0.0001,,0.5042968988418579,,,,,,,,
9,40,102400,1131,7.070367813110352,51.73,95,,0.3229474472999573,0.0766015625,,,0.0053259926,0.14557000994682312,-0.696290095448494,0.2,,,-0.004251841190271079,0.0001,,0.42581647634506226,,,,,,,,
10,45,107520,1121,7.231823921203613,46.61,100,,0.2577450703084469,0.1198046875,,,0.009482408,0.09816347062587738,-0.7176831775903701,0.2,,,-0.005537220686674118,0.0001,,0.48983895778656006,,,,,,,,
