time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/n_updates,train/clip_range,train/clip_fraction,curriculum/stage_timesteps,train/approx_kl,curriculum/obs_quantity,curriculum/grid_size,train/entropy_loss,train/value_loss,curriculum/stage,curriculum/max_steps,train/policy_gradient_loss,train/ent_coef,train/loss,train/learning_rate,eval/mean_ep_length,eval/std_reward,eval/full_coverage_rate,eval/mean_reward,eval/deterministic,eval/stage,eval/stage_timesteps,eval/std_ep_length
1888,2,164.64,5120,2.06681752204895,1,,,,,,,,,,,,,,,,,,,,,,,,
2193,2,169.24074074074073,10240,1.7556287050247192,1,-0.05987346172332764,5,0.2,0.0223828125,0,0.008835201,3,5,-1.0632522988319397,2.6138289380073547,1,200,-0.003881343398243189,0.02,1.4154767990112305,0.0001,,,,,,,,
1550,6,170.12941176470588,15360,1.4941236972808838,2,-0.052785634994506836,10,0.2,0.0028515625,,0.005696385,,,-1.05465167760849,1.703245199918747,,,-0.002004610816948116,,1.0306813716888428,0.0001,,,,,,,,
1300,11,160.62,20480,2.0610790252685547,3,0.05646312236785889,15,0.2,0.007578125,,0.0063179606,,,-1.066495019197464,1.4385669136047363,,,-0.004326183130033314,,0.5348603129386902,0.0001,,,,,,,,
1178,17,149.02,25600,2.878851890563965,4,0.03631871938705444,20,0.2,0.0460546875,,0.008647962,,,-1.040716485977173,2.3191671335697173,,,-0.006479920386336744,,1.0395727157592773,0.0001,,,,,,,,
1102,23,140.96,30720,3.5060901641845703,5,0.045292019844055176,25,0.2,0.0210546875,,0.0074715056,,,-1.0483823561668395,1.6181895840168,,,-0.005167535962536931,,0.7056810855865479,0.0001,,,,,,,,
1067,28,130.5,35840,4.228420257568359,6,0.028288841247558594,30,0.2,0.086171875,,0.007339564,,,-1.010209613442421,1.550431045293808,,,-0.009304561028257012,,0.6961995959281921,0.0001,,,,,,,,
1047,34,101.3,40960,5.800465106964111,7,0.040055811405181885,35,0.2,0.0295703125,,0.0072221495,,,-0.9688950949907302,1.84439959526062,,,-0.004559574974700808,,0.7767780423164368,0.0001,,,,,,,,
1047,39,97.57,46080,5.811913967132568,8,0.1402827501296997,40,0.2,0.0716796875,,0.008024619,,,-0.9576541006565094,1.532798583507538,,,-0.007936631431803107,,0.6400807499885559,0.0001,,,,,,,,
1046,44,99.86,51200,5.440420150756836,9,0.056893110275268555,45,0.2,0.083828125,,0.008115947,,,-0.9195293396711349,1.0314617151021956,,,-0.00893007284961641,,0.4364391565322876,0.0001,,,,,,,,
