time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/loss,curriculum/stage,train/stage_learning_rate,train/learning_rate,train/clip_range,train/approx_kl,train/value_loss,train/explained_variance,curriculum/stage_timesteps,train/entropy_loss,train/n_updates,train/clip_fraction,curriculum/max_steps,curriculum/grid_size,train/policy_gradient_loss,train/ent_coef,curriculum/obs_quantity,eval/stage_timesteps,eval/mean_ep_length,eval/mean_reward,eval/full_coverage_rate,eval/stage,eval/std_reward,eval/deterministic,eval/std_ep_length
5120,1,160.5,3,1615,2.54703688621521,,,,,,,,,,,,,,,,,,,,,,,,,
10240,1,154.22222222222223,2,2069,2.883657693862915,1.4417482614517212,1,0.0001,0.0001,0.2,0.0008277772,3.1256130528450012,-0.025378108024597168,0,-1.0740133547782897,5,0.0,200,5,-0.0015052487282082438,0.02,3,,,,,,,,
15360,2,152.5979381443299,6,1592,2.7873592376708984,1.3815066814422607,,,0.0001,0.2,0.0063476325,2.6335912847518923,0.026424527168273926,,-1.066538348197937,10,0.026171875,,,-0.005619945386424661,,,,,,,,,,
20480,3,132.79,10,1469,4.059970855712891,0.8885380029678345,,,0.0001,0.2,0.005505188,2.0023077058792116,0.14099013805389404,,-1.008225190639496,15,0.0365625,,,-0.007333694626577198,,,,,,,,,,
25600,4,120.07,14,1431,4.741334915161133,1.0711541175842285,,,0.0001,0.2,0.007152289,2.2824420773983003,0.14454680681228638,,-1.016533792614937,20,0.024765625,,,-0.005168069861829281,,,,,,,,,,
30720,5,113.42,18,1408,4.880578994750977,0.6514199376106262,,,0.0001,0.2,0.008645149,1.7723502326011658,0.13706088066101074,,-1.0082466292381287,25,0.0660546875,,,-0.00962715560104698,,,,,,,,,,
35840,6,101.04,22,1392,5.410089492797852,0.759807825088501,,,0.0001,0.2,0.0086866,1.6721589410305022,0.07513552904129028,,-0.9891614580154419,30,0.1059765625,,,-0.009533353955484927,,,,,,,,,,
40960,7,87.07,25,1387,5.999584197998047,0.4940059185028076,,,0.0001,0.2,0.005936052,1.4097812831401826,0.11213994026184082,,-0.9629112374782562,35,0.048984375,,,-0.004989607180468738,,,,,,,,,,
46080,8,80.83,29,1387,6.061221122741699,0.5582947731018066,,,0.0001,0.2,0.008251977,1.2115883308649062,0.14861422777175903,,-0.949488200545311,40,0.077890625,,,-0.007482476294972003,,,,,,,,,,
51200,9,79.51,33,1388,6.127289295196533,0.36725324392318726,,,0.0001,0.2,0.008535158,0.9016155689954758,0.16514015197753906,,-0.9050132930278778,45,0.0806640625,,,-0.004685131022706628,,,,,,,,,,
56320,10,72.7,36,1391,6.488215446472168,0.34513306617736816,,,0.0001,0.2,0.0071656317,0.8402975100278854,0.21760761737823486,,-0.8990912991762161,50,0.0855859375,,,-0.004929527873173356,,,,,,,,,,
61440,1,67.82,2,2326,6.593624114990234,0.3445194661617279,1,0.0001,0.0001,0.2,0.006582491,0.7452292448282242,0.24183368682861328,51200,-0.8794959568977356,55,0.0809375,200,5,-0.0076059670560061935,0.010272,3,,,,,,,,
66560,2,63.84,5,1739,6.802363395690918,0.28139573335647583,,,0.0001,0.2,0.007259261,0.6414652737975121,0.29301345348358154,,-0.8789179855585099,60,0.077578125,,,-0.007045298279263079,,,,,,,,,,
71680,3,62.14,9,1613,6.727261543273926,0.2659686505794525,,,0.0001,0.2,0.0065979683,0.5249957230687141,0.31086307764053345,,-0.857858949303627,65,0.0683203125,,,-0.00572815824765712,,,,,,,,,,
