time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,train/ent_coef,train/loss,curriculum/grid_size,train/entropy_loss,curriculum/preferred_eval_mode,curriculum/stage_timesteps,train/n_updates,curriculum/obs_quantity,curriculum/stage,train/approx_kl,train/learning_rate,train/stage_learning_rate,train/policy_gradient_loss,curriculum/max_steps,train/value_loss,train/explained_variance,train/clip_fraction,train/clip_range,eval/mean_reward,eval/std_reward,eval/deterministic,eval/stage,eval/std_ep_length,eval/full_coverage_rate,eval/mean_ep_length,eval/stage_timesteps,eval/promotion_full_coverage_rate,eval/stochastic_full_coverage_rate,eval/mode_gap,eval/deterministic_full_coverage_rate,eval/diagnostic_full_coverage_rate
2,5120,159.92592592592592,1,1717,2.910731554031372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10240,156.73333333333332,1,1987,2.690643548965454,0.02,1.1065270900726318,5,-1.0583352971076965,0,0,5,3,1,0.004251207,0.0001,0.0001,-0.0028247547335922716,200,2.8903751027584077,-0.0839540958404541,0.0011328125,0.2,,,,,,,,,,,,,
6,15360,153.07368421052632,2,1574,2.9317574501037598,,1.0244592428207397,,-1.0703900599479674,,,10,,,0.010163816,0.0001,,-0.008099353956058621,,2.2227645456790923,0.02056562900543213,0.0519921875,0.2,,,,,,,,,,,,,
10,20480,148.8,3,1467,3.189135789871216,,0.6003334522247314,,-1.0590977931022645,,,15,,,0.0033767982,0.0001,,-0.0036997457966208456,,1.9887714302539825,0.033472537994384766,0.0030078125,0.2,,,,,,,,,,,,,
14,25600,138.54,4,1410,3.819169521331787,,1.182199478149414,,-1.0411712604761123,,,20,,,0.008699556,0.0001,,-0.008596076918765903,,1.8396409273147583,0.07668417692184448,0.049296875,0.2,,,,,,,,,,,,,
18,30720,122.4,5,1397,4.544044494628906,,0.8848289251327515,,-1.010916875600815,,,25,,,0.009514313,0.0001,,-0.009806842179968953,,1.9487553548812866,0.026423394680023193,0.0759375,0.2,,,,,,,,,,,,,
22,35840,100.38,6,1380,5.511714935302734,,0.9349087476730347,,-0.9751587754487991,,,30,,,0.007152687,0.0001,,-0.005976062617264688,,2.0272996830940246,0.0866740345954895,0.0281640625,0.2,,,,,,,,,,,,,
26,40960,92.18,7,1370,5.7625555992126465,,0.6533913612365723,,-0.9314663845300675,,,35,,,0.009036,0.0001,,-0.010483976872637867,,1.5730422830581665,0.08553069829940796,0.0763671875,0.2,,,,,,,,,,,,,
30,46080,81.84,8,1364,6.150817394256592,,0.6260359883308411,,-0.9208223766088486,,,40,,,0.0104093775,0.0001,,-0.009753813361749053,,1.3976150155067444,0.07869839668273926,0.1040234375,0.2,,,,,,,,,,,,,
33,51200,68.73,9,1359,6.586300849914551,,0.5645754933357239,,-0.9029051929712295,,,45,,,0.009126395,0.0001,,-0.011107572754845023,,1.1218808859586715,0.0914313793182373,0.10890625,0.2,,,,,,,,,,,,,
