rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,train/policy_gradient_loss,curriculum/grid_size,curriculum/max_steps,train/value_loss,train/learning_rate,curriculum/obs_quantity,train/loss,curriculum/stage,curriculum/stage_timesteps,train/approx_kl,train/clip_fraction,curriculum/preferred_eval_mode,train/stage_learning_rate,train/n_updates,train/ent_coef,train/clip_range,train/entropy_loss,train/explained_variance,eval/stage,eval/mean_reward,eval/stage_timesteps,eval/mean_ep_length,eval/std_ep_length,eval/full_coverage_rate,eval/deterministic,eval/std_reward,eval/deterministic_full_coverage_rate,eval/diagnostic_full_coverage_rate,eval/mode_gap,eval/stochastic_full_coverage_rate,eval/promotion_full_coverage_rate
156.4814814814815,5120,3,2.3002729415893555,1464,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155.18032786885246,10240,2,2.802030086517334,1871,1,-0.002591753355227411,5,200,3.185975593328476,0.0001,3,1.5065194368362427,1,0,0.004417648,0.004140625,0,0.0001,5,0.02,0.2,-1.0855410122871398,-0.017937302589416504,,,,,,,,,,,,,
154.4731182795699,15360,9,2.721834897994995,1127,2,-0.004287064280360937,,,2.4837588381767275,0.0001,,0.9988662004470825,,,0.0062792017,0.0151953125,,,10,,0.2,-1.064555939435959,0.014050543308258057,,,,,,,,,,,,,
147.77,20480,15,3.092891216278076,993,3,-0.008033296326175332,,,1.6025780189037322,0.0001,,0.7895240783691406,,,0.00835491,0.0652734375,,,15,,0.2,-1.0537439131736754,0.07160001993179321,,,,,,,,,,,,,
137.54,25600,21,3.286238193511963,935,4,-0.006776329278945923,,,1.9440364229679108,0.0001,,0.6835941672325134,,,0.007393518,0.04515625,,,20,,0.2,-1.0222140616178512,0.02720808982849121,,,,,,,,,,,,,
105.01,30720,28,5.166959285736084,910,5,-0.009018040299415588,,,1.81804820895195,0.0001,,0.8408752679824829,,,0.008592315,0.0733203125,,,25,,0.2,-0.9812598079442978,0.054318130016326904,,,,,,,,,,,,,
83.84,35840,34,6.453044414520264,890,6,-0.008092062962241471,,,1.8998046731948852,0.0001,,0.8981171250343323,,,0.008745229,0.0625,,,30,,0.2,-0.9550911104679107,0.10266309976577759,,,,,,,,,,,,,
78.36,40960,40,6.359612464904785,879,7,-0.007024274631403387,,,1.318128080368042,0.0001,,0.5854032039642334,,,0.007961632,0.0613671875,,,35,,0.2,-0.9207497107982635,0.12704074382781982,,,,,,,,,,,,,
69.32,46080,47,6.806885242462158,869,8,-0.008248835909180343,,,1.040471046566963,0.0001,,0.40071263909339905,,,0.009893156,0.0904296875,,,40,,0.2,-0.8437824440002442,0.160808265209198,,,,,,,,,,,,,
59.24,51200,53,7.026385307312012,861,9,-0.00809026981703937,,,0.8023120540380478,0.0001,,0.3140382766723633,,,0.007665658,0.1022265625,,,45,,0.2,-0.8410929030179978,0.08142495155334473,,,,,,,,,,,,,
62.12,56320,59,6.90165901184082,855,10,-0.007702279477380216,,,0.564039441049099,0.0001,,0.2565128207206726,,,0.007984311,0.0843359375,,,50,,0.2,-0.8225442397594452,0.17231851816177368,,,,,,,,,,,,,
59.48,61440,2,6.844386100769043,1908,1,-0.006833277540281415,5,200,0.44665460497140885,0.0001,3,0.20031481981277466,1,51200,0.007572692,0.1005078125,0,0.0001,55,0.010272,0.2,-0.7906713104248047,0.1538366675376892,,,,,,,,,,,,,
