time/iterations,time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/clip_range,train/ent_coef,train/clip_fraction,train/explained_variance,curriculum/preferred_eval_mode,train/stage_learning_rate,train/loss,train/entropy_loss,curriculum/max_steps,curriculum/obs_quantity,train/learning_rate,curriculum/stage_timesteps,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/value_loss,curriculum/grid_size,curriculum/stage,eval/full_coverage_rate,eval/mean_ep_length,eval/stage,eval/std_reward,eval/deterministic,eval/std_ep_length,eval/mean_reward,eval/stage_timesteps,eval/mode_gap,eval/deterministic_full_coverage_rate,eval/deterministic_promotion_floor,eval/promotion_full_coverage_rate,eval/stochastic_full_coverage_rate,eval/promotion_passed,eval/diagnostic_full_coverage_rate
1,1567,2.7681374549865723,5120,162.84615384615384,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1889,2.971041440963745,10240,160.0,2,0.2,0.02,0.0,-0.02464890480041504,0,0.0001,1.232729196548462,-1.0620559108257295,200,3,0.0001,0,5,-0.0011869991943240165,0.0014893796,2.9252159237861632,5,1,,,,,,,,,,,,,,,
2,1120,3.1844136714935303,15360,157.1290322580645,9,0.2,,0.0138671875,-0.012584686279296875,,,0.9317759871482849,-1.0714336490631104,,,0.0001,,10,-0.003143172929994762,0.0064794556,2.1143662893772124,,,,,,,,,,,,,,,,,
3,982,3.9189484119415283,20480,146.47,15,0.2,,0.0209375,0.08802986145019531,,,0.928926408290863,-1.0633264982700348,,,0.0001,,15,-0.005806700503453613,0.006373937,2.031482467651367,,,,,,,,,,,,,,,,,
4,912,4.29200553894043,25600,135.21,22,0.2,,0.0176953125,0.08755862712860107,,,1.1247860193252563,-1.0551588475704192,,,0.0001,,20,-0.006076517612673343,0.0067121,2.403467900753021,,,,,,,,,,,,,,,,,
5,889,5.352425575256348,30720,112.35,28,0.2,,0.052734375,0.12562525272369385,,,0.8219074010848999,-1.0033463448286057,,,0.0001,,25,-0.007188850091770291,0.00833134,1.9543039786815644,,,,,,,,,,,,,,,,,
6,870,6.118685722351074,35840,94.09,35,0.2,,0.04375,0.07254630327224731,,,0.8200691938400269,-0.9677423250675201,,,0.0001,,30,-0.005325979571789503,0.0068319426,1.9373432660102845,,,,,,,,,,,,,,,,,
7,856,6.333834648132324,40960,85.83,41,0.2,,0.0719921875,0.09656643867492676,,,0.6080955862998962,-0.9627833944559098,,,0.0001,,35,-0.00784218946006149,0.008790759,1.5145237243175507,,,,,,,,,,,,,,,,,
8,841,6.194413661956787,46080,85.53,48,0.2,,0.0803125,0.1039990782737732,,,0.49115628004074097,-0.9377313673496246,,,0.0001,,40,-0.006241253493353725,0.009318264,1.1236056917905808,,,,,,,,,,,,,,,,,
9,835,6.2044596672058105,51200,79.77,55,0.2,,0.057890625,0.2082785964012146,,,0.3819272518157959,-0.906734076142311,,,0.0001,,45,-0.003995750294998288,0.005613993,0.886891907453537,,,,,,,,,,,,,,,,,
10,829,6.443363189697266,56320,72.32,61,0.2,,0.1011328125,0.25443708896636963,,,0.3408280909061432,-0.8731621700525284,,,0.0001,,50,-0.008723592748865486,0.010643166,0.7778390550613403,,,,,,,,,,,,,,,,,
1,1928,6.892220973968506,61440,65.59,2,0.2,0.010272,0.1155859375,0.35667914152145386,0,0.0001,0.3072745203971863,-0.8618582648038864,200,3,0.0001,51200,55,-0.008041478134691716,0.008190844,0.7097581338882446,5,1,,,,,,,,,,,,,,,
2,1117,6.8669209480285645,66560,65.9,9,0.2,,0.0934765625,0.31330955028533936,,,0.31062886118888855,-0.8215409684181213,,,0.0001,,60,-0.006871352961752564,0.008145507,0.5861482664942741,,,,,,,,,,,,,,,,,
3,984,6.686676025390625,71680,67.91,15,0.2,,0.0722265625,0.385495662689209,,,0.2511584162712097,-0.7850458288192749,,,0.0001,,65,-0.004604020668193698,0.0067494,0.5366219109296799,,,,,,,,,,,,,,,,,
4,925,6.998959541320801,76800,60.17,22,0.2,,0.102890625,0.43701601028442383,,,0.23853936791419983,-0.7959910321235657,,,0.0001,,70,-0.005360606820322573,0.007770422,0.4542051726579666,,,,,,,,,,,,,,,,,
5,893,6.97270393371582,81920,62.84,28,0.2,,0.10515625,0.4286125898361206,,,0.18919217586517334,-0.7988415110111237,,,0.0001,,75,-0.004044882934540511,0.0069097215,0.4255678853392601,,,,,,,,,,,,,,,,,
6,872,6.981748580932617,87040,61.76,35,0.2,,0.1040234375,0.5076385140419006,,,0.1675007939338684,-0.8106514298915863,,,0.0001,,80,-0.00723733002319932,0.0073644957,0.41327282786369324,,,,,,,,,,,,,,,,,
7,857,7.144306182861328,92160,57.62,41,0.2,,0.0953515625,0.4618403911590576,,,0.15300408005714417,-0.7689952743053436,,,0.0001,,85,-0.0060588139435276385,0.006636751,0.34033736795187,,,,,,,,,,,,,,,,,
8,847,6.7370452880859375,97280,59.2,48,0.2,,0.0791015625,0.5173690319061279,,,0.21848389506340027,-0.7504903024435043,,,0.0001,,90,-0.005304619795642793,0.0066093267,0.38413763463497164,,,,,,,,,,,,,,,,,
9,841,7.253260612487793,102400,50.62,54,0.2,,0.06875,0.5251599550247192,,,0.1316145658493042,-0.7238624405860901,,,0.0001,,95,-0.006731805466115475,0.0063523254,0.3591431012749672,,,,,,,,,,,,,,,,,
10,834,6.960368633270264,107520,53.53,61,0.2,,0.072265625,0.48341888189315796,,,0.13267071545124054,-0.7275504422187805,,,0.0001,,100,-0.0048238716553896666,0.006911156,0.3270285248756409,,,,,,,,,,,,,,,,,
,,,,,,0.2,,0.0884765625,0.6338938474655151,,,0.11197443306446075,-0.7039652836322784,,,0.0001,,105,-0.005395450377836824,0.0073535107,0.28800092950463296,,,1.0,41.61,1,0.3657135077862172,0,16.507510411930685,7.499118990898133,102400,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.54,105.5,1,5.4626621874564245,1,87.23663221376671,2.695557117462158,102400,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,102400,0.45999999999999996,0.54,0.792,1.0,1.0,0,1.0
1,1472,7.252544403076172,112640,50.16,3,,0.0010000000000000009,,,1,0.0001,,,200,3,,102400,,,,,5,1,,,,,,,,,,,,,,,
