time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/iterations,curriculum/stage,train/explained_variance,train/learning_rate,train/clip_range,curriculum/max_steps,train/policy_gradient_loss,curriculum/preferred_eval_mode,curriculum/grid_size,train/approx_kl,train/entropy_loss,train/n_updates,train/clip_fraction,train/ent_coef,train/stage_learning_rate,train/loss,curriculum/obs_quantity,curriculum/stage_timesteps,train/value_loss,eval/mean_reward,eval/mean_ep_length,eval/stage,eval/stage_timesteps,eval/deterministic,eval/std_reward,eval/std_ep_length,eval/full_coverage_rate,eval/promotion_min_mean_reward,eval/deterministic_quality_passed,eval/mode_gap,eval/coverage_promotion_passed,eval/promotion_max_mean_length,eval/promotion_passed,eval/deterministic_full_coverage_rate,eval/stochastic_full_coverage_rate,eval/stochastic_quality_passed,eval/promotion_full_coverage_rate,eval/quality_promotion_passed,eval/deterministic_promotion_floor,eval/diagnostic_full_coverage_rate
2,160.14814814814815,1895,5120,2.9708752632141113,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,164.81034482758622,2181,10240,2.6481478214263916,1,1,-0.037294745445251465,0.0001,0.2,200,-0.0020971998246386648,0,5,0.0016778981,-1.0514892315864564,5,0.0,0.02,0.0001,0.9294858574867249,3,0,3.2506806981563567,,,,,,,,,,,,,,,,,,,,,
8,162.64044943820224,1212,15360,2.822439432144165,2,,0.02893751859664917,0.0001,0.2,,-0.005617803195491433,,,0.008604836,-1.0587181508541108,10,0.0355078125,,,1.0200542211532593,,,2.23242124915123,,,,,,,,,,,,,,,,,,,,,
14,152.59,1042,20480,3.293879985809326,3,,0.05895209312438965,0.0001,0.2,,-0.007350595849566162,,,0.008171444,-1.0394727843999862,15,0.0519140625,,,1.3114376068115234,,,2.3333649253845214,,,,,,,,,,,,,,,,,,,,,
20,132.34,990,25600,4.342828750610352,4,,0.08080816268920898,0.0001,0.2,,-0.008292962172999978,,,0.0068759024,-1.0388004982471466,20,0.044296875,,,1.0273566246032715,,,2.5362950205802917,,,,,,,,,,,,,,,,,,,,,
26,107.46,961,30720,5.2909650802612305,5,,0.1045846939086914,0.0001,0.2,,-0.005349984508939087,,,0.0055959383,-1.016575227379799,25,0.019140625,,,1.5091248750686646,,,2.4693823969364166,,,,,,,,,,,,,,,,,,,,,
32,96.91,943,35840,5.641606330871582,6,,0.09459853172302246,0.0001,0.2,,-0.010453248829580843,,,0.009124636,-0.9883909875154495,30,0.091171875,,,1.0083318948745728,,,2.158625730276108,,,,,,,,,,,,,,,,,,,,,
38,92.65,934,40960,5.83775520324707,7,,0.0036076903343200684,0.0001,0.2,,-0.008812378724105657,,,0.011676106,-0.9561566883325576,35,0.1105078125,,,0.6546229720115662,,,1.3434360921382904,,,,,,,,,,,,,,,,,,,,,
44,87.95,928,46080,6.424970626831055,8,,0.15670138597488403,0.0001,0.2,,-0.007367680841125548,,,0.0066717295,-0.9253696167469024,40,0.09453125,,,0.452376127243042,,,1.0522670114040376,,,,,,,,,,,,,,,,,,,,,
50,83.54,916,51200,6.268101692199707,9,,0.16660773754119873,0.0001,0.2,,-0.00717468234244734,,,0.009445976,-0.9400525438785553,45,0.0802734375,,,0.4498782157897949,,,0.8646875387430191,,,,,,,,,,,,,,,,,,,,,
