time/iterations,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,train/approx_kl,curriculum/max_steps,train/loss,curriculum/obs_quantity,train/explained_variance,train/stage_learning_rate,curriculum/stage_timesteps,train/value_loss,train/learning_rate,curriculum/preferred_eval_mode,train/ent_coef,train/policy_gradient_loss,train/n_updates,train/clip_range,curriculum/stage,curriculum/grid_size,train/clip_fraction,train/entropy_loss,eval/mean_reward,eval/mean_ep_length,eval/std_ep_length,eval/deterministic,eval/stage,eval/stage_timesteps,eval/full_coverage_rate,eval/std_reward,eval/promotion_min_mean_reward,eval/deterministic_quality_passed,eval/quality_promotion_passed,eval/promotion_max_mean_length,eval/mode_gap,eval/coverage_promotion_passed,eval/promotion_passed,eval/deterministic_full_coverage_rate,eval/deterministic_promotion_floor,eval/promotion_full_coverage_rate,eval/diagnostic_full_coverage_rate,eval/stochastic_full_coverage_rate,eval/stochastic_quality_passed
1,4.000202178955078,3,145.64285714285714,1492,5120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3.291196823120117,3,154.28571428571428,1611,10240,0.0032686684,200,1.9515795707702637,3,-0.0349961519241333,0.0001,0,3.530573697090149,0.0001,0,0.02,-0.002053876630961895,5,0.2,1,5,0.000625,-1.0683574450016022,,,,,,,,,,,,,,,,,,,,,
2,3.529515504837036,9,150.62886597938143,1054,15360,0.008753987,,1.3451626300811768,,0.005154550075531006,,,2.208351559638977,0.0001,,,-0.005043202680535614,10,0.2,,,0.026171875,-1.042361912727356,,,,,,,,,,,,,,,,,,,,,
3,4.376028060913086,16,136.97,948,20480,0.0079506505,,1.336630940437317,,0.028850913047790527,,,2.3437029111385344,0.0001,,,-0.0076965880813077096,15,0.2,,,0.050625,-1.0642208170890808,,,,,,,,,,,,,,,,,,,,,
4,5.061727046966553,22,121.28,897,25600,0.0051995153,,1.0024161338806152,,0.0811203122138977,,,2.392239317893982,0.0001,,,-0.0043968296144157645,20,0.2,,,0.011875,-1.0217592406272888,,,,,,,,,,,,,,,,,,,,,
5,5.525039196014404,29,108.11,876,30720,0.0064925095,,0.9281991720199585,,0.10542875528335571,,,1.8559818959236145,0.0001,,,-0.005318572325631976,25,0.2,,,0.0243359375,-1.0130253750085831,,,,,,,,,,,,,,,,,,,,,
6,6.058181285858154,35,93.64,861,35840,0.0073858425,,0.6473544836044312,,0.11663097143173218,,,1.628841599225998,0.0001,,,-0.006389639340341091,30,0.2,,,0.04390625,-0.9711577796936035,,,,,,,,,,,,,,,,,,,,,
7,6.188976287841797,42,87.8,844,40960,0.009169296,,0.5184828042984009,,0.09064596891403198,,,1.3550679731369017,0.0001,,,-0.007206537774764001,35,0.2,,,0.0768359375,-0.9399812155961991,,,,,,,,,,,,,,,,,,,,,
8,6.386533737182617,49,80.7,830,46080,0.0050268634,,0.5326042771339417,,0.04742288589477539,,,1.0053618443012238,0.0001,,,-0.00517183787189424,40,0.2,,,0.0776953125,-0.9165277194976806,,,,,,,,,,,,,,,,,,,,,
9,6.679720878601074,55,73.35,823,51200,0.008597795,,0.36916348338127136,,0.14160573482513428,,,0.9053887313604355,0.0001,,,-0.00634018009994179,45,0.2,,,0.086640625,-0.8978212022781372,,,,,,,,,,,,,,,,,,,,,
10,6.678556442260742,62,72.1,815,56320,0.0095563,,0.3341381847858429,,0.20595258474349976,,,0.7567744213342666,0.0001,,,-0.006814497271552682,50,0.2,,,0.0915234375,-0.8736228054761886,,,,,,,,,,,,,,,,,,,,,
1,6.605346202850342,2,73.13,2142,61440,0.007135528,200,0.24626338481903076,3,0.17998743057250977,0.0001,51200,0.5371757254004479,0.0001,0,0.010272,-0.006137018436565995,55,0.2,1,5,0.08296875,-0.8666136568784714,,,,,,,,,,,,,,,,,,,,,
2,6.724812030792236,8,62.91,1211,66560,0.007625493,,0.2104571908712387,,0.35377955436706543,,,0.501441496014595,0.0001,,,-0.005262547894380987,60,0.2,,,0.083203125,-0.8320282196998596,,,,,,,,,,,,,,,,,,,,,
3,7.183004856109619,14,54.69,1069,71680,0.0065941056,,0.21034839749336243,,0.40701788663864136,,,0.4793198296427727,0.0001,,,-0.008570474050939083,65,0.2,,,0.0962109375,-0.7957563698291779,,,,,,,,,,,,,,,,,,,,,
