time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/learning_rate,train/clip_fraction,train/loss,train/n_updates,train/explained_variance,train/entropy_loss,train/value_loss,train/stage_learning_rate,curriculum/stage,train/ent_coef,curriculum/max_steps,curriculum/obs_quantity,curriculum/stage_timesteps,curriculum/grid_size,curriculum/preferred_eval_mode,eval/mean_reward,eval/mean_ep_length,eval/deterministic,eval/full_coverage_rate,eval/std_reward,eval/stage,eval/std_ep_length,eval/stage_timesteps,eval/deterministic_full_coverage_rate,eval/stochastic_full_coverage_rate,eval/coverage_promotion_passed,eval/promotion_full_coverage_rate,eval/diagnostic_full_coverage_rate,eval/quality_promotion_passed,eval/promotion_max_mean_length,eval/promotion_passed,eval/mode_gap,eval/stochastic_quality_passed,eval/promotion_min_mean_reward,eval/deterministic_promotion_floor,eval/deterministic_quality_passed
1,-5.278064250946045,2560,1,187.4,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-5.06752872467041,5120,13,189.52380952380952,384,-0.002024703249335289,0.2,0.0030262969,7e-05,0.0,0.01345909759402275,5,-0.0478670597076416,-1.3850098633766175,0.8565971571207046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-3.9678642749786377,7680,0,182.97368421052633,2709,-0.009391881488263608,0.2,0.010574744,7e-05,0.057265625,0.013473376631736755,10,0.06479614973068237,-1.3819827365875244,0.42755155231803654,7e-05,1,0.02,200,3,0,5,0,,,,,,,,,,,,,,,,,,,,,
2,-4.014397621154785,10240,14,183.8846153846154,344,-0.007337557589635253,0.2,0.007990955,7e-05,0.0709375,-0.005678284913301468,15,0.04906260967254639,-1.3782152569293975,0.982338588386774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-3.763615131378174,12800,26,185.46875,294,-0.012567730592563749,0.2,0.012086058,7e-05,0.11734375,-0.05691962689161301,20,-0.007346749305725098,-1.3576057684421539,0.5770538999326527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-3.54486083984375,15360,36,185.34177215189874,280,-0.0070528237335383895,0.2,0.008409752,7e-05,0.0471875,1.4021772146224976,25,0.01087886095046997,-1.345453038215637,0.6296008137986064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-3.0259292125701904,17920,48,183.0108695652174,263,-0.011485462430864573,0.2,0.011277184,7e-05,0.130859375,-0.016256192699074745,30,0.03126949071884155,-1.3089283764362336,0.8103887301683426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,-2.1191108226776123,20480,59,178.08,257,-0.0034287647996097802,0.2,0.008949788,7e-05,0.083828125,0.030737390741705894,35,-0.0313563346862793,-1.2952787375450134,1.5243307277187705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-1.4422816038131714,23040,74,173.22,239,-0.0022947763558477164,0.2,0.0062472923,7e-05,0.060546875,1.4812129735946655,40,-0.008948564529418945,-1.2930106616020203,1.9780443102121352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,-0.7608217597007751,25600,86,168.99,235,-0.0054237421602010725,0.2,0.0078749275,7e-05,0.05375,0.5163189768791199,45,0.01998460292816162,-1.278642201423645,1.4818451857939363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,-0.26598671078681946,28160,98,165.22,234,-0.004512798767536879,0.2,0.0074778525,7e-05,0.0875,1.2870264053344727,50,0.0250815749168396,-1.2705867075920105,1.3292888904735447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.5883595943450928,30720,111,156.39,229,-0.004804506632499397,0.2,0.007651684,7e-05,0.066875,-0.011578749865293503,55,0.0394095778465271,-1.2719507241249084,1.217495598960668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1.165785312652588,33280,123,148.46,228,-0.004698462346568704,0.2,0.0078275,7e-05,0.062734375,2.8047852516174316,60,0.015096187591552734,-1.2576320564746857,2.0680994369089603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1.181535243988037,35840,134,149.58,227,-0.0053364670649170875,0.2,0.011414392,7e-05,0.101796875,0.4164445698261261,65,0.022447943687438965,-1.2546579766273498,1.8725708824396134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1.6778193712234497,38400,148,144.32,224,-0.004624297292903066,0.2,0.009454626,7e-05,0.08625,0.36171865463256836,70,0.04901200532913208,-1.2461284935474395,1.4761333014816045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2.2460405826568604,40960,161,136.15,222,-0.0024058255041018127,0.2,0.0057383426,7e-05,0.058046875,1.0318750143051147,75,0.07008814811706543,-1.2268394446372985,1.6514875742793083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2.481074571609497,43520,174,132.49,220,-0.004798651486635208,0.2,0.007286751,7e-05,0.0565625,0.6820487380027771,80,0.11043387651443481,-1.2179245221614838,1.3621619100868703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
