rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,train/explained_variance,train/n_updates,train/clip_range,train/approx_kl,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/loss,curriculum/preferred_eval_mode,curriculum/stage_timesteps,curriculum/max_steps,train/ent_coef,curriculum/stage,curriculum/grid_size,curriculum/obs_quantity,train/stage_learning_rate,eval/std_ep_length,eval/std_reward,eval/mean_reward,eval/mean_ep_length,eval/full_coverage_rate,eval/stage_timesteps,eval/deterministic,eval/stage,eval/deterministic_promotion_floor,eval/stochastic_full_coverage_rate,eval/promotion_passed,eval/coverage_promotion_passed,eval/promotion_min_mean_reward,eval/diagnostic_full_coverage_rate,eval/mode_gap,eval/promotion_max_mean_length,eval/quality_promotion_passed,eval/deterministic_full_coverage_rate,eval/deterministic_quality_passed,eval/stochastic_quality_passed,eval/promotion_full_coverage_rate
-5.323176860809326,1,2560,1928,1,194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.71522855758667,2,5120,246,20,185.57142857142858,-0.04472529888153076,5,0.105,0.0006192215,0.7040147197246551,3.5e-05,-1.386048562526703,0.0,-0.0011813302990049124,0.4581935405731201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.687868595123291,3,7680,233,32,189.8,-0.049635887145996094,10,0.105,0.00038478753,0.6113071228563786,3.5e-05,-1.3850251162052154,0.0,-0.00122029272839427,0.0544910728931427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.470120429992676,4,10240,213,47,188.98,0.046296656131744385,15,0.105,0.0021201442,0.6597902308963239,3.5e-05,-1.3842169630527497,0.04015625,-0.0037795950472354887,1.24863600730896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.060791969299316,5,12800,204,62,185.43076923076924,0.0158463716506958,20,0.105,0.002654018,0.580301625225693,3.5e-05,-1.3827811169624329,0.06390625,-0.004758928613737226,-0.02512381598353386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.7229108810424805,6,15360,199,76,183.67088607594937,0.03204846382141113,25,0.105,0.0026383824,0.9014975760132075,3.5e-05,-1.3774362075328828,0.064609375,-0.005259624095633626,1.8520725965499878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.2639853954315186,7,17920,197,90,181.14736842105262,0.03425532579421997,30,0.105,0.002192424,1.0522044018283487,3.5e-05,-1.370411946773529,0.07484375,-0.004078096933662892,1.5054054260253906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.89212703704834,8,20480,195,104,179.97,0.03620767593383789,35,0.105,0.0020441911,1.386478085294366,3.5e-05,-1.3629150521755218,0.10390625,-0.004205285646021366,0.048675380647182465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.499354600906372,1,23040,2348,1,179.37,-0.0074176788330078125,40,0.105,0.0020304855,0.9161748561821877,3.5e-05,-1.3567886102199553,0.07609375,-0.003674907637760043,-0.00379161536693573,0,0,200,0.015,1,5,3,7e-05,,,,,,,,,,,,,,,,,,,,,
-1.6234800815582275,2,25600,340,15,171.51,0.027907967567443848,45,0.15,0.005369698,0.8712286878935993,7e-05,-1.3389733850955963,0.114375,-0.008181890523992479,0.0016076862812042236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
