rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/entropy_loss,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/clip_fraction,train/value_loss,train/loss,train/clip_range,curriculum/stage,curriculum/preferred_eval_mode,curriculum/grid_size,train/ent_coef,curriculum/stage_timesteps,curriculum/max_steps,train/stage_learning_rate,curriculum/obs_quantity,eval/full_coverage_rate,eval/std_reward,eval/mean_reward,eval/mean_ep_length,eval/stage_timesteps,eval/stage,eval/deterministic,eval/std_ep_length,eval/promotion_max_mean_length,eval/coverage_promotion_passed,eval/promotion_min_mean_reward,eval/promotion_full_coverage_rate,eval/deterministic_quality_passed,eval/mode_gap,eval/stochastic_quality_passed,eval/stochastic_full_coverage_rate,eval/diagnostic_full_coverage_rate,eval/deterministic_promotion_floor,eval/quality_promotion_passed,eval/promotion_passed,eval/deterministic_full_coverage_rate
-3.469088077545166,178.4,2560,2202,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.409186840057373,181.04347826086956,5120,329,2,15,-1.386009305715561,5,0.008683741092681885,-0.001317026214674115,3.5e-05,0.00070290576,0.0,1.1927656902372836,0.39912688732147217,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.630617380142212,178.32432432432432,7680,265,3,28,-1.3848848140239716,10,0.06210970878601074,-0.001477963076904416,3.5e-05,0.0008089867,0.0,0.42564753990620374,0.08848898112773895,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.0677995681762695,182.7843137254902,10240,248,4,41,-1.3830490469932557,15,0.03245037794113159,-0.0011307046376168729,3.5e-05,0.0006491109,0.0,0.7048382128030062,1.187178373336792,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.8087685108184814,181.5909090909091,12800,238,5,53,-1.3841644358634948,20,-0.007477760314941406,-0.004101708577945828,3.5e-05,0.0025341876,0.06078125,0.5013593201525509,0.006233368068933487,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.9918806552886963,183.66666666666666,15360,230,6,66,-1.3808752596378326,25,0.03514361381530762,-0.00658622819930315,3.5e-05,0.0038232636,0.094453125,1.0153020246699453,1.020281434059143,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.565129518508911,181.40860215053763,17920,231,7,77,-1.3761548137664794,30,0.0001800060272216797,-0.0075004204362630845,3.5e-05,0.0029619688,0.114296875,0.3504118042625487,0.0001375041902065277,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.2703940868377686,179.78,20480,228,8,89,-1.3674048781394958,35,0.02184230089187622,-0.0034684646874666215,3.5e-05,0.0025073488,0.06171875,1.4730659198947251,2.5974671840667725,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.767024517059326,177.75,23040,2758,1,0,-1.3594428050518035,40,0.0035791397094726562,-0.002534695593640208,3.5e-05,0.001901752,0.039921875,1.4365515454486013,-0.009501993656158447,0.105,1,0,5,0.015,0,200,7e-05,3,,,,,,,,,,,,,,,,,,,,,
-2.314393997192383,174.74,25600,439,2,11,-1.3446868479251861,45,0.02531224489212036,-0.0056694050505757335,7e-05,0.009964445,0.17921875,1.4365728767495602,0.008121773600578308,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.729030728340149,172.98,28160,327,3,23,-1.3375656008720398,50,-0.015950322151184082,-0.002574701774865389,7e-05,0.0051740264,0.118984375,1.7739672042056918,1.7577743530273438,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.1364859342575073,167.86,30720,284,4,35,-1.3216854858398437,55,0.008262932300567627,-0.007211209898814559,7e-05,0.0071323374,0.151015625,1.2016523473337293,2.3767340183258057,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.40233296155929565,164.13,33280,268,5,47,-1.3157812237739563,60,-0.008177042007446289,-0.004363083327189088,7e-05,0.0031889535,0.07609375,2.0536893682181834,1.9355114698410034,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.12040520459413528,159.91,35840,256,6,59,-1.3094058847427368,65,0.050896525382995605,-0.0026510802842676638,7e-05,0.0031861272,0.085625,1.6686048140004277,1.5441052913665771,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3260529339313507,158.25,38400,244,7,73,-1.298668736219406,70,0.0365062952041626,-0.002089933454990387,7e-05,0.0024620576,0.05,2.3375213655829428,1.8785400390625,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3450528085231781,157.49,40960,238,8,86,-1.2954307234287261,75,0.09076893329620361,-0.003990399278700351,7e-05,0.0041308003,0.090625,1.0743140069022774,0.08399515599012375,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8313709497451782,150.57,43520,231,9,99,-1.2772545552253722,80,0.07331341505050659,-0.007231877455487847,7e-05,0.005518655,0.1525,1.026611211411655,-0.0032132677733898163,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7706320881843567,151.19,46080,220,10,116,-1.2752947521209717,85,0.043523550033569336,-0.0019626075867563487,7e-05,0.0039451676,0.0953125,1.8670729256421328,0.05582165718078613,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0421321392059326,146.03,48640,221,11,127,-1.2706147885322572,90,0.13051903247833252,-0.0007619835715740919,7e-05,0.0068452894,0.12984375,1.053373986594379,0.983483076095581,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.166274070739746,143.96,51200,217,12,141,-1.256252647638321,95,0.15392178297042847,-0.0012117357272654772,7e-05,0.00486051,0.14546875,2.096967137940228,0.018628757447004318,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2946888208389282,142.61,53760,212,13,156,-1.2567000830173491,100,0.017311394214630127,-0.0036330713983625173,7e-05,0.004608665,0.09046875,2.0001048458367587,0.7869681119918823,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.8584328889846802,137.8,56320,210,14,170,-1.2532844376564025,105,0.08968615531921387,-0.003640347197651863,7e-05,0.0056049884,0.12140625,1.2139216635003687,0.00272504985332489,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5566484928131104,127.22,58880,209,15,183,-1.232070677280426,110,-0.006545066833496094,-0.000837531154975295,7e-05,0.0061792717,0.1340625,1.5747810499370098,0.8670006394386292,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.7626028060913086,125.26,61440,208,16,196,-1.2116413080692292,115,0.03715604543685913,-0.003908692542463541,7e-05,0.0023511604,0.056640625,1.6331183706223964,0.47538554668426514,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1438019275665283,118.73,64000,208,17,208,-1.2105710208415985,120,0.07398366928100586,-0.003088101735338569,7e-05,0.0031891663,0.101953125,1.0407108760625123,0.42075130343437195,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.17754602432251,102.72,66560,208,18,221,-1.1968387293815612,125,0.0714874267578125,-0.0036885339859873056,7e-05,0.0043783532,0.0934375,1.1862484683841468,0.44037798047065735,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.962829828262329,103.66,69120,208,19,233,-1.1722242522239685,130,0.041596829891204834,-0.003178900210186839,7e-05,0.0064892173,0.110390625,1.3933660525083542,0.3683909773826599,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.55750036239624,94.88,71680,213,20,240,-1.1726979452830095,133,0.20399326086044312,-0.00032545386168819206,7e-05,0.010096185,0.17668269230769232,0.9221579661736121,0.6482623219490051,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.820511341094971,89.26,74240,2184,1,1,-1.1521554911136627,138,0.09498387575149536,-0.008566129636019468,7e-05,0.0070857345,0.134375,0.8710708126425744,0.36990293860435486,0.15,1,0,5,0.007832,51200,200,7e-05,3,,,,,,,,,,,,,,,,,,,,,
5.102745056152344,86.59,76800,387,2,13,-1.1325877857208253,143,0.1249774694442749,-0.0017842240631580353,7e-05,0.0065852916,0.19625,0.6861191388964653,0.20129944384098053,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.082937717437744,83.97,79360,323,3,23,-1.1086323702776875,148,0.12085485458374023,-0.0026198616941218024,7e-05,0.038465627,0.1675347222222222,0.5804972190547872,0.4739419221878052,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.810784339904785,88.14,81920,285,4,35,-1.0951568055152894,153,0.09549760818481445,-0.0037166035547852518,7e-05,0.008073616,0.174765625,0.4604604208469391,0.2200143039226532,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.802727699279785,90.12,84480,316,5,40,-1.0729625165462493,155,0.25088781118392944,-0.0008286858210340142,7e-05,0.0075257346,0.131640625,0.45277006812393666,0.3501717448234558,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.610006332397461,93.41,87040,294,6,52,-1.0665365660190582,160,0.22964799404144287,-0.005370136182755232,7e-05,0.005965463,0.120234375,0.39849187545478343,0.11708321422338486,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.236330032348633,81.5,89600,281,7,63,-1.0494295316934585,165,0.26400458812713623,-0.0035027084220200775,7e-05,0.007399003,0.152890625,0.5899559752643109,0.24578553438186646,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.937976837158203,66.4,92160,272,8,75,-0.9902450627088547,170,0.2890086770057678,-0.009320577550679445,7e-05,0.0080281105,0.150703125,0.599033961892128,0.42754676938056946,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.286635875701904,61.72,94720,267,9,86,-0.9374405366182327,175,0.19923722743988037,-0.004060544436797499,7e-05,0.01137046,0.188359375,0.3384030435979366,0.27815815806388855,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.322038650512695,62.51,97280,264,10,96,-0.9165899813175201,180,0.2784807085990906,-0.006554862875491381,7e-05,0.008980204,0.17125,0.2400080320984125,0.11170298606157303,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.829749584197998,72.96,99840,259,11,108,-0.9700131112337113,185,0.5048152208328247,-0.0020200575422495604,7e-05,0.009518565,0.19109375,0.23496275797486305,0.10017131268978119,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.813420295715332,72.38,102400,252,12,121,-0.9623600560426712,190,0.5545613765716553,-0.002530059460550547,7e-05,0.0053386046,0.1565625,0.3583393996208906,0.09638753533363342,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.022818565368652,67.04,104960,248,13,134,-0.9097126662731171,195,0.467499315738678,-0.005330211250111461,7e-05,0.0077407397,0.178359375,0.4287035994231701,0.25592637062072754,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.310937404632568,61.37,107520,249,14,143,-0.9098980310486584,200,0.4934280514717102,-0.00046149112011601286,7e-05,0.021383643,0.16739710365853658,0.35491729400506833,0.3107016086578369,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.500931262969971,57.4,110080,246,15,155,-0.8766835182905197,205,0.26023316383361816,-0.0075841183587908746,7e-05,0.009035362,0.137421875,0.2703682167828083,0.1003081277012825,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.514482021331787,56.05,112640,252,16,162,-0.8564682451345152,208,0.44835686683654785,-0.001018977818726483,7e-05,0.013197631,0.1875,0.3844130798795466,0.19545944035053253,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.792693614959717,50.06,115200,264,17,164,-0.8193514625231425,209,0.3802328109741211,0.005759680395325025,7e-05,0.0056477347,0.09791666666666667,0.3129639158646266,0.2351371943950653,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.852964878082275,50.3,117760,272,18,168,-0.7911811590194702,211,0.42318230867385864,-0.0026886853788580215,7e-05,0.007521324,0.11004464285714285,0.20796409919857978,0.404757559299469,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.950199127197266,49.43,120320,283,19,171,-0.780262315974516,212,0.31820130348205566,0.00514768053065328,7e-05,0.0057849046,0.1171875,0.18438232109388886,0.3284236490726471,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.042022705078125,45.44,122880,291,20,175,-0.760994838816779,214,0.5554598569869995,0.005272271078346031,7e-05,0.009707934,0.14927455357142858,0.18144605042678968,0.15599285066127777,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-0.7004939466714859,218,0.3104473948478699,-0.005827875225804746,7e-05,0.009568172,0.138671875,0.18988528407903182,0.06246008723974228,0.15,,,,,,,,,0.99,2.1183398744613564,6.913715660572052,48.02,102400,1,0,25.20951407703052,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.83,6.535979914888465,4.914965589046478,61.58,102400,1,1,62.993837793866795,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,102400,1,,,32.5,1,6.75,0.99,0,0.16000000000000003,0,0.99,0.99,0.0,0,1,0.83
,,,,,,,,,,,,,,,,,,,,,,,,0.98,2.369547500334434,6.887766830921173,47.31,102400,1,0,26.012571960496334,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.86,5.71721565171156,5.472130353450775,57.07,102400,1,1,58.300987127149064,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,102400,1,,,32.5,0,6.75,0.98,0,0.12,0,0.98,0.98,0.0,0,0,0.86
7.033817768096924,46.8,125440,2404,1,1,,,,,,,,,,,1,1,5,0.0010000000000000009,102400,200,7e-05,3,,,,,,,,,,,,,,,,,,,,,
7.057817459106445,47.92,128000,414,2,12,-0.7129344022274018,223,0.4785022735595703,7.353447377681732e-05,7e-05,0.0102420375,0.1675,0.1892421704530716,0.17772461473941803,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.998892307281494,47.65,130560,483,3,15,-0.6853826662589764,225,0.4366232752799988,0.007515097936165744,7e-05,0.011793502,0.12931034482758622,0.1954416242139093,0.29617297649383545,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.096169948577881,45.9,133120,577,4,17,-0.6710141084410928,226,0.3823240399360657,0.010660570284182375,7e-05,0.012360998,0.20454545454545456,0.16198497130112213,0.386656254529953,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.246039390563965,43.43,135680,563,5,22,-0.650599193572998,228,0.4099297523498535,0.0017930343747138977,7e-05,0.010878528,0.1478515625,0.09983418630436063,0.050637103617191315,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.230562210083008,41.95,138240,564,6,27,-0.631681481997172,230,0.4857942461967468,0.0012637554691770137,7e-05,0.013156517,0.14963942307692307,0.11267573319566555,0.10888402163982391,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.261101722717285,40.66,140800,559,7,32,-0.6217872833096704,233,0.41479939222335815,0.004158081660090491,7e-05,0.021285096,0.1458938953488372,0.14139553878542988,0.05640682205557823,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.267340660095215,40.68,143360,529,8,38,-0.5975860068574548,237,0.31596440076828003,0.0017550720658618957,7e-05,0.021467913,0.16357421875,0.10182389605324715,0.04854787886142731,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.204868793487549,42.41,145920,538,9,42,-0.5690485694342189,239,0.42752963304519653,0.001403589060323106,7e-05,0.012674708,0.146484375,0.10029799604995383,0.05275797098875046,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.9252610206604,48.62,148480,570,10,44,-0.5899171729882559,240,0.5958502888679504,0.011785124506180486,7e-05,0.009634552,0.16276041666666666,0.19534116486708322,0.09084010869264603,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.902102470397949,48.18,151040,597,11,47,-0.6230538407961528,241,0.6642032861709595,0.008758937940001488,7e-05,0.008915469,0.1125,0.23665000547965367,0.1672798991203308,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2281975746154785,41.95,153600,533,12,57,-0.5781496377327503,245,0.6127257347106934,0.001926798660021562,7e-05,0.014171902,0.16185897435897437,0.20363808762377653,0.299740731716156,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.121329307556152,43.38,156160,561,13,59,-0.546360069513321,246,0.4013029932975769,0.01055619539692998,7e-05,0.007901122,0.11484375,0.11019393801689148,0.3002501428127289,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0579705238342285,45.47,158720,592,14,60,-0.5734673500061035,247,0.6796579360961914,0.013128643482923507,7e-05,0.011242496,0.15,0.13675038293004035,0.25753554701805115,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.32547664642334,41.4,161280,554,15,69,-0.5297975448722189,252,0.6498132944107056,0.0006594143977219409,7e-05,0.015535502,0.14311079545454544,0.11055228052745489,0.02488916739821434,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.30691385269165,41.85,163840,553,16,73,-0.5061430866303651,255,0.5926733016967773,0.002453246052660372,7e-05,0.015386847,0.1258491847826087,0.09402634770325992,0.13510484993457794,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.177926540374756,44.27,166400,557,17,78,-0.5126255990730392,257,0.5689687132835388,0.0064096764092230136,7e-05,0.0145620005,0.14127604166666666,0.10725020901817414,0.04636082053184509,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.1606645584106445,44.81,168960,567,18,81,-0.5400112556914488,259,0.6721398830413818,0.007356698003907998,7e-05,0.012350785,0.13411458333333334,0.1241937199762712,0.11326472461223602,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.328062534332275,41.03,171520,545,19,89,-0.5011089060987745,263,0.5880875587463379,-0.0015016914020100282,7e-05,0.02290439,0.1293402777777778,0.14051595921554264,0.030849775299429893,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.277641773223877,42.81,174080,534,20,95,-0.4890674152250948,266,0.6435835361480713,0.0030021821630412133,7e-05,0.0119161485,0.14749461206896552,0.1364022160013174,0.05622227489948273,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-0.5074022220713752,267,0.5816624760627747,0.0019710282129900797,7e-05,0.0057573193,0.10825892857142858,0.3690981481756483,0.25682058930397034,0.15,,,,,,,,,1.0,0.3319390184289471,7.459516825675965,37.35,153600,1,0,12.65652005884714,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.92,5.509982459746489,6.1175223016738896,45.36,153600,1,1,46.57134741447793,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,153600,1,,,32.5,1,6.75,1.0,0,0.07999999999999996,0,1.0,1.0,0.0,0,1,0.92
,,,,,,,,,,,,,,,,,,,,,,,,0.99,1.3863003870252435,7.195033879876137,43.62,153600,1,0,32.53698818268219,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.88,5.558961582142922,5.757118704319001,52.41,153600,1,1,55.15053852864902,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,153600,1,,,32.5,1,6.75,0.99,0,0.10999999999999999,0,0.99,0.99,0.0,0,1,0.88
,,,,,,,,,,,,,,,,,,,,,,,,0.96,2.384389270115981,6.915073735713959,45.69,153600,1,0,37.312918674368,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.92,2.697608423533901,6.810085000991822,45.43,153600,1,1,46.337944494765836,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,153600,1,,,32.5,0,6.75,0.96,0,0.039999999999999925,0,0.96,0.96,0.0,0,0,0.92
6.781125068664551,48.18,176640,2178,1,1,,,,,,,,,,,1,1,5,0.0010000000000000009,153600,200,7e-05,3,,,,,,,,,,,,,,,,,,,,,
