rollout/ep_len_mean,time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/explained_variance,train/loss,train/clip_range,train/value_loss,train/approx_kl,train/clip_fraction,train/n_updates,curriculum/preferred_eval_mode,train/stage_learning_rate,curriculum/max_steps,train/ent_coef,curriculum/obs_quantity,curriculum/grid_size,curriculum/stage_timesteps,curriculum/stage,eval/stage_timesteps,eval/std_reward,eval/deterministic,eval/full_coverage_rate,eval/mean_reward,eval/mean_ep_length,eval/std_ep_length,eval/stage,eval/promotion_full_coverage_rate,eval/coverage_promotion_passed,eval/quality_promotion_passed,eval/promotion_passed,eval/stochastic_full_coverage_rate,eval/diagnostic_full_coverage_rate,eval/stochastic_quality_passed,eval/deterministic_full_coverage_rate,eval/promotion_min_mean_reward,eval/deterministic_promotion_floor,eval/deterministic_quality_passed,eval/promotion_max_mean_length,eval/mode_gap
168.4,1,2560,2004,-6.478438377380371,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178.5,2,5120,340,-6.928009033203125,15,-0.0007842856831848621,3.5e-05,-1.3860302579402923,-0.02413463592529297,0.07925526797771454,0.105,0.8597693856060505,0.0005017358,0.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183.55555555555554,3,7680,265,-7.733153343200684,28,-0.001013465691357851,3.5e-05,-1.3844499623775481,0.06009012460708618,0.028712617233395576,0.105,0.5602714356034995,0.0011470328,0.0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180.73076923076923,4,10240,251,-7.805925369262695,40,-0.002744969222694635,3.5e-05,-1.3834718084335327,0.06689047813415527,0.03928032144904137,0.105,0.8210450088232756,0.0015735317,0.015625,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181.47692307692307,5,12800,232,-8.133864402770996,55,-0.004213890982791782,3.5e-05,-1.3827763974666596,0.08056598901748657,0.008390752598643303,0.105,0.6800852923840285,0.0027899377,0.04640625,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179.5,6,15360,229,-7.944477081298828,67,-0.002377559719607234,3.5e-05,-1.3789392364025117,0.15305912494659424,0.8420416116714478,0.105,0.7168098562583327,0.0017128682,0.033515625,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180.5157894736842,7,17920,222,-7.719676971435547,80,-0.003950926344841719,3.5e-05,-1.3736342799663543,0.18639618158340454,1.443957805633545,0.105,0.5084428243339062,0.0023263593,0.0390625,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180.77,8,20480,217,-7.965258598327637,94,-0.005535912718623876,3.5e-05,-1.360809587240219,0.21213936805725098,0.05738066881895065,0.105,0.384505097810179,0.0026049153,0.094609375,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179.0,1,23040,2565,-8.019396781921387,0,-0.004988016653805971,3.5e-05,-1.355790730714798,0.1709238886833191,0.07065144926309586,0.105,0.8529964147508144,0.0029934521,0.144609375,40,0,7e-05,200,0.015,3,5,0,1,,,,,,,,,,,,,,,,,,,,,
175.74,2,25600,368,-7.427493095397949,13,-0.005463728792965412,7e-05,-1.34357847571373,0.25186723470687866,0.09530521184206009,0.15,0.43819334167987106,0.004818653,0.06203125,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177.03,3,28160,277,-7.090353012084961,27,-0.006719950325787067,7e-05,-1.3256869280338288,0.38203316926956177,0.037596143782138824,0.15,0.3285896752215922,0.0053172754,0.072734375,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173.74,4,30720,259,-6.16536808013916,39,-0.005502431886270642,7e-05,-1.3099749565124512,0.27192139625549316,-0.005536772310733795,0.15,0.3222482907772064,0.0049506864,0.099453125,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173.86,5,33280,237,-5.559088230133057,53,-0.007544255210086703,7e-05,-1.2924735844135284,0.45489609241485596,0.06733474135398865,0.15,0.16023265333846212,0.004786989,0.1034375,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171.32,6,35840,229,-5.313543796539307,66,-0.007503026314079762,7e-05,-1.2872293508052826,0.29136204719543457,0.014829251915216446,0.15,0.43071935964748265,0.003963698,0.09890625,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171.13,7,38400,224,-4.407153606414795,79,-0.0075299575924873356,7e-05,-1.2586426436901093,0.26698416471481323,-0.024563200771808624,0.15,0.48390291986986994,0.0072405064,0.13953125,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169.28,8,40960,215,-3.5563061237335205,95,-0.006423477558419108,7e-05,-1.242518606185913,0.27708226442337036,1.0640820264816284,0.15,0.4327776566427201,0.005482994,0.08796875,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161.52,9,43520,214,-3.0502123832702637,107,-0.003663484011776745,7e-05,-1.2265625774860383,0.31786370277404785,0.20059333741664886,0.15,0.7851580260880291,0.0044136667,0.065078125,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
