time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/entropy_loss,train/explained_variance,train/n_updates,train/value_loss,train/clip_fraction,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/loss,curriculum/stage_timesteps,curriculum/obs_quantity,curriculum/max_steps,curriculum/grid_size,curriculum/stage,train/stage_learning_rate,curriculum/preferred_eval_mode,train/ent_coef,eval/stage_timesteps,eval/full_coverage_rate,eval/mean_reward,eval/deterministic,eval/mean_ep_length,eval/stage,eval/std_ep_length,eval/std_reward,eval/stochastic_quality_passed,eval/promotion_max_mean_length,eval/deterministic_quality_passed,eval/promotion_full_coverage_rate,eval/promotion_passed,eval/stochastic_full_coverage_rate,eval/deterministic_full_coverage_rate,eval/coverage_promotion_passed,eval/deterministic_promotion_floor,eval/diagnostic_full_coverage_rate,eval/mode_gap,eval/promotion_min_mean_reward,eval/quality_promotion_passed
2560,1515,191.8,1,1,-5.7140278816223145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5120,291,177.95652173913044,17,2,-6.373748779296875,-1.386154192686081,-0.025455713272094727,5,0.661505570113659,0.0,0.06999999999999999,0.0003439929,-0.0008411529147997498,3.5e-05,0.11167576909065247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7680,253,180.13513513513513,30,3,-6.218618869781494,-1.385680513381958,-0.017526984214782715,10,0.6546084911003709,0.0,0.06999999999999999,0.0002160327,-0.0004453173885121942,3.5e-05,-0.001945769414305687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10240,230,181.43396226415095,44,4,-6.614506721496582,-1.3853323900699615,0.06995975971221924,15,0.24739395149052143,0.02375,0.06999999999999999,0.00062109256,-0.001904753502458334,3.5e-05,0.03975702077150345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12800,215,182.828125,59,5,-7.029508590698242,-1.3851683354377746,0.04709821939468384,20,0.8529087337851524,0.025859375,0.06999999999999999,0.0013423552,-0.002178591433912516,3.5e-05,0.033620476722717285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15360,218,182.30379746835442,70,6,-7.110472679138184,-1.3839009964466096,0.07194745540618896,25,0.7144680447131395,0.053828125,0.06999999999999999,0.0012829046,-0.002257703300565481,3.5e-05,0.03245745599269867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17920,214,179.6315789473684,83,7,-7.012083053588867,-1.3821226716041566,0.09433573484420776,30,0.8345404571853579,0.079375,0.06999999999999999,0.0010610987,-0.0030145250540226697,3.5e-05,0.06698505580425262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20480,212,177.54,96,8,-7.01763916015625,-1.3791786098480225,0.12351202964782715,35,0.5688009478896856,0.0653125,0.06999999999999999,0.0010561651,-0.001955594951286912,3.5e-05,0.33340543508529663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23040,2463,180.29,1,1,-7.0366058349609375,-1.374394677877426,0.18381822109222412,40,0.3311814887821674,0.158359375,0.06999999999999999,0.0012856906,-0.0034634792897850273,3.5e-05,0.058108266443014145,0,3,200,5,1,7e-05,0,0.015,,,,,,,,,,,,,,,,,,,,,
25600,344,181.68,14,2,-7.256528377532959,-1.3634179937839508,0.1787465214729309,45,0.6096353333257138,0.157890625,0.1,0.002331658,-0.004147712141275406,7e-05,-0.007348399609327316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28160,264,177.73,29,3,-7.105808258056641,-1.353354116678238,0.2793208360671997,50,0.40900203861296175,0.146484375,0.1,0.0024165804,-0.003983894777484238,7e-05,0.8609110713005066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30720,245,178.67,41,4,-6.512896537780762,-1.3428945016860963,0.316983163356781,55,0.32635299729183315,0.150703125,0.1,0.002772092,-0.004153724806383252,7e-05,-0.013308830559253693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33280,233,179.25,54,5,-6.129493236541748,-1.3332168173789978,0.6019009351730347,60,0.12730094730854036,0.1209375,0.1,0.002590482,-0.005795596726238727,7e-05,0.027083486318588257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35840,228,178.84,67,6,-5.951450824737549,-1.3241939294338225,0.2554370164871216,65,0.5155781443417072,0.174609375,0.1,0.0030537574,-0.003595465142279863,7e-05,-0.016615133732557297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38400,226,178.98,79,7,-5.853419780731201,-1.3183493578433991,0.28548532724380493,70,0.4907761210948229,0.08734375,0.1,0.0021904537,-0.0036823622928932307,7e-05,0.04935614764690399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40960,221,176.06,92,8,-5.434699535369873,-1.3024176919460297,0.30686426162719727,75,0.3601127575337887,0.1428125,0.1,0.002896205,-0.004548475807532668,7e-05,0.011148212477564812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43520,218,175.04,105,9,-5.090278148651123,-1.2867967367172242,0.49090778827667236,80,0.1982258072309196,0.156328125,0.1,0.0035623133,-0.0028679347736760975,7e-05,0.20915928483009338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46080,215,176.63,118,10,-4.657248497009277,-1.27782261967659,0.30825716257095337,85,0.45636967796832323,0.17984375,0.1,0.0029374303,-0.0033680527284741402,7e-05,0.050532493740320206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48640,2502,172.26,1,1,-4.539144515991211,-1.2688906276226044,0.34808266162872314,90,0.267226044209674,0.1675,0.1,0.0027847048,-0.003081268649548292,7e-05,0.02306445501744747,25600,3,200,5,1,7e-05,0,0.011415999999999999,,,,,,,,,,,,,,,,,,,,,
51200,317,169.79,16,2,-4.268212795257568,-1.2598771584033965,0.34404879808425903,95,0.3342071858793497,0.13078125,0.1,0.0024805607,-0.0026047957222908734,7e-05,0.024635348469018936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53760,264,166.88,29,3,-3.6120500564575195,-1.2551609456539154,0.31581586599349976,100,0.543858389146626,0.173203125,0.1,0.0048979605,-0.002161623127758503,7e-05,0.5501635670661926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56320,233,160.86,43,4,-3.5687062740325928,-1.253167881965637,0.35052865743637085,105,0.5472337749227881,0.125078125,0.1,0.0032345657,-0.0037069510389119388,7e-05,1.667946219444275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58880,225,161.05,56,5,-3.505206346511841,-1.2505419540405274,0.303067684173584,110,0.7375509696174413,0.134140625,0.1,0.0019142575,-0.002024601772427559,7e-05,0.18752314150333405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61440,214,154.39,71,6,-3.4436733722686768,-1.242674161195755,0.5280532836914062,115,0.5378748051822185,0.159609375,0.1,0.002391893,-0.0023912745993584393,7e-05,0.18810899555683136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64000,212,150.66,84,7,-3.297806978225708,-1.2240200006961823,0.43034303188323975,120,0.7056463894434273,0.17265625,0.1,0.0027625924,-0.00013169161044061185,7e-05,0.5630264282226562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66560,206,153.52,99,8,-3.231447219848633,-1.2187020003795623,0.50678950548172,125,0.7616698056459427,0.1553125,0.1,0.0031764272,-0.0033060085587203504,7e-05,3.228891134262085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69120,206,151.91,111,9,-3.3646461963653564,-1.216787145137787,0.547406792640686,130,0.5303171444684267,0.183203125,0.1,0.0046223234,-0.00165355883538723,7e-05,0.04528244212269783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71680,204,152.86,124,10,-3.149264335632324,-1.2016468691825866,0.46683454513549805,135,0.6567384891211987,0.0946875,0.1,0.0017603405,-0.0012691430561244488,7e-05,0.33921095728874207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74240,2327,144.88,1,1,-2.215543031692505,-1.1978303599357605,0.5736762285232544,140,0.32511013850569725,0.193671875,0.1,0.0023209362,0.0003175675217062235,7e-05,0.039852991700172424,51200,3,200,5,1,7e-05,0,0.007832,,,,,,,,,,,,,,,,,,,,,
76800,351,141.1,14,2,-1.805732250213623,-1.1832583093643187,0.4151833653450012,145,1.168019643444568,0.16734375,0.1,0.0025392969,-0.0037362846173346043,7e-05,2.7177281379699707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79360,259,134.25,29,3,-1.566748857498169,-1.1813627147674561,0.5245875120162964,150,0.8217340648919343,0.178125,0.1,0.0047611897,-0.0023074649646878244,7e-05,0.125191330909729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81920,229,132.9,44,4,-1.5303378105163574,-1.175525473356247,0.4300852417945862,155,1.510713698863983,0.149296875,0.1,0.004218497,-0.00010765150189399719,7e-05,0.22239075601100922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84480,222,134.61,57,5,-1.9557898044586182,-1.162041915655136,0.6211467385292053,160,0.6989908292517066,0.1478125,0.1,0.0022515138,-0.003109122226014733,7e-05,0.036395929753780365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87040,212,134.4,72,6,-2.3707027435302734,-1.1604861533641815,0.6565608978271484,165,0.5096832983195781,0.2046875,0.1,0.0037890174,-0.0004279211815446615,7e-05,0.05280478671193123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89600,208,136.15,85,7,-2.6254351139068604,-1.1290665102005004,0.502898097038269,170,0.7280647382792086,0.1909375,0.1,0.0047157295,0.00023837511427700518,7e-05,0.5939071774482727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92160,205,135.58,99,8,-2.3999392986297607,-1.1318604743480682,0.4142494201660156,175,1.3242760851234197,0.10046875,0.1,0.0017634177,-0.0014085905719548465,7e-05,0.08014136552810669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94720,223,134.14,103,9,-2.0221147537231445,-1.1258820860009444,0.4835764765739441,176,1.168099446516288,0.26151315789473684,0.1,0.0062581142,0.00859554871720703,7e-05,1.843724012374878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97280,220,133.14,116,10,-1.7528729438781738,-1.1258223449642009,0.48694825172424316,181,0.969408581033349,0.171875,0.1,0.008209926,-0.0012634839142926714,7e-05,0.026099607348442078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99840,2222,131.39,1,1,-1.7134864330291748,-1.1253864574432373,0.551132321357727,186,0.863224884532392,0.15859375,0.1,0.0028217633,-0.00323399443179369,7e-05,0.011358803138136864,76800,3,200,5,1,7e-05,0,0.004248,,,,,,,,,,,,,,,,,,,,,
102400,1039,126.3,4,2,-1.256003975868225,-1.125675020010575,0.4765107035636902,188,1.3360153796232266,0.19361413043478262,0.1,0.012677594,0.0067098533086802645,7e-05,0.1314927637577057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104960,453,126.71,16,3,-1.0998607873916626,-1.1029154342763565,0.4544673562049866,193,1.6527958757737105,0.11121323529411764,0.1,0.007381223,-0.0007384432808441274,7e-05,0.5663063526153564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107520,329,123.92,31,4,-0.8822340369224548,-1.1138953924179078,0.5814342498779297,198,1.1775322609767318,0.19015625,0.1,0.0029331446,0.0008764053788036108,7e-05,0.19779926538467407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110080,277,122.15,46,5,-0.8168128132820129,-1.1029104459285737,0.49330198764801025,203,1.7182537700235843,0.16875,0.1,0.0045387964,-0.0025021891295909883,7e-05,0.5472636222839355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112640,297,124.02,51,6,-0.8051792979240417,-1.1123804870773764,0.5670756101608276,205,0.9962785775389742,0.1284466911764706,0.1,0.005517871,0.0009036390932605547,7e-05,0.3540154695510864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115200,313,125.64,57,7,-0.581762433052063,-1.118062979135758,0.5605655908584595,207,1.0899521332138624,0.1877003205128205,0.1,0.005485327,0.0034381130423683385,7e-05,0.08738826215267181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117760,291,125.08,70,8,-0.7110878229141235,-1.0987292742729187,0.5010925531387329,212,1.3091668881475926,0.141484375,0.1,0.0034798593,-0.0023223740607500078,7e-05,0.06823236495256424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120320,273,129.57,84,9,-0.9470803141593933,-1.0849380362033845,0.5405756235122681,217,1.4324409405328333,0.18015625,0.1,0.0033811438,0.0006280230265110731,7e-05,0.501539945602417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122880,276,122.83,92,10,-0.4768178462982178,-1.0823084492432444,0.6169543266296387,220,1.0568468570709229,0.2284813596491228,0.1,0.0074744932,0.0005629940219877059,7e-05,0.05418729782104492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-1.0524047976732254,0.49693232774734497,225,1.564141416326165,0.135703125,0.1,0.0035110055,-0.003811841309070587,7e-05,0.1266491860151291,,,,,,,,,102400,0.81,0.26236497789621355,0,106.88,1,55.53436413609145,5.112741115001015,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,102400,0.35,-3.2458444353938103,1,142.44,1,78.55091597174409,11.420855244542377,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,102400,,,,,1,,,0,45.0,0,0.81,0,0.81,0.35,0,0.693,0.81,0.4600000000000001,6.75,0
125440,2230,115.8,1,1,-0.09752944111824036,,,,,,,,,,,102400,3,200,5,1,7e-05,1,0.0010000000000000009,,,,,,,,,,,,,,,,,,,,,
128000,1661,111.86,3,2,-0.23338785767555237,-1.045645194394248,0.6735515594482422,226,2.0771094134875705,0.171875,0.1,0.0037434497,0.004826350403683526,7e-05,0.1913200318813324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130560,920,107.1,8,3,0.2803898751735687,-1.0502944527001217,0.6111895442008972,228,1.8393763708400315,0.14520474137931033,0.1,0.007303978,0.0019810040128128282,7e-05,0.0522104874253273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133120,559,98.85,18,4,0.8936724662780762,-1.0507093768724254,0.7839977741241455,232,1.066156184274546,0.21379841549295775,0.1,0.0064710025,0.003398477598290208,7e-05,0.4078592360019684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135680,397,100.07,32,5,1.18822181224823,-1.0603834688663483,0.730201244354248,237,1.3880690079927445,0.098671875,0.1,0.0018852418,-0.003165360251441598,7e-05,0.0437895767390728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138240,333,100.51,46,6,1.01071035861969,-1.0543436014652252,0.8316777348518372,242,1.1081749680638313,0.139609375,0.1,0.0014515576,1.9111018627882003e-05,7e-05,0.16144466400146484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140800,296,95.97,60,7,1.1551066637039185,-1.0744536542892456,0.8137466311454773,247,1.079848936572671,0.108828125,0.1,0.0028083846,-0.0038953049341216685,7e-05,1.7508503198623657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143360,268,105.19,76,8,0.14660663902759552,-1.0478066033124924,0.743945837020874,252,1.517832058519125,0.06484375,0.1,0.0017019177,-0.0015656711161136628,7e-05,0.3041420876979828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145920,250,99.34,91,9,0.5741029977798462,-1.0611623018980025,0.8396848440170288,257,0.814599786028266,0.145078125,0.1,0.00472459,0.00018164408393204213,7e-05,0.890344500541687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148480,236,94.49,108,10,0.8014833927154541,-1.0467891949415207,0.752368688583374,262,1.8075439255684613,0.168125,0.1,0.0024518075,0.001960813943296671,7e-05,0.6900397539138794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-1.0376621067523957,0.7737981677055359,267,1.4513922012597322,0.08421875,0.1,0.0021708657,-0.0024097603093832733,7e-05,0.8369354009628296,,,,,,,,,128000,0.87,2.215301698669791,0,88.61,1,51.284675098902596,4.336658987484727,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,128000,0.51,-1.3393232753872872,1,116.98,1,81.69663150950595,11.496204324545694,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,128000,,,,,1,,,0,45.0,0,0.87,0,0.87,0.51,0,0.693,0.87,0.36,6.75,0
151040,2199,93.99,1,1,1.1027507781982422,,,,,,,,,,,128000,3,200,5,1,7e-05,1,0.0010000000000000009,,,,,,,,,,,,,,,,,,,,,
153600,322,87.08,15,2,1.7884272336959839,-1.0617570978403092,0.8372406363487244,272,1.0216636444628238,0.0790625,0.1,0.0019838212,-0.001460658172145486,7e-05,0.5125060081481934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156160,252,91.65,30,3,1.4036136865615845,-1.022771759033203,0.8011707663536072,277,1.4408080715686082,0.0921875,0.1,0.0020054188,-0.001478032530285418,7e-05,0.5428171157836914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158720,229,89.18,44,4,1.4021997451782227,-1.0583273446559907,0.8708066940307617,282,1.094555986598134,0.15421875,0.1,0.003367748,0.002765490673482418,7e-05,0.38721874356269836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161280,216,85.14,59,5,1.6301319599151611,-1.0337759155035018,0.8123584985733032,287,1.348698570728302,0.11765625,0.1,0.003830439,-0.0010403522988781332,7e-05,0.7299826741218567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163840,209,84.42,73,6,1.6243716478347778,-1.0302188205718994,0.7746968269348145,292,1.3569318896532059,0.12921875,0.1,0.0031279568,-0.0015267621353268624,7e-05,0.6124836802482605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166400,214,85.51,83,7,1.803105354309082,-1.0465427809867307,0.8963122367858887,296,1.0470016789825067,0.11865942028985507,0.1,0.0052224225,0.0011393640028393786,7e-05,0.3424379229545593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168960,235,90.93,87,8,0.99739670753479,-1.0499880373477937,0.8877326846122742,297,1.1750870920717715,0.218359375,0.1,0.0052717724,0.0062537421472370625,7e-05,0.10453757643699646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171520,229,92.03,100,9,1.1103434562683105,-1.0283405542373658,0.8153079152107239,302,1.3084984143078326,0.07671875,0.1,0.0019839883,-0.0016414766246452927,7e-05,0.5728482007980347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174080,223,88.45,114,10,0.9998390674591064,-1.0351639652252198,0.8788329362869263,307,1.2567468133568764,0.12765625,0.1,0.0023362916,-0.0005583726987242699,7e-05,0.7860191464424133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-1.0152900862693786,0.8802993297576904,312,1.433459705710411,0.15703125,0.1,0.0033502735,0.0004298892896622419,7e-05,0.6939781904220581,,,,,,,,,153600,0.92,2.46038320094347,0,81.36,1,45.83699815651107,4.934392014670717,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,153600,0.41,-4.042037656605244,1,133.36,1,80.1682630471685,12.195829219824923,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,153600,,,,,1,,,0,45.0,0,0.92,0,0.92,0.41,0,0.693,0.92,0.51,6.75,0
176640,2183,89.1,1,1,1.2203304767608643,,,,,,,,,,,153600,3,200,5,1,7e-05,1,0.0010000000000000009,,,,,,,,,,,,,,,,,,,,,
179200,1022,89.21,5,2,1.0458228588104248,-1.0128712058067322,0.8886173963546753,314,1.4464734222577966,0.08763586956521739,0.1,0.010493186,0.00286104833788198,7e-05,0.22874364256858826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181760,408,81.84,18,3,2.1577205657958984,-1.0204107058048248,0.8187371492385864,319,1.5801325261592865,0.16875,0.1,0.003098054,-0.0017247581295669078,7e-05,0.7268881797790527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184320,308,78.29,33,4,2.3921985626220703,-1.0093076366186142,0.759726881980896,324,2.1276865772902966,0.14140625,0.1,0.002521165,-0.0002954853791743517,7e-05,1.3859895467758179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186880,266,78.87,48,5,2.7339749336242676,-1.0273660653829575,0.8167239427566528,329,1.452372092679143,0.17265625,0.1,0.002302833,0.001106891306117177,7e-05,0.8686549067497253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189440,285,77.63,53,6,2.772153377532959,-1.0138104074710124,0.8711832761764526,331,1.320981744978879,0.15076013513513514,0.1,0.004495415,0.0020580879236395296,7e-05,0.15698570013046265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192000,265,79.32,67,7,2.7055726051330566,-0.9870824414491653,0.7939434051513672,336,1.588029035925865,0.14890625,0.1,0.00249878,-0.002139808451756835,7e-05,0.503591775894165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194560,248,79.04,82,8,2.6542258262634277,-1.0111857879161834,0.8599542379379272,341,1.324473437219858,0.20046875,0.1,0.0040181405,0.0010200509056448937,7e-05,0.35767170786857605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197120,236,77.29,97,9,2.778801679611206,-0.9963520586490631,0.8362882733345032,346,1.5077323184907436,0.132578125,0.1,0.0026731833,-0.002966233133338392,7e-05,0.8987258076667786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199680,231,71.27,110,10,2.9905266761779785,-0.981112932562828,0.6897944808006287,351,1.374585308432579,0.173828125,0.1,0.005366071,-0.003760607810690999,7e-05,0.5479276776313782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-0.9467338693141937,0.653523325920105,356,1.3671819484233856,0.111640625,0.1,0.002967372,-0.0026334835216403007,7e-05,0.3916758596897125,,,,,,,,,179200,0.97,4.002068719267845,0,65.33,1,35.59973454957214,4.03213148673516,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,179200,0.43,-2.809093402326107,1,129.37,1,81.51817650070444,12.025698090227142,,,,,,,,,,,,,
