time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,train/learning_rate,train/n_updates,train/clip_range,train/clip_fraction,train/loss,train/entropy_loss,train/approx_kl,train/explained_variance,train/value_loss,train/policy_gradient_loss,curriculum/stage_timesteps,train/stage_learning_rate,curriculum/preferred_eval_mode,curriculum/grid_size,curriculum/max_steps,curriculum/stage,curriculum/obs_quantity,train/ent_coef,eval/mean_ep_length,eval/stage,eval/mean_reward,eval/full_coverage_rate,eval/std_ep_length,eval/stage_timesteps,eval/deterministic,eval/std_reward,eval/mode_gap,eval/promotion_full_coverage_rate,eval/quality_promotion_passed,eval/deterministic_promotion_floor,eval/promotion_max_mean_length,eval/diagnostic_full_coverage_rate,eval/deterministic_quality_passed,eval/stochastic_full_coverage_rate,eval/deterministic_full_coverage_rate,eval/promotion_min_mean_reward,eval/stochastic_quality_passed,eval/coverage_promotion_passed,eval/promotion_passed
2,1,-8.772953987121582,5120,2311,171.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2,-8.517415046691895,10240,200,173.35849056603774,3.5e-05,8,0.055999999999999994,0.056103515625,3.474168300628662,-1.385681461915374,0.00064605684,-0.015304923057556152,1.314275465515675,-0.001877542259171605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,3,-8.535135269165039,15360,162,174.9879518072289,3.5e-05,16,0.055999999999999994,0.077490234375,1.9271140098571777,-1.3846192963421344,0.0006559274,0.05625993013381958,0.648791710450314,-0.0018578063740278595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,4,-8.394702911376953,20480,145,176.02,3.5e-05,24,0.055999999999999994,0.11669921875,3.1158316135406494,-1.3826284572482108,0.0008073562,0.08072209358215332,0.8443862275104038,-0.0032835609803441913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,-8.463200569152832,25600,2512,179.78,3.5e-05,32,0.055999999999999994,0.0890869140625,0.022738143801689148,-1.3810157973319293,0.0006302922,0.09333354234695435,0.7111331789055839,-0.0024757192441029474,0,7e-05,0,5,200,1,3,0.015,,,,,,,,,,,,,,,,,,,,,
44,2,-8.126879692077637,30720,229,179.76,7e-05,40,0.08,0.111962890625,0.08716339617967606,-1.3758089285343886,0.0013879274,0.16325229406356812,0.610564157529734,-0.003952443032176234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,3,-7.446737289428711,35840,176,181.78,7e-05,48,0.08,0.181298828125,0.07720483839511871,-1.3679252587258817,0.0015243429,0.17981529235839844,0.5098050579428672,-0.004027308343211189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,4,-6.944632530212402,40960,155,179.92,7e-05,56,0.08,0.164501953125,-0.012060001492500305,-1.3596130546182394,0.0018031511,0.23088401556015015,0.21453772441018373,-0.0050101314089261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,5,-6.6386284828186035,46080,147,178.96,7e-05,64,0.08,0.134912109375,0.0005850046873092651,-1.3508238833397628,0.0015767582,0.1778324842453003,0.6423950560681988,-0.003967635790468193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,-6.835052013397217,51200,2271,171.68,7e-05,72,0.08,0.1679443359375,0.6768062710762024,-1.3431463710963727,0.0016111896,0.14824533462524414,0.8787150781892705,-0.0031741289320052603,25600,7e-05,0,5,200,1,3,0.011415999999999999,,,,,,,,,,,,,,,,,,,,,
42,2,-6.275110244750977,56320,239,166.0,7e-05,80,0.08,0.1538818359375,0.047220271080732346,-1.3367957644164563,0.001643935,0.1943698525428772,0.63405822624336,-0.003645597049035132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,3,-5.644528865814209,61440,180,166.41,7e-05,88,0.08,0.163134765625,-0.004417767748236656,-1.3249781340360642,0.0016026793,0.1649685502052307,1.0016247967985692,-0.003180406596220564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,4,-4.810955047607422,66560,164,166.42,7e-05,96,0.08,0.2093505859375,0.05608679726719856,-1.3165833335369825,0.0023423904,0.2773709297180176,0.3801934991875896,-0.004352213791571557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,5,-4.565343379974365,71680,153,171.0,7e-05,104,0.08,0.170751953125,0.01545291393995285,-1.312747508659959,0.0017518498,0.21203076839447021,0.6040882987261285,-0.0030147386583848856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,-4.360455513000488,76800,2372,172.69,7e-05,112,0.08,0.18837890625,0.00026759132742881775,-1.3050089817494155,0.001860664,0.2706233263015747,0.5233326024579583,-0.004625099289114587,51200,7e-05,0,5,200,1,3,0.007832,,,,,,,,,,,,,,,,,,,,,
44,2,-4.372480392456055,81920,230,171.84,7e-05,120,0.08,0.1765625,0.041334860026836395,-1.29773806668818,0.0020109536,0.4295389652252197,0.26943918665638195,-0.0037012727261753753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,3,-4.882519245147705,87040,174,172.42,7e-05,128,0.08,0.1767822265625,-0.00017256289720535278,-1.287624417617917,0.0018802432,0.3135010004043579,0.581610118332901,-0.002714091607776936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
