time/iterations,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/learning_rate,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/loss,train/value_loss,train/approx_kl,train/n_updates,train/clip_fraction,train/explained_variance,curriculum/stage_timesteps,curriculum/obs_quantity,curriculum/preferred_eval_mode,train/ent_coef,curriculum/max_steps,train/stage_learning_rate,curriculum/stage,curriculum/grid_size,plasticity/effective_rank_99_normalized_mean,plasticity/effective_rank_99_mean,plasticity/low_weight_units,plasticity/weight_rms,plasticity/total_weight_units,plasticity/weight_abs_mean,plasticity/low_weight_unit_ratio,plasticity/weight_max_abs,eval/full_coverage_rate,eval/mean_reward,eval/std_reward,eval/mean_ep_length,eval/deterministic,eval/stage_timesteps,eval/std_ep_length,eval/stage,eval/promotion_min_mean_reward,eval/mode_gap,eval/stochastic_quality_passed,eval/promotion_max_mean_length,eval/deterministic_promotion_floor,eval/promotion_passed,eval/deterministic_quality_passed,eval/quality_promotion_passed,eval/diagnostic_full_coverage_rate,eval/stochastic_full_coverage_rate,eval/deterministic_full_coverage_rate,eval/promotion_full_coverage_rate,eval/coverage_promotion_passed
1,5120,163.84,3,1598,-9.755474090576172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10240,171.11320754716982,51,200,-9.259925842285156,3.5e-05,-1.3861018400639296,0.055999999999999994,-0.0012499207747168838,0.495483934879303,2.1908674170728775,0.00062014343,8,0.0179443359375,-0.0168607234954834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,15360,179.12345679012347,91,168,-8.829566955566406,3.5e-05,-1.3847157947719098,0.055999999999999994,-0.0010629419950419106,0.04378551244735718,1.2521076884004287,0.0005282315,16,0.0317138671875,0.06926566362380981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,20480,178.4,132,154,-8.780242919921875,3.5e-05,-1.3840242877602578,0.055999999999999994,-0.0016964151116553694,0.58225417137146,0.6011939239688218,0.0007731489,24,0.0869384765625,0.10019463300704956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,25600,182.08,1,2777,-8.425989151000977,3.5e-05,-1.3818568732589482,0.055999999999999994,-0.0014774644776480272,0.1561001092195511,1.2018645927659235,0.00056506426,32,0.088916015625,0.10059851408004761,0,3,0,0.015,200,7e-05,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,30720,180.31,42,240,-8.525162696838379,7e-05,-1.3773460101336241,0.08,-0.0028723693278152494,1.7194714546203613,0.566383502347162,0.0008678509,40,0.1,0.19185930490493774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,35840,180.45,87,176,-8.335448265075684,7e-05,-1.3718169197440147,0.08,-0.0034662814054172487,0.12496457248926163,0.6813787442690227,0.0017475476,48,0.1374267578125,0.20551735162734985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,40960,177.71,128,159,-7.816915512084961,7e-05,-1.3634994558990001,0.08,-0.0037640007794834673,0.046928077936172485,0.6285569990752264,0.0018457174,56,0.1668212890625,0.2991197109222412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,46080,178.29,168,152,-7.4565510749816895,7e-05,-1.351838019862771,0.08,-0.0035953789672930727,0.715228796005249,0.5258356557489605,0.0016170855,64,0.14189453125,0.2808833718299866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7e-05,-1.3455331575125455,0.08,-0.0038337971083819864,0.03278374671936035,0.3360411014524288,0.001716163,72,0.136669921875,0.3404960036277771,,,,,,,,,0.9926215277777778,142.5,0,0.04217365500315275,1925,0.027960028485952682,0.0,0.909684419631958,,,,,,,,,,,,,,,,,,,,,
