time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/clip_range,train/approx_kl,train/clip_fraction,train/n_updates,train/explained_variance,train/loss,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/stage_learning_rate,curriculum/grid_size,curriculum/stage_timesteps,curriculum/stage,curriculum/preferred_eval_mode,train/ent_coef,curriculum/obs_quantity,curriculum/max_steps,plasticity/total_weight_units,plasticity/low_weight_units,plasticity/weight_rms,plasticity/weight_max_abs,plasticity/low_weight_unit_ratio,plasticity/weight_abs_mean,plasticity/effective_rank_99_mean,plasticity/effective_rank_99_normalized_mean,eval/full_coverage_rate,eval/deterministic,eval/stage_timesteps,eval/stage,eval/std_ep_length,eval/mean_reward,eval/mean_ep_length,eval/std_reward,eval/deterministic_full_coverage_rate,eval/promotion_min_mean_reward,eval/stochastic_quality_passed,eval/quality_promotion_passed,eval/coverage_promotion_passed,eval/promotion_full_coverage_rate,eval/deterministic_quality_passed,eval/promotion_max_mean_length,eval/diagnostic_full_coverage_rate,eval/stochastic_full_coverage_rate,eval/mode_gap,eval/promotion_passed,eval/deterministic_promotion_floor
2,1,179.8181818181818,2304,-8.040456771850586,5120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2,181.24,225,-8.328217506408691,10240,3.5e-05,0.055999999999999994,0.00027563362,0.0159912109375,8,-0.017882585525512695,0.25718238949775696,-1.3859509635716676,-0.0008846269658533857,1.2917414549505337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,3,182.34615384615384,162,-8.28357982635498,15360,3.5e-05,0.055999999999999994,0.00040038134,0.0284423828125,16,-0.009772539138793945,0.032669030129909515,-1.3859116170555352,-0.0009336803632322699,0.9814877697208431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,4,182.22,98,-8.527584075927734,20480,3.5e-05,0.055999999999999994,0.00065222214,0.0580322265625,24,0.03352886438369751,0.00789734162390232,-1.3847658172249795,-0.0013733456711634063,0.7250985677586869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,181.57,871,-8.361405372619629,25600,3.5e-05,0.055999999999999994,0.00044396514,0.0447021484375,32,0.04757171869277954,0.049860015511512756,-1.3825539447367192,-0.0011246134381508455,0.9678417112736497,7e-05,5,0,1,0,0.015,3,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,2,179.18,88,-9.03235149383545,30720,7e-05,0.08,0.0010580252,0.0937744140625,40,0.08160388469696045,0.14615464210510254,-1.378857136517763,-0.00273298938118387,0.6999846510589123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,3,180.21,79,-9.462248802185059,35840,7e-05,0.08,0.0009528797,0.0738525390625,48,0.12346774339675903,0.10347241163253784,-1.3771954882889985,-0.0017784386407583952,0.9316332532238448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,4,179.74,87,-9.040253639221191,40960,7e-05,0.08,0.0011937566,0.099853515625,56,0.20444965362548828,0.08262287080287933,-1.3712915252894162,-0.001825887180166319,0.9384045176615473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,5,181.45,91,-8.343679428100586,46080,7e-05,0.08,0.0011298232,0.089013671875,64,0.2811824679374695,0.13415516912937164,-1.3671016529202462,-0.0025386408175108953,0.4467098717286717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7e-05,0.08,0.0014379186,0.1419677734375,72,0.28838658332824707,-0.00158604234457016,-1.359955022111535,-0.0037280016564182005,0.32730185118707594,,,,,,,,,1925,0,0.041152813189476264,0.9661625623703003,0.0,0.026567576122242816,142.5,0.9916449652777778,,,,,,,,,,,,,,,,,,,,,
