cbp/total_replacements,time/fps,time/iterations,cbp/target_count,cbp/last_replacements,rollout/ep_len_mean,cbp/utility_mean,rollout/ep_rew_mean,time/total_timesteps,cbp/rollout_replacements,time/time_elapsed,train/entropy_loss,train/explained_variance,train/value_loss,train/loss,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/clip_fraction,curriculum/grid_size,curriculum/stage,curriculum/preferred_eval_mode,curriculum/obs_quantity,curriculum/stage_timesteps,train/ent_coef,curriculum/max_steps,train/stage_learning_rate,plasticity/weight_abs_mean,plasticity/total_weight_units,plasticity/effective_rank_99_normalized_mean,plasticity/low_weight_unit_ratio,plasticity/low_weight_units,plasticity/weight_rms,plasticity/effective_rank_99_mean,plasticity/weight_max_abs,eval/stage_timesteps,eval/mean_reward,eval/std_reward,eval/mean_ep_length,eval/deterministic,eval/full_coverage_rate,eval/std_ep_length,eval/stage,eval/quality_promotion_passed,eval/stochastic_quality_passed,eval/promotion_full_coverage_rate,eval/promotion_min_mean_reward,eval/mode_gap,eval/coverage_promotion_passed,eval/deterministic_promotion_floor,eval/promotion_passed,eval/diagnostic_full_coverage_rate,eval/deterministic_full_coverage_rate,eval/deterministic_quality_passed,eval/stochastic_full_coverage_rate,eval/promotion_max_mean_length
0,2118,1,6,0,182.54545454545453,0.0,-8.33375072479248,5120,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,223,2,6,0,181.1,0.0,-8.09257984161377,10240,0,45,-1.3856347549706698,0.0061514973640441895,1.3249566131737083,0.06869573146104813,0.0006838985,0.055999999999999994,-0.0024009358676266856,8,3.5e-05,0.0760986328125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,180,3,6,0,183.25,0.0,-8.18759536743164,15360,0,84,-1.3855923511087895,0.031425535678863525,0.7445808502845466,0.07419633120298386,0.00085468247,0.055999999999999994,-0.0016696131991920994,16,3.5e-05,0.0705078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,164,4,6,0,186.19,0.0,-7.902831554412842,20480,0,124,-1.3848041243851186,0.0682482123374939,0.7754060895997099,0.31352177262306213,0.00067872636,0.055999999999999994,-0.001368381828069687,24,3.5e-05,0.05263671875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,563,1,6,6,182.09,0.20219192483151952,-7.247628211975098,25600,6,9,-1.381937848776579,0.1116112470626831,0.3015333414077759,0.011008638888597488,0.0007077426,0.055999999999999994,-0.0025752300978638233,32,3.5e-05,0.1401123046875,5,1,0,3,0,0.015,200,7e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,103,2,6,0,178.51,0.20219192483151952,-6.966139316558838,30720,0,99,-1.377809438854456,0.07978743314743042,0.6467217751138378,0.06205924227833748,0.0019026485,0.08,-0.0030718244903255253,40,7e-05,0.1041259765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,108,3,6,0,175.43,0.20219192483151952,-6.711325168609619,35840,0,141,-1.3708090994507074,0.1414957046508789,0.4752218106179498,0.03209130838513374,0.00145401,0.08,-0.003941941169614438,48,7e-05,0.1264892578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,110,4,6,0,173.42,0.20219192483151952,-6.342339992523193,40960,0,184,-1.3624237973242999,0.1283106803894043,0.49561186431674287,0.048807621002197266,0.002390609,0.08,-0.004601083378656767,56,7e-05,0.15634765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,111,5,6,6,174.76,0.23431915479401746,-6.2238006591796875,46080,6,230,-1.3537481442093848,0.09100162982940674,0.27725096720387227,-0.005514755845069885,0.0018368025,0.08,-0.003753024237812497,64,7e-05,0.1643310546875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,6,6,,0.23431915479401746,,,,,-1.3498130474239587,0.09222662448883057,0.7944012546970043,0.004079669713973999,0.0014179737,0.08,-0.0017591927942703478,72,7e-05,0.0990966796875,,,,,,,,,0.028088729549510555,1925,0.9903428819444445,0.0,0,0.04235202352503887,142.16666666666666,0.9342238306999207,,,,,,,,,,,,,,,,,,,,,
