cbp/utility_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,cbp/target_count,rollout/ep_rew_mean,cbp/total_replacements,cbp/last_replacements,time/fps,cbp/rollout_replacements,time/time_elapsed,train/approx_kl,train/clip_fraction,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/learning_rate,train/clip_range,train/loss,curriculum/preferred_eval_mode,curriculum/stage,curriculum/obs_quantity,train/stage_learning_rate,curriculum/grid_size,train/ent_coef,curriculum/max_steps,curriculum/stage_timesteps,plasticity/weight_max_abs,plasticity/effective_rank_99_mean,plasticity/weight_rms,plasticity/total_weight_units,plasticity/effective_rank_99_normalized_mean,plasticity/low_weight_units,plasticity/weight_abs_mean,plasticity/low_weight_unit_ratio,eval/deterministic,eval/std_reward,eval/std_ep_length,eval/mean_reward,eval/stage,eval/stage_timesteps,eval/full_coverage_rate,eval/mean_ep_length,eval/promotion_full_coverage_rate,eval/diagnostic_full_coverage_rate,eval/stochastic_quality_passed,eval/mode_gap,eval/coverage_promotion_passed,eval/promotion_passed,eval/quality_promotion_passed,eval/promotion_max_mean_length,eval/deterministic_full_coverage_rate,eval/deterministic_quality_passed,eval/deterministic_promotion_floor,eval/stochastic_full_coverage_rate,eval/promotion_min_mean_reward
0.0,182.2608695652174,5120,1,6,-7.854568004608154,0,0,2088,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,179.47169811320754,10240,2,6,-8.66906452178955,0,0,228,0,44,0.0007782206,0.077294921875,1.5633727561682462,-1.385493279621005,-0.00192649408854777,8,0.005260348320007324,3.5e-05,0.055999999999999994,0.0013967379927635193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,182.75641025641025,15360,3,6,-8.68598461151123,0,0,172,0,89,0.000805315,0.0640869140625,1.1613235660945065,-1.3845459844917059,-0.0020710385608254,16,0.020628690719604492,3.5e-05,0.055999999999999994,0.05352742224931717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,181.36,20480,4,6,-8.48275375366211,0,0,162,0,126,0.00032229724,0.113232421875,0.7844696133979596,-1.384214525669813,-0.002018804772524163,24,0.07926273345947266,3.5e-05,0.055999999999999994,0.13801752030849457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.20450988163550696,183.19,25600,1,6,-8.580599784851074,6,6,2439,6,2,0.0007303905,0.0814697265625,0.7921633010206278,-1.3819321166723966,-0.0019805988762527705,32,0.1033942699432373,3.5e-05,0.055999999999999994,0.9117509126663208,0,1,3,7e-05,5,0.015,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.20450988163550696,180.75,30720,2,6,-7.643563270568848,6,0,248,0,41,0.0011489419,0.12392578125,0.41014710984309205,-1.3789600890129805,-0.0037793935829540715,40,0.1500476598739624,7e-05,0.08,0.29935958981513977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.20450988163550696,179.89,35840,3,6,-7.629405975341797,6,0,182,0,83,0.0017368307,0.144189453125,0.6147101609327364,-1.3736850194633008,-0.004010878165718168,48,0.16299033164978027,7e-05,0.08,0.04078437387943268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.20450988163550696,174.87,40960,4,6,-7.096644401550293,6,0,166,0,122,0.0018048398,0.1229736328125,0.5745800368487834,-1.367095472663641,-0.0032904197942116298,56,0.18519634008407593,7e-05,0.08,-0.004904208704829216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.24016601095596948,172.18,46080,5,6,-7.0899553298950195,12,6,158,6,162,0.0015777985,0.134130859375,0.581031382115907,-1.3563070245087148,-0.0032353828966733998,64,0.1687237024307251,7e-05,0.08,2.5629498958587646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.24016601095596948,,,,6,,12,6,,,,0.0020834804,0.15546875,0.575237870629644,-1.3449763122946023,-0.0037898528098594397,72,0.16556525230407715,7e-05,0.08,0.005504939705133438,,,,,,,,,1.0185418128967285,142.16666666666666,0.04206129446789641,1925,0.9903428819444445,0,0.027749099551031556,0.0,,,,,,,,,,,,,,,,,,,,,
